Element 1: (2, (14, 5), ['.', '.', '%', 'G'], [(14, 11), (9, 12), (15, 5)], [False, False, True, False], 98, False, [True, True, False, False], 19, 'South', (14, 4))
Element 2: (2, (14, 4), ['.', '.', '', '.'], [(15, 11), (10, 12), (16, 5)], [False, False, False, False], 96, False, [True, True, False, True], 58, 'East', (15, 4))
Element 3: (2, (15, 4), ['', '.', '', '.'], [(15, 12), (10, 11), (17, 5)], [False, False, False, False], 94, False, [False, True, False, True], 97, 'East', (16, 4))
Element 4: (2, (16, 4), ['', '.', '', '.'], [(15, 13), (11, 11), (18, 5)], [False, False, False, False], 92, False, [False, True, False, True], 136, 'East', (17, 4))
Element 5: (2, (17, 4), ['', '.', '', '.'], [(16, 13), (12, 11), (18, 6)], [False, False, False, False], 90, False, [False, True, False, True], 175, 'East', (18, 4))
Element 6: (2, (18, 4), ['', '.', '', '%'], [(17, 13), (12, 12), (17, 6)], [False, False, False, True], 88, False, [False, True, False, False], 214, 'South', (18, 3))
Element 7: (2, (18, 3), ['.', '.', '', '%'], [(18, 13), (13, 12), (17, 7)], [False, False, False, True], 86, False, [True, True, False, False], 253, 'South', (18, 2))
Element 8: (2, (18, 2), ['.', '.', '', '%'], [(17, 13), (14, 12), (17, 8)], [False, False, False, True], 84, False, [True, True, False, False], 282, 'South', (18, 1))
Element 9: (2, (18, 1), ['.', '%', '', '%'], [(16, 13), (15, 12), (17, 9)], [False, True, False, True], 82, False, [True, False, False, False], 301, 'West', (17, 1))
Element 10: (2, (17, 1), ['F', '%', '.', ''], [(15, 13), (15, 11), (17, 10)], [False, True, False, False], 80, False, [False, False, True, False], 320, 'West', (16, 1))
Element 11: (2, (16, 1), ['%', '%', '%', ''], [(15, 12), (15, 10), (18, 10)], [True, True, True, False], 78, False, [False, False, False, False], 1339, 'East', (17, 1))
Element 12: (2, (17, 1), ['', '%', '.', ''], [(14, 12), (16, 10), (18, 11)], [False, True, False, False], 76, False, [False, False, True, False], 1358, 'North', (17, 2))
Element 13: (2, (17, 2), ['%', '', '.', ''], [(13, 12), (16, 9), (17, 11)], [True, False, False, False], 74, False, [False, False, True, False], 1387, 'North', (17, 3))
Element 14: (2, (17, 3), ['.', '', '', ''], [(13, 13), (16, 8), (18, 11)], [False, False, False, False], 72, False, [True, False, False, False], 1416, 'West', (16, 3))
