Element 1: (2, (10, 7), ['.', '.', 'F', '%'], [(3, 12), (10, 2), (11, 2)], [False, False, False, True], 98, False, [True, True, False, False], 19, 'North', (10, 8))
Element 2: (2, (10, 8), ['.', '', '%', '.'], [(4, 12), (10, 3), (12, 2)], [False, False, True, False], 96, False, [True, False, False, True], 1048, 'East', (11, 8))
Element 3: (2, (11, 8), ['', '%', '.', '.'], [(4, 11), (11, 3), (13, 2)], [False, True, False, False], 94, False, [False, False, True, True], 1087, 'East', (12, 8))
Element 4: (2, (12, 8), ['', '.', '.', '.'], [(5, 11), (12, 3), (13, 3)], [False, False, False, False], 92, False, [False, True, True, True], 1126, 'East', (13, 8))
Element 5: (2, (13, 8), ['', '.', '%', '%'], [(5, 10), (13, 3), (14, 3)], [False, False, True, True], 90, False, [False, True, False, False], 1155, 'South', (13, 7))
Element 6: (2, (13, 7), ['.', '%', '', '.'], [(6, 10), (13, 4), (15, 3)], [False, True, False, False], 88, False, [True, False, False, True], 1194, 'East', (14, 7))
Element 7: (2, (14, 7), ['', '%', '%', '.'], [(6, 9), (14, 4), (16, 3)], [False, True, True, False], 86, False, [False, False, False, True], 1233, 'East', (15, 7))
Element 8: (2, (15, 7), ['', '%', '.', '.'], [(7, 9), (15, 4), (17, 3)], [False, True, False, False], 84, False, [False, False, True, True], 1272, 'East', (16, 7))
Element 9: (2, (16, 7), ['', '%', '.', '.'], [(7, 8), (16, 4), (18, 3)], [False, True, False, False], 82, False, [False, False, True, True], 1311, 'East', (17, 7))
Element 10: (2, (17, 7), ['', '.', '.', '%'], [(8, 8), (17, 4), (18, 4)], [False, False, False, True], 80, False, [False, True, True, False], 1350, 'North', (17, 8))
Element 11: (2, (17, 8), ['.', '', '.', '%'], [(9, 8), (17, 5), (18, 5)], [False, False, False, True], 78, False, [True, False, True, False], 1389, 'North', (17, 9))
Element 12: (2, (17, 9), ['.', '', '.', '%'], [(9, 7), (17, 6), (18, 6)], [False, False, False, True], 76, False, [True, False, True, False], 1428, 'North', (17, 10))
Element 13: (2, (17, 10), ['.', '', '.', '.'], [(9, 6), (18, 6), (18, 5)], [False, False, False, False], 74, False, [True, False, True, True], 1447, 'East', (18, 10))
Element 14: (2, (18, 10), ['', '%', '.', '%'], [(10, 6), (18, 5), (18, 4)], [False, True, False, True], 72, False, [False, False, True, False], 1466, 'North', (18, 11))
Element 15: (2, (18, 11), ['.', '', '%', '%'], [(11, 6), (18, 4), (18, 3)], [False, False, True, True], 70, False, [True, False, False, False], 1485, 'West', (17, 11))
Element 16: (2, (17, 11), ['%', '', '%', ''], [(12, 6), (18, 3), (18, 2)], [True, False, True, False], 68, False, [False, False, False, False], 1514, 'East', (18, 11))
Element 17: (2, (18, 11), ['', '', '%', '%'], [(12, 7), (18, 2), (18, 1)], [False, False, True, True], 66, False, [False, False, False, False], 1533, 'South', (18, 10))
Element 18: (2, (18, 10), ['', '%', '', '%'], [(13, 7), (17, 2), (17, 1)], [False, True, False, True], 64, False, [False, False, False, False], 1552, 'West', (17, 10))
Element 19: (2, (17, 10), ['.', '', '', ''], [(14, 7), (17, 3), (16, 1)], [False, False, False, False], 62, False, [True, False, False, False], 2551, 'North', (17, 11))
Element 20: (2, (17, 11), ['%', '', '%', ''], [(15, 7), (16, 3), (17, 1)], [True, False, True, False], 60, False, [False, False, False, False], 2550, 'South', (17, 10))
Element 21: (2, (17, 10), ['.', '', '', ''], [(15, 8), (15, 3), (18, 1)], [False, False, False, False], 58, False, [True, False, False, False], 2559, 'West', (16, 10))
Element 22: (2, (16, 10), ['.', '.', '%', ''], [(16, 8), (14, 3), (18, 2)], [False, False, True, False], 56, False, [True, True, False, False], 2578, 'South', (16, 9))
Element 23: (2, (16, 9), ['.', '', '', ''], [(17, 8), (15, 3), (17, 2)], [False, False, False, False], 54, False, [True, False, False, False], 2587, 'West', (15, 9))
Element 24: (2, (15, 9), ['.', '', '.', ''], [(17, 9), (16, 3), (18, 2)], [False, False, False, False], 52, False, [True, False, True, False], 2596, 'North', (15, 10))
Element 25: (2, (15, 10), ['%', '', '.', ''], [(17, 10), (17, 3), (18, 3)], [True, False, False, False], 50, False, [False, False, True, False], 2605, 'North', (15, 11))
Element 26: (2, (15, 11), ['.', '', '.', '%'], [(18, 10), (17, 2), (18, 2)], [False, False, False, True], 48, False, [True, False, True, False], 2614, 'North', (15, 12))
Element 27: (2, (15, 12), ['.', '', '.', '%'], [(18, 11), (17, 1), (18, 3)], [False, False, False, True], 46, False, [True, False, True, False], 2623, 'North', (15, 13))
Element 28: (2, (15, 13), ['%', '', '%', '.'], [(17, 11), (18, 1), (17, 3)], [True, False, True, False], 44, False, [False, False, False, True], 2632, 'East', (16, 13))
Element 29: (2, (16, 13), ['', '%', '%', '.'], [(18, 11), (17, 1), (17, 2)], [False, True, True, False], 42, False, [False, False, False, True], 2641, 'East', (17, 13))
Element 30: (2, (17, 13), ['', '%', '%', '.'], [(18, 10), (16, 1), (17, 3)], [False, True, True, False], 40, False, [False, False, False, True], 2650, 'East', (18, 13))
Element 31: (2, (18, 13), ['', '%', '%', '%'], [(17, 10), (17, 1), (16, 3)], [False, True, True, True], 38, False, [False, False, False, False], 2659, 'West', (17, 13))
