Element 1: (3, (17, 1), ['F', '%', '.', '.'], [(10, 8), (7, 4), (12, 1)], [False, True, False, False], 98, False, [False, False, True, True], 1019, 'West', (16, 1))
Element 2: (3, (16, 1), ['%', '%', '%', ''], [(11, 8), (8, 4), (12, 2)], [True, True, True, False], 96, False, [False, False, False, False], 2048, 'East', (17, 1))
Element 3: (3, (17, 1), ['', '%', '.', '.'], [(12, 8), (9, 4), (13, 2)], [False, True, False, False], 94, False, [False, False, True, True], 2077, 'East', (18, 1))
Element 4: (3, (18, 1), ['', '%', '.', '%'], [(13, 8), (10, 4), (13, 3)], [False, True, False, True], 92, False, [False, False, True, False], 2116, 'North', (18, 2))
Element 5: (3, (18, 2), ['.', '', '.', '%'], [(13, 7), (11, 4), (14, 3)], [False, False, False, True], 90, False, [True, False, True, False], 2155, 'North', (18, 3))
Element 6: (3, (18, 3), ['.', '', '.', '%'], [(14, 7), (11, 5), (15, 3)], [False, False, False, True], 88, False, [True, False, True, False], 2194, 'North', (18, 4))
Element 7: (3, (18, 4), ['.', '', '.', '%'], [(15, 7), (11, 6), (16, 3)], [False, False, False, True], 86, False, [True, False, True, False], 2233, 'North', (18, 5))
Element 8: (3, (18, 5), ['.', '', '.', '%'], [(16, 7), (12, 6), (17, 3)], [False, False, False, True], 84, False, [True, False, True, False], 2272, 'North', (18, 6))
Element 9: (3, (18, 6), ['.', '', '%', '%'], [(17, 7), (12, 7), (17, 4)], [False, False, True, True], 82, False, [True, False, False, False], 2311, 'West', (17, 6))
Element 10: (3, (17, 6), ['%', 'G', '', ''], [(17, 8), (13, 7), (17, 5)], [True, False, False, False], 80, False, [False, False, False, False], 2340, 'North', (17, 7))
Element 11: (3, (17, 7), ['', '', '', '%'], [(17, 9), (14, 7), (16, 5)], [False, False, False, True], 78, False, [False, False, False, False], 2359, 'North', (17, 8))
Element 12: (3, (17, 8), ['.', '', '', '%'], [(17, 10), (15, 7), (16, 4)], [False, False, False, True], 76, False, [True, False, False, False], 2378, 'West', (16, 8))
Element 13: (3, (16, 8), ['G', '', '.', ''], [(18, 10), (15, 8), (15, 4)], [False, False, False, False], 74, False, [False, False, True, False], 2417, 'North', (16, 9))
Element 14: (3, (16, 9), ['G', '', '.', ''], [(18, 11), (15, 9), (15, 5)], [False, False, False, False], 72, False, [False, False, True, False], 2456, 'North', (16, 10))
Element 15: (3, (16, 10), ['G', '', '%', ''], [(17, 11), (15, 10), (14, 5)], [False, False, True, False], 70, False, [False, False, False, False], 2495, 'East', (17, 10))
Element 16: (3, (17, 10), ['', '', '', ''], [(18, 11), (15, 11), (14, 4)], [False, False, False, False], 68, False, [False, False, False, False], 2514, 'East', (18, 10))
Element 17: (3, (18, 10), ['', '%', '', '%'], [(17, 11), (15, 12), (13, 4)], [False, True, False, True], 66, False, [False, False, False, False], 2533, 'North', (18, 11))
Element 18: (3, (18, 11), ['', '', '%', '%'], [(17, 10), (15, 13), (13, 5)], [False, False, True, True], 64, False, [False, False, False, False], 2552, 'West', (17, 11))
Element 19: (3, (17, 11), ['%', '', '%', ''], [(16, 10), (16, 13), (13, 4)], [True, False, True, False], 62, False, [False, False, False, False], 2561, 'East', (18, 11))
Element 20: (3, (18, 11), ['', '', '%', '%'], [(16, 9), (17, 13), (14, 4)], [False, False, True, True], 60, False, [False, False, False, False], 2570, 'South', (18, 10))
Element 21: (3, (18, 10), ['', '%', '', '%'], [(16, 8), (18, 13), (14, 5)], [False, True, False, True], 58, False, [False, False, False, False], 2579, 'West', (17, 10))
Element 22: (3, (17, 10), ['', '', '', ''], [(15, 8), (17, 13), (13, 5)], [False, False, False, False], 56, False, [False, False, False, False], 2578, 'North', (17, 11))
Element 23: (3, (17, 11), ['%', '', '%', ''], [(15, 9), (16, 13), (14, 5)], [True, False, True, False], 54, False, [False, False, False, False], 2577, 'South', (17, 10))
Element 24: (3, (17, 10), ['', '', '', ''], [(14, 9), (15, 13), (15, 5)], [False, False, False, False], 52, False, [False, False, False, False], 2586, 'South', (17, 9))
Element 25: (3, (17, 9), ['', '', '', '%'], [(15, 9), (15, 12), (15, 4)], [False, False, False, True], 50, False, [False, False, False, False], 2585, 'North', (17, 10))
Element 26: (3, (17, 10), ['', '', '', ''], [(15, 10), (14, 12), (14, 4)], [False, False, False, False], 48, False, [False, False, False, False], 2594, 'West', (16, 10))
Element 27: (3, (16, 10), ['', '', '%', ''], [(15, 11), (14, 11), (15, 4)], [False, False, True, False], 46, False, [False, False, False, False], 2603, 'South', (16, 9))
Element 28: (3, (16, 9), ['', '', '', ''], [(15, 12), (13, 11), (16, 4)], [False, False, False, False], 44, False, [False, False, False, False], 2612, 'East', (17, 9))
Element 29: (3, (17, 9), ['', '', '', '%'], [(15, 13), (13, 12), (16, 5)], [False, False, False, True], 42, False, [False, False, False, False], 2621, 'West', (16, 9))
Element 30: (3, (16, 9), ['', '', '', ''], [(16, 13), (13, 13), (15, 5)], [False, False, False, False], 40, False, [False, False, False, False], 2630, 'South', (16, 8))
Element 31: (3, (16, 8), ['', '', '', ''], [(17, 13), (12, 13), (16, 5)], [False, False, False, False], 38, False, [False, False, False, False], 2639, 'South', (16, 7))
Element 32: (3, (16, 7), ['', '%', '', ''], [(18, 13), (12, 12), (17, 5)], [False, True, False, False], 36, False, [False, False, False, False], 2648, 'West', (15, 7))
Element 33: (3, (15, 7), ['', '%', '', ''], [(17, 13), (12, 11), (18, 5)], [False, True, False, False], 34, False, [False, False, False, False], 2657, 'North', (15, 8))
Element 34: (3, (15, 8), ['%', '', '', ''], [(16, 13), (11, 11), (18, 6)], [True, False, False, False], 32, False, [False, False, False, False], 2666, 'North', (15, 9))
Element 35: (3, (15, 9), ['', '', '', ''], [(15, 13), (10, 11), (17, 6)], [False, False, False, False], 30, False, [False, False, False, False], 2675, 'North', (15, 10))
Element 36: (3, (15, 10), ['%', '', '', ''], [(15, 12), (10, 12), (17, 7)], [True, False, False, False], 28, False, [False, False, False, False], 2684, 'North', (15, 11))
Element 37: (3, (15, 11), ['', '', '', '%'], [(14, 12), (9, 12), (17, 8)], [False, False, False, True], 26, False, [False, False, False, False], 2693, 'North', (15, 12))
Element 38: (3, (15, 12), ['', '', '', '%'], [(14, 11), (9, 13), (17, 9)], [False, False, False, True], 24, False, [False, False, False, False], 2702, 'North', (15, 13))
Element 39: (3, (15, 13), ['%', '', '%', ''], [(13, 11), (8, 13), (17, 10)], [True, False, True, False], 22, False, [False, False, False, False], 2711, 'East', (16, 13))
Element 40: (3, (16, 13), ['', '%', '%', ''], [(13, 12), (8, 12), (18, 10)], [False, True, True, False], 20, False, [False, False, False, False], 2720, 'East', (17, 13))
Element 41: (3, (17, 13), ['', '%', '%', ''], [(13, 13), (8, 11), (18, 11)], [False, True, True, False], 18, False, [False, False, False, False], 2729, 'East', (18, 13))
Element 42: (3, (18, 13), ['', '%', '%', '%'], [(12, 13), (9, 11), (17, 11)], [False, True, True, True], 16, False, [False, False, False, False], 2738, 'West', (17, 13))
Element 43: (3, (17, 13), ['', '%', '%', ''], [(11, 13), (9, 10), (18, 11)], [False, True, True, False], 14, False, [False, False, False, False], 2757, 'West', (16, 13))
Element 44: (3, (16, 13), ['', '%', '%', ''], [(12, 13), (8, 10), (18, 10)], [False, True, True, False], 12, False, [False, False, False, False], 2766, 'West', (15, 13))
Element 45: (3, (15, 13), ['%', '', '%', ''], [(12, 12), (9, 10), (17, 10)], [True, False, True, False], 10, False, [False, False, False, False], 2765, 'South', (15, 12))
Element 46: (3, (15, 12), ['', '', '', '%'], [(12, 11), (9, 11), (17, 11)], [False, False, False, True], 8, False, [False, False, False, False], 2764, 'West', (14, 12))
Element 47: (3, (14, 12), ['', '', '%', ''], [(11, 11), (8, 11), (17, 10)], [False, False, True, False], 6, False, [False, False, False, False], 2763, 'South', (14, 11))
