Element 39: (2, (17, 4), ['', '', '', ''], [(18, 10), (18, 3), (13, 12)], [False, False, False, False], 22, False, [False, False, False, False], 2761, 'North', (17, 5))
Element 40: (2, (17, 5), ['', '', '', ''], [(17, 10), (18, 4), (13, 13)], [False, False, False, False], 20, False, [False, False, False, False], 2760, 'West', (16, 5))
Element 41: (2, (16, 5), ['', '', '%', ''], [(17, 11), (18, 5), (12, 13)], [False, False, True, False], 18, False, [False, False, False, False], 2759, 'East', (17, 5))
Element 42: (2, (17, 5), ['', '', '', ''], [(17, 10), (18, 6), (12, 12)], [False, False, False, False], 16, False, [False, False, False, False], 2758, 'North', (17, 6))
Element 43: (2, (17, 6), ['%', '', '', ''], [(17, 9), (18, 5), (12, 11)], [True, False, False, False], 14, False, [False, False, False, False], 2757, 'North', (17, 7))
Element 44: (2, (17, 7), ['', '', 'G', '%'], [(17, 8), (18, 4), (11, 11)], [False, False, False, True], 12, False, [False, False, False, False], 2756, 'West', (16, 7))
Element 45: (2, (16, 7), ['', '%', '', 'G'], [(17, 7), (17, 4), (10, 11)], [False, True, False, False], 10, False, [False, False, False, False], 2755, 'North', (16, 8))
Element 46: (2, (16, 8), ['', '', '', ''], [(17, 6), (17, 5), (10, 12)], [False, False, False, False], 8, False, [False, False, False, False], 2764, 'East', (17, 8))
Element 47: (2, (17, 8), ['', '', '', '%'], [(18, 6), (17, 6), (9, 12)], [False, False, False, True], 6, False, [False, False, False, False], 2773, 'North', (17, 9))
Element 48: (2, (17, 9), ['', '', '', '%'], [(18, 5), (17, 7), (9, 13)], [False, False, False, True], 4, False, [False, False, False, False], 2782, 'North', (17, 10))
Element 49: (2, (17, 10), ['', '', '', ''], [(18, 4), (17, 8), (8, 13)], [False, False, False, False], 2, False, [False, False, False, False], 2791, 'East', (18, 10))
Element 50: (2, (18, 10), ['', '%', '', '%'], [(18, 4), (17, 8), (8, 12)], [False, True, False, True], 0, False, [False, False, False, False], 2800, 'Stop', (18, 10))
Element 51: #0#
