Element 1: (2, (12, 1), ['.', '%', '.', '%'], [(9, 12), (4, 12), (15, 9)], [False, True, False, True], 98, False, [True, False, True, False], 19, 'North', (12, 2))
Element 2: (2, (12, 2), ['.', '', '.', '.'], [(10, 12), (4, 11), (16, 9)], [False, False, False, False], 96, False, [True, False, True, True], 58, 'East', (13, 2))
Element 3: (2, (13, 2), ['', '%', '.', '%'], [(10, 11), (5, 11), (17, 9)], [False, True, False, True], 94, False, [False, False, True, False], 97, 'North', (13, 3))
Element 4: (2, (13, 3), ['.', '', '.', '.'], [(11, 11), (5, 10), (17, 10)], [False, False, False, False], 92, False, [True, False, True, True], 136, 'East', (14, 3))
Element 5: (2, (14, 3), ['', '%', '.', '.'], [(12, 11), (6, 10), (18, 10)], [False, True, False, False], 90, False, [False, False, True, True], 175, 'East', (15, 3))
Element 6: (2, (15, 3), ['', '%', '.', '.'], [(13, 11), (6, 9), (18, 11)], [False, True, False, False], 88, False, [False, False, True, True], 214, 'East', (16, 3))
Element 7: (2, (16, 3), ['', '%', '.', '.'], [(14, 11), (7, 9), (17, 11)], [False, True, False, False], 86, False, [False, False, True, True], 253, 'East', (17, 3))
Element 8: (2, (17, 3), ['', '.', '.', '.'], [(15, 11), (7, 8), (18, 11)], [False, False, False, False], 84, False, [False, True, True, True], 282, 'East', (18, 3))
Element 9: (2, (18, 3), ['', '.', '.', '%'], [(15, 12), (8, 8), (18, 10)], [False, False, False, True], 82, False, [False, True, True, False], 311, 'North', (18, 4))
Element 10: (2, (18, 4), ['.', '', '.', '%'], [(15, 13), (9, 8), (17, 10)], [False, False, False, True], 80, False, [True, False, True, False], 340, 'North', (18, 5))
Element 11: (2, (18, 5), ['.', '', '.', '%'], [(16, 13), (10, 8), (17, 11)], [False, False, False, True], 78, False, [True, False, True, False], 1359, 'North', (18, 6))
Element 12: (2, (18, 6), ['.', '', '%', '%'], [(17, 13), (11, 8), (17, 10)], [False, False, True, True], 76, False, [True, False, False, False], 1388, 'West', (17, 6))
Element 13: (2, (17, 6), ['%', '.', '.', ''], [(18, 13), (12, 8), (16, 10)], [True, False, False, False], 74, False, [False, True, True, False], 1427, 'North', (17, 7))
Element 14: (2, (17, 7), ['.', '', '.', '%'], [(17, 13), (13, 8), (15, 10)], [False, False, False, True], 72, False, [True, False, True, False], 1456, 'North', (17, 8))
Element 15: (2, (17, 8), ['.', '', '', '%'], [(16, 13), (13, 7), (15, 11)], [False, False, False, True], 70, False, [True, False, False, False], 1475, 'West', (16, 8))
Element 16: (2, (16, 8), ['.', '.', '', ''], [(15, 13), (14, 7), (15, 12)], [False, False, False, False], 68, False, [True, True, False, False], 1494, 'South', (16, 7))
Element 17: (2, (16, 7), ['G', '%', '', ''], [(15, 12), (15, 7), (14, 12)], [False, True, False, False], 66, False, [False, False, False, False], 1523, 'North', (16, 8))
Element 18: (2, (16, 8), ['G', '', '', ''], [(14, 12), (15, 8), (13, 12)], [False, False, False, False], 64, False, [False, False, False, False], 1542, 'South', (16, 7))
Element 19: (2, (16, 7), ['', '%', 'G', ''], [(13, 12), (16, 8), (13, 13)], [False, True, False, False], 62, False, [False, False, False, False], 1551, 'West', (15, 7))
Element 20: (2, (15, 7), ['', '%', '', ''], [(12, 12), (17, 8), (12, 13)], [False, True, False, False], 60, False, [False, False, False, False], 1570, 'North', (15, 8))
Element 21: (2, (15, 8), ['%', '', '', ''], [(12, 13), (17, 9), (11, 13)], [True, False, False, False], 58, False, [False, False, False, False], 1579, 'North', (15, 9))
Element 22: (2, (15, 9), ['.', '', '', ''], [(13, 13), (17, 10), (11, 13)], [False, False, False, False], 56, False, [True, False, False, False], 1578, 'West', (14, 9))
Element 23: (2, (14, 9), ['%', '%', '%', ''], [(13, 12), (18, 10), (12, 13)], [True, True, True, False], 54, False, [False, False, False, False], 1587, 'East', (15, 9))
Element 24: (2, (15, 9), ['', '', '', ''], [(12, 12), (18, 11), (11, 13)], [False, False, False, False], 52, False, [False, False, False, False], 1586, 'East', (16, 9))
Element 25: (2, (16, 9), ['', '', '', ''], [(13, 12), (17, 11), (12, 13)], [False, False, False, False], 50, False, [False, False, False, False], 1585, 'East', (17, 9))
Element 26: (2, (17, 9), ['', '', '', '%'], [(13, 13), (18, 11), (11, 13)], [False, False, False, True], 48, False, [False, False, False, False], 1584, 'North', (17, 10))
Element 27: (2, (17, 10), ['', '', '', 'G'], [(13, 12), (18, 10), (11, 13)], [False, False, False, False], 46, False, [False, False, False, False], 1583, 'North', (17, 11))
Element 28: (2, (17, 11), ['%', 'G', '%', ''], [(14, 12), (17, 10), (12, 13)], [True, False, True, False], 44, False, [False, False, False, False], 1582, 'East', (18, 11))
Element 29: (2, (18, 11), ['G', '', '%', '%'], [(15, 12), (17, 11), (11, 13)], [False, False, True, True], 42, False, [False, False, False, False], 1581, 'South', (18, 10))
Element 30: (2, (18, 10), ['G', '%', '', '%'], [(15, 11), (17, 10), (11, 13)], [False, True, False, True], 40, False, [False, False, False, False], 1580, 'North', (18, 11))
Element 31: (2, (18, 11), ['', '', '%', '%'], [(15, 10), (16, 10), (11, 13)], [False, False, True, True], 38, False, [False, False, False, False], 1579, 'West', (17, 11))
Element 32: (2, (17, 11), ['%', '', '%', ''], [(15, 9), (16, 9), (11, 13)], [True, False, True, False], 36, False, [False, False, False, False], 1578, 'South', (17, 10))
Element 33: (2, (17, 10), ['', '', '', ''], [(15, 8), (15, 9), (11, 13)], [False, False, False, False], 34, False, [False, False, False, False], 1577, 'West', (16, 10))
Element 34: (2, (16, 10), ['G', '', '%', ''], [(16, 8), (15, 10), (11, 13)], [False, False, True, False], 32, False, [False, False, False, False], 1576, 'East', (17, 10))
Element 35: (2, (17, 10), ['', '', '', ''], [(17, 8), (15, 11), (11, 13)], [False, False, False, False], 30, False, [False, False, False, False], 1575, 'South', (17, 9))
Element 36: (2, (17, 9), ['', '', '', '%'], [(17, 7), (15, 12), (11, 13)], [False, False, False, True], 28, False, [False, False, False, False], 1574, 'West', (16, 9))
Element 37: (2, (16, 9), ['', '', '', ''], [(17, 6), (15, 13), (11, 13)], [False, False, False, False], 26, False, [False, False, False, False], 1573, 'North', (16, 10))
Element 38: (2, (16, 10), ['', '', '%', ''], [(17, 5), (16, 13), (11, 13)], [False, False, True, False], 24, False, [False, False, False, False], 1582, 'South', (16, 9))
Element 39: (2, (16, 9), ['', '', '', ''], [(17, 4), (17, 13), (11, 13)], [False, False, False, False], 22, False, [False, False, False, False], 1591, 'West', (15, 9))
Element 40: (2, (15, 9), ['', '', '', ''], [(16, 4), (18, 13), (11, 13)], [False, False, False, False], 20, False, [False, False, False, False], 1600, 'North', (15, 10))
Element 41: (2, (15, 10), ['%', '', '', ''], [(16, 5), (17, 13), (11, 13)], [True, False, False, False], 18, False, [False, False, False, False], 1609, 'North', (15, 11))
Element 42: (2, (15, 11), ['', '', '', '%'], [(15, 5), (16, 13), (11, 13)], [False, False, False, True], 16, False, [False, False, False, False], 1618, 'North', (15, 12))
Element 43: (2, (15, 12), ['', '', 'G', '%'], [(15, 4), (15, 13), (11, 13)], [False, False, False, True], 14, False, [False, False, False, False], 1627, 'West', (14, 12))
Element 44: (2, (14, 12), ['', '', '%', 'G'], [(14, 4), (15, 12), (11, 13)], [False, False, True, False], 12, False, [False, False, False, False], 1636, 'South', (14, 11))
Element 45: (2, (14, 11), ['', '%', 'G', ''], [(14, 5), (14, 12), (11, 13)], [False, True, False, False], 10, False, [False, False, False, False], 1645, 'West', (13, 11))
Element 46: (2, (13, 11), ['', '%', '', 'G'], [(13, 5), (14, 11), (11, 13)], [False, True, False, False], 8, False, [False, False, False, False], 1654, 'North', (13, 12))
Element 47: (2, (13, 12), ['', 'G', '', ''], [(13, 4), (13, 11), (11, 13)], [False, False, False, False], 6, False, [False, False, False, False], 1663, 'North', (13, 13))
Element 48: (2, (13, 13), ['', 'G', '%', '%'], [(13, 3), (13, 12), (11, 13)], [False, False, True, True], 4, False, [False, False, False, False], 1662, 'West', (12, 13))
Element 49: (2, (12, 13), ['G', '', '%', 'G'], [(12, 3), (13, 13), (11, 13)], [False, False, True, False], 2, False, [False, False, False, False], 1671, 'South', (12, 12))
Element 50: (2, (12, 12), ['%', '', '', ''], [(12, 3), (13, 13), (11, 13)], [True, False, False, False], 0, False, [False, False, False, False], 1670, 'Stop', (12, 12))
Element 51: #0#
