Element 39: (2, (8, 11), ['.', '.', '', '.'], [(8, 6), (15, 10), (17, 8)], [False, False, False, False], 22, False, [True, True, False, True], 1831, 'East', (9, 11))
Element 40: (2, (9, 11), ['', '.', '', ''], [(7, 6), (15, 11), (17, 9)], [False, False, False, False], 20, False, [False, True, False, False], 1850, 'South', (9, 10))
Element 41: (2, (9, 10), ['.', '%', '', '%'], [(7, 7), (15, 12), (17, 10)], [False, True, False, True], 18, False, [True, False, False, False], 1869, 'West', (8, 10))
Element 42: (2, (8, 10), ['%', '%', '', ''], [(7, 8), (15, 13), (18, 10)], [True, True, False, False], 16, False, [False, False, False, False], 1888, 'East', (9, 10))
Element 43: (2, (9, 10), ['', '%', '', '%'], [(7, 9), (16, 13), (18, 11)], [False, True, False, True], 14, False, [False, False, False, False], 1897, 'North', (9, 11))
Element 44: (2, (9, 11), ['', '', '', ''], [(6, 9), (17, 13), (17, 11)], [False, False, False, False], 12, False, [False, False, False, False], 1906, 'West', (8, 11))
Element 45: (2, (8, 11), ['.', '', '', ''], [(6, 10), (18, 13), (18, 11)], [False, False, False, False], 10, False, [True, False, False, False], 1915, 'South', (8, 10))
Element 46: (2, (8, 10), ['%', '%', '', ''], [(5, 10), (17, 13), (18, 10)], [True, True, False, False], 8, False, [False, False, False, False], 1924, 'North', (8, 11))
Element 47: (2, (8, 11), ['.', '', '', ''], [(5, 11), (16, 13), (17, 10)], [False, False, False, False], 6, False, [True, False, False, False], 1933, 'West', (7, 11))
Element 48: (2, (7, 11), ['%', '%', '.', ''], [(4, 11), (15, 13), (17, 11)], [True, True, False, False], 4, False, [False, False, True, False], 1952, 'North', (7, 12))
Element 49: (2, (7, 12), ['.', '', '.', ''], [(4, 12), (15, 12), (17, 10)], [False, False, False, False], 2, False, [True, False, True, False], 1971, 'North', (7, 13))
Element 50: (2, (7, 13), ['.', '', '%', ''], [(4, 12), (15, 12), (16, 10)], [False, False, True, False], 0, False, [True, False, False, False], 1980, 'Stop', (7, 13))
Element 51: #0#
