Element 1: (1, (3, 3), ['.', '.', '.', '.'], [(9, 12), (5, 11), (16, 5)], [False, False, False, False], 98, False, [True, True, True, True], 9, 'East', (4, 3))
Element 2: (1, (4, 3), ['', '.', '.', '.'], [(10, 12), (5, 10), (17, 5)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (5, 3))
Element 3: (1, (5, 3), ['', '%', '%', '.'], [(10, 11), (6, 10), (18, 5)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (6, 3))
Element 4: (1, (6, 3), ['', '%', '.', '.'], [(11, 11), (6, 9), (18, 6)], [False, True, False, False], 92, False, [False, False, True, True], 126, 'East', (7, 3))
Element 5: (1, (7, 3), ['', 'F', '.', '.'], [(12, 11), (7, 9), (17, 6)], [False, False, False, False], 90, False, [False, False, True, True], 165, 'South', (7, 2))
Element 6: (1, (7, 2), ['%', '%', '', '.'], [(13, 11), (7, 8), (17, 7)], [True, True, False, False], 88, False, [False, False, False, True], 1194, 'East', (8, 2))
Element 7: (1, (8, 2), ['', '%', '.', '.'], [(14, 11), (8, 8), (17, 8)], [False, True, False, False], 86, False, [False, False, True, True], 1233, 'East', (9, 2))
Element 8: (1, (9, 2), ['', '%', '.', '.'], [(15, 11), (9, 8), (17, 9)], [False, True, False, False], 84, False, [False, False, True, True], 1272, 'East', (10, 2))
Element 9: (1, (10, 2), ['', '%', '.', '.'], [(15, 12), (10, 8), (17, 10)], [False, True, False, False], 82, False, [False, False, True, True], 2301, 'East', (11, 2))
Element 10: (1, (11, 2), ['', '.', '.', '.'], [(15, 13), (11, 8), (18, 10)], [False, False, False, False], 80, False, [False, True, True, True], 2340, 'East', (12, 2))
Element 11: (1, (12, 2), ['', '.', '.', '.'], [(16, 13), (12, 8), (18, 11)], [False, False, False, False], 78, False, [False, True, True, True], 2379, 'East', (13, 2))
Element 12: (1, (13, 2), ['', '%', '.', '%'], [(17, 13), (13, 8), (17, 11)], [False, True, False, True], 76, False, [False, False, True, False], 2418, 'North', (13, 3))
Element 13: (1, (13, 3), ['.', '', '.', '.'], [(18, 13), (13, 7), (18, 11)], [False, False, False, False], 74, False, [True, False, True, True], 2447, 'East', (14, 3))
Element 14: (1, (14, 3), ['', '%', '.', '.'], [(17, 13), (14, 7), (18, 10)], [False, True, False, False], 72, False, [False, False, True, True], 2466, 'East', (15, 3))
Element 15: (1, (15, 3), ['', '%', '.', '.'], [(16, 13), (15, 7), (17, 10)], [False, True, False, False], 70, False, [False, False, True, True], 2485, 'East', (16, 3))
Element 16: (1, (16, 3), ['', '%', '.', '.'], [(15, 13), (16, 7), (17, 11)], [False, True, False, False], 68, False, [False, False, True, True], 2504, 'East', (17, 3))
Element 17: (1, (17, 3), ['', '.', '.', '.'], [(15, 12), (16, 8), (17, 10)], [False, False, False, False], 66, False, [False, True, True, True], 2523, 'East', (18, 3))
Element 18: (1, (18, 3), ['', '.', '.', '%'], [(14, 12), (16, 9), (16, 10)], [False, False, False, True], 64, False, [False, True, True, False], 2562, 'North', (18, 4))
Element 19: (1, (18, 4), ['.', '', '', '%'], [(13, 12), (15, 9), (15, 10)], [False, False, False, True], 62, False, [True, False, False, False], 2601, 'West', (17, 4))
Element 20: (1, (17, 4), ['.', '', '', ''], [(13, 13), (15, 8), (15, 11)], [False, False, False, False], 60, False, [True, False, False, False], 2630, 'West', (16, 4))
Element 21: (1, (16, 4), ['.', '', '', ''], [(12, 13), (15, 9), (15, 12)], [False, False, False, False], 58, False, [True, False, False, False], 2649, 'West', (15, 4))
Element 22: (1, (15, 4), ['.', '', '.', ''], [(12, 12), (14, 9), (15, 13)], [False, False, False, False], 56, False, [True, False, True, False], 2678, 'North', (15, 5))
Element 23: (1, (15, 5), ['.', '', '%', ''], [(12, 13), (15, 9), (16, 13)], [False, False, True, False], 54, False, [True, False, False, False], 2687, 'West', (14, 5))
Element 24: (1, (14, 5), ['.', '.', '%', ''], [(11, 13), (16, 9), (17, 13)], [False, False, True, False], 52, False, [True, True, False, False], 2706, 'South', (14, 4))
Element 25: (1, (14, 4), ['.', '', '', ''], [(12, 13), (17, 9), (18, 13)], [False, False, False, False], 50, False, [True, False, False, False], 2715, 'West', (13, 4))
Element 26: (1, (13, 4), ['%', '', '.', ''], [(13, 13), (17, 10), (17, 13)], [True, False, False, False], 48, False, [False, False, True, False], 2724, 'North', (13, 5))
Element 27: (1, (13, 5), ['%', '', '%', ''], [(13, 12), (18, 10), (16, 13)], [True, False, True, False], 46, False, [False, False, False, False], 2733, 'South', (13, 4))
Element 28: (1, (13, 4), ['%', '', '', ''], [(12, 12), (18, 11), (15, 13)], [True, False, False, False], 44, False, [False, False, False, False], 2732, 'East', (14, 4))
