Element 1: (0, (12, 9), ['.', '.', '%', '%'], [(4, 8), (17, 7), (17, 11)], [False, False, True, True], 98, False, [True, True, False, False], 0, 'South', (12, 8))
Element 2: (0, (12, 8), ['.', '.', '', '.'], [(4, 9), (17, 8), (18, 11)], [False, False, False, False], 96, False, [True, True, False, True], 39, 'East', (13, 8))
Element 3: (0, (13, 8), ['', '.', '%', '%'], [(5, 9), (17, 9), (18, 10)], [False, False, True, True], 94, False, [False, True, False, False], 78, 'South', (13, 7))
Element 4: (0, (13, 7), ['.', '%', '', '.'], [(6, 9), (17, 10), (18, 11)], [False, True, False, False], 92, False, [True, False, False, True], 107, 'East', (14, 7))
Element 5: (0, (14, 7), ['', '%', '%', '.'], [(7, 9), (16, 10), (17, 11)], [False, True, True, False], 90, False, [False, False, False, True], 136, 'East', (15, 7))
Element 6: (0, (15, 7), ['', '%', '.', '.'], [(7, 8), (16, 9), (17, 10)], [False, True, False, False], 88, False, [False, False, True, True], 165, 'East', (16, 7))
Element 7: (0, (16, 7), ['', '%', 'G', ''], [(8, 8), (16, 8), (17, 9)], [False, True, False, False], 86, False, [False, False, False, False], 194, 'East', (17, 7))
Element 8: (0, (17, 7), ['', '.', 'G', '%'], [(9, 8), (15, 8), (17, 8)], [False, False, False, True], 84, False, [False, True, False, False], 213, 'South', (17, 6))
Element 9: (0, (17, 6), ['%', '.', 'G', '.'], [(10, 8), (15, 9), (17, 7)], [True, False, False, False], 82, False, [False, True, False, True], 1232, 'East', (18, 6))
Element 10: (0, (18, 6), ['G', '.', '%', '%'], [(11, 8), (15, 10), (17, 6)], [False, False, True, True], 80, False, [False, True, False, False], 1261, 'South', (18, 5))
Element 11: (0, (18, 5), ['G', '.', '', '%'], [(11, 9), (15, 11), (17, 5)], [False, False, False, True], 78, False, [False, True, False, False], 1300, 'South', (18, 4))
Element 12: (0, (18, 4), ['G', '.', '', '%'], [(12, 9), (15, 12), (17, 4)], [False, False, False, True], 76, False, [False, True, False, False], 1329, 'South', (18, 3))
Element 13: (0, (18, 3), ['G', '.', '', '%'], [(12, 8), (15, 13), (17, 3)], [False, False, False, True], 74, False, [False, True, False, False], 1358, 'South', (18, 2))
Element 14: (0, (18, 2), ['G', '.', '', '%'], [(12, 7), (16, 13), (17, 2)], [False, False, False, True], 72, False, [False, True, False, False], 1397, 'South', (18, 1))
Element 15: (0, (18, 1), ['G', '%', '', '%'], [(12, 6), (17, 13), (17, 1)], [False, True, False, True], 70, False, [False, False, False, False], 1436, 'North', (18, 2))
Element 16: (0, (18, 2), ['', '', '', '%'], [(11, 6), (18, 13), (16, 1)], [False, False, False, True], 68, False, [False, False, False, False], 2455, 'North', (18, 3))
Element 17: (0, (18, 3), ['', '', '', '%'], [(11, 5), (17, 13), (17, 1)], [False, False, False, True], 66, False, [False, False, False, False], 2464, 'North', (18, 4))
Element 18: (0, (18, 4), ['', '', '', '%'], [(11, 4), (16, 13), (18, 1)], [False, False, False, True], 64, False, [False, False, False, False], 2473, 'North', (18, 5))
Element 19: (0, (18, 5), ['', '', '', '%'], [(11, 3), (15, 13), (18, 2)], [False, False, False, True], 62, False, [False, False, False, False], 2482, 'North', (18, 6))
Element 20: (0, (18, 6), ['', '', '%', '%'], [(12, 3), (15, 12), (18, 3)], [False, False, True, True], 60, False, [False, False, False, False], 2491, 'West', (17, 6))
Element 21: (0, (17, 6), ['%', '', '', ''], [(13, 3), (14, 12), (18, 4)], [True, False, False, False], 58, False, [False, False, False, False], 2510, 'South', (17, 5))
Element 22: (0, (17, 5), ['.', '', '', 'G'], [(14, 3), (14, 11), (18, 5)], [False, False, False, False], 56, False, [True, False, False, False], 2529, 'West', (16, 5))
Element 23: (0, (16, 5), ['.', '.', '%', ''], [(15, 3), (13, 11), (18, 6)], [False, False, True, False], 54, False, [True, True, False, False], 2558, 'South', (16, 4))
