Element 1: (1, (9, 8), ['.', '.', '%', 'F'], [(4, 11), (10, 3), (15, 12)], [False, False, True, False], 98, False, [True, True, False, False], 9, 'East', (10, 8))
Element 2: (1, (10, 8), ['', '.', '%', '.'], [(5, 11), (11, 3), (15, 13)], [False, False, True, False], 96, False, [False, True, False, True], 1038, 'East', (11, 8))
Element 3: (1, (11, 8), ['', '%', '.', '.'], [(5, 10), (12, 3), (16, 13)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (12, 8))
Element 4: (1, (12, 8), ['', '.', '.', '.'], [(6, 10), (13, 3), (17, 13)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (13, 8))
Element 5: (1, (13, 8), ['', '.', '%', '%'], [(6, 9), (14, 3), (18, 13)], [False, False, True, True], 90, False, [False, True, False, False], 1155, 'South', (13, 7))
Element 6: (1, (13, 7), ['.', '%', '', '.'], [(7, 9), (15, 3), (17, 13)], [False, True, False, False], 88, False, [True, False, False, True], 1184, 'East', (14, 7))
Element 7: (1, (14, 7), ['', '%', '%', '.'], [(7, 8), (16, 3), (16, 13)], [False, True, True, False], 86, False, [False, False, False, True], 1213, 'East', (15, 7))
Element 8: (1, (15, 7), ['', '%', '.', '.'], [(8, 8), (17, 3), (15, 13)], [False, True, False, False], 84, False, [False, False, True, True], 1242, 'East', (16, 7))
Element 9: (1, (16, 7), ['', '%', '.', '.'], [(8, 7), (18, 3), (15, 12)], [False, True, False, False], 82, False, [False, False, True, True], 1271, 'East', (17, 7))
Element 10: (1, (17, 7), ['', '.', '.', '%'], [(9, 7), (18, 4), (15, 11)], [False, False, False, True], 80, False, [False, True, True, False], 1310, 'North', (17, 8))
Element 11: (1, (17, 8), ['.', '', '.', '%'], [(10, 7), (18, 5), (15, 10)], [False, False, False, True], 78, False, [True, False, True, False], 1349, 'North', (17, 9))
Element 12: (1, (17, 9), ['.', '', '.', '%'], [(10, 6), (18, 6), (16, 10)], [False, False, False, True], 76, False, [True, False, True, False], 1388, 'North', (17, 10))
Element 13: (1, (17, 10), ['', '', '.', '.'], [(11, 6), (17, 6), (16, 9)], [False, False, False, False], 74, False, [False, False, True, True], 1427, 'East', (18, 10))
