Element 1: (1, (6, 4), ['%', '.', 'G', '.'], [(3, 12), (6, 5), (16, 9)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'East', (7, 4))
Element 2: (1, (7, 4), ['', '.', 'G', '.'], [(4, 12), (7, 5), (17, 9)], [False, False, False, False], 96, False, [False, True, False, True], 48, 'East', (8, 4))
Element 3: (1, (8, 4), ['', '.', '%', '.'], [(4, 11), (7, 6), (17, 10)], [False, False, True, False], 94, False, [False, True, False, True], 87, 'East', (9, 4))
Element 4: (1, (9, 4), ['', '.', '.', '.'], [(5, 11), (8, 6), (18, 10)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (10, 4))
Element 5: (1, (10, 4), ['', '.', '.', '.'], [(5, 10), (9, 6), (18, 11)], [False, False, False, False], 90, False, [False, True, True, True], 165, 'East', (11, 4))
Element 6: (1, (11, 4), ['', '.', '.', '%'], [(6, 10), (10, 6), (17, 11)], [False, False, False, True], 88, False, [False, True, True, False], 204, 'North', (11, 5))
Element 7: (1, (11, 5), ['.', '', 'G', '%'], [(6, 9), (11, 6), (18, 11)], [False, False, False, True], 86, False, [True, False, False, False], 233, 'West', (10, 5))
Element 8: (1, (10, 5), ['.', '', '', ''], [(7, 9), (12, 6), (18, 10)], [False, False, False, False], 84, False, [True, False, False, False], 262, 'West', (9, 5))
Element 9: (1, (9, 5), ['%', '', '', ''], [(7, 8), (12, 7), (17, 10)], [True, False, False, False], 82, False, [False, False, False, False], 291, 'North', (9, 6))
Element 10: (1, (9, 6), ['', '', '.', ''], [(8, 8), (13, 7), (17, 11)], [False, False, False, False], 80, False, [False, False, True, False], 310, 'North', (9, 7))
Element 11: (1, (9, 7), ['.', '', 'G', '.'], [(9, 8), (14, 7), (17, 10)], [False, False, False, False], 78, False, [True, False, False, True], 339, 'East', (10, 7))
Element 12: (1, (10, 7), ['', '', 'G', '%'], [(10, 8), (15, 7), (16, 10)], [False, False, False, True], 76, False, [False, False, False, False], 1368, 'South', (10, 6))
Element 13: (1, (10, 6), ['', '', '', ''], [(11, 8), (16, 7), (15, 10)], [False, False, False, False], 74, False, [False, False, False, False], 1397, 'East', (11, 6))
Element 14: (1, (11, 6), ['', '', '%', ''], [(12, 8), (17, 7), (15, 11)], [False, False, True, False], 72, False, [False, False, False, False], 1426, 'East', (12, 6))
Element 15: (1, (12, 6), ['', '%', '', '%'], [(13, 8), (17, 8), (15, 12)], [False, True, False, True], 70, False, [False, False, False, False], 1455, 'North', (12, 7))
Element 16: (1, (12, 7), ['%', '', '', 'G'], [(13, 7), (16, 8), (15, 13)], [True, False, False, False], 68, False, [False, False, False, False], 1474, 'North', (12, 8))
Element 17: (1, (12, 8), ['', '', '.', ''], [(14, 7), (15, 8), (16, 13)], [False, False, False, False], 66, False, [False, False, True, False], 1493, 'North', (12, 9))
Element 18: (1, (12, 9), ['.', '', '%', '%'], [(15, 7), (15, 9), (17, 13)], [False, False, True, True], 64, False, [True, False, False, False], 1522, 'West', (11, 9))
Element 19: (1, (11, 9), ['%', '', '%', ''], [(16, 7), (14, 9), (18, 13)], [True, False, True, False], 62, False, [False, False, False, False], 1551, 'South', (11, 8))
Element 20: (1, (11, 8), ['', '%', '', ''], [(17, 7), (15, 9), (17, 13)], [False, True, False, False], 60, False, [False, False, False, False], 1550, 'West', (10, 8))
Element 21: (1, (10, 8), ['', '', '%', ''], [(17, 6), (16, 9), (16, 13)], [False, False, True, False], 58, False, [False, False, False, False], 1559, 'West', (9, 8))
Element 22: (1, (9, 8), ['', '', '%', ''], [(18, 6), (17, 9), (15, 13)], [False, False, True, False], 56, False, [False, False, False, False], 1568, 'West', (8, 8))
Element 23: (1, (8, 8), ['', '.', '%', ''], [(18, 5), (17, 10), (15, 12)], [False, False, True, False], 54, False, [False, True, False, False], 1577, 'South', (8, 7))
Element 24: (1, (8, 7), ['.', '', '', ''], [(18, 4), (18, 10), (14, 12)], [False, False, False, False], 52, False, [True, False, False, False], 1606, 'West', (7, 7))
Element 25: (1, (7, 7), ['%', '', '', ''], [(18, 3), (18, 11), (14, 11)], [True, False, False, False], 50, False, [False, False, False, False], 1635, 'North', (7, 8))
Element 26: (1, (7, 8), ['.', '', '', ''], [(18, 2), (17, 11), (13, 11)], [False, False, False, False], 48, False, [True, False, False, False], 1654, 'West', (6, 8))
Element 27: (1, (6, 8), ['%', '%', '', ''], [(18, 1), (18, 11), (13, 12)], [True, True, False, False], 46, False, [False, False, False, False], 1683, 'North', (6, 9))
Element 28: (1, (6, 9), ['.', '', '', ''], [(17, 1), (18, 10), (13, 13)], [False, False, False, False], 44, False, [True, False, False, False], 1702, 'West', (5, 9))
Element 29: (1, (5, 9), ['.', '%', '', ''], [(16, 1), (17, 10), (12, 13)], [False, True, False, False], 42, False, [True, False, False, False], 2721, 'West', (4, 9))
Element 30: (1, (4, 9), ['%', '.', '.', ''], [(17, 1), (17, 11), (12, 12)], [True, False, False, False], 40, False, [False, True, True, False], 2740, 'North', (4, 10))
Element 31: (1, (4, 10), ['%', '', '', ''], [(17, 2), (17, 10), (12, 11)], [True, False, False, False], 38, False, [False, False, False, False], 2769, 'East', (5, 10))
Element 32: (1, (5, 10), ['', '', '', ''], [(17, 3), (16, 10), (11, 11)], [False, False, False, False], 36, False, [False, False, False, False], 2788, 'East', (6, 10))
Element 33: (1, (6, 10), ['', '', '%', '%'], [(17, 4), (15, 10), (10, 11)], [False, False, True, True], 34, False, [False, False, False, False], 2807, 'West', (5, 10))
Element 34: (1, (5, 10), ['', '', '', ''], [(17, 5), (15, 11), (10, 12)], [False, False, False, False], 32, False, [False, False, False, False], 2826, 'North', (5, 11))
Element 35: (1, (5, 11), ['', '', '%', '%'], [(16, 5), (15, 12), (9, 12)], [False, False, True, True], 30, False, [False, False, False, False], 2845, 'West', (4, 11))
Element 36: (1, (4, 11), ['.', '', '', ''], [(16, 4), (15, 13), (9, 13)], [False, False, False, False], 28, False, [True, False, False, False], 2864, 'West', (3, 11))
Element 37: (1, (3, 11), ['.', '%', '', ''], [(16, 3), (16, 13), (8, 13)], [False, True, False, False], 26, False, [True, False, False, False], 2893, 'West', (2, 11))
Element 38: (1, (2, 11), ['.', '%', '', ''], [(15, 3), (17, 13), (8, 12)], [False, True, False, False], 24, False, [True, False, False, False], 2922, 'West', (1, 11))
Element 39: (1, (1, 11), ['%', '%', '.', ''], [(15, 4), (18, 13), (8, 11)], [True, True, False, False], 22, False, [False, False, True, False], 2951, 'North', (1, 12))
Element 40: (1, (1, 12), ['%', '', '.', ''], [(15, 5), (17, 13), (9, 11)], [True, False, False, False], 20, False, [False, False, True, False], 2980, 'North', (1, 13))
Element 41: (1, (1, 13), ['%', '', '%', '.'], [(14, 5), (16, 13), (9, 10)], [True, False, True, False], 18, False, [False, False, False, True], 3009, 'East', (2, 13))
Element 42: (1, (2, 13), ['', '', '%', '.'], [(14, 4), (15, 13), (8, 10)], [False, False, True, False], 16, False, [False, False, False, True], 3038, 'East', (3, 13))
Element 43: (1, (3, 13), ['', '', '%', '%'], [(14, 3), (15, 12), (9, 10)], [False, False, True, True], 14, False, [False, False, False, False], 3057, 'South', (3, 12))
Element 44: (1, (3, 12), ['', '', '', ''], [(13, 3), (14, 12), (9, 11)], [False, False, False, False], 12, False, [False, False, False, False], 3066, 'East', (4, 12))
Element 45: (1, (4, 12), ['', '', '%', '%'], [(13, 4), (14, 11), (8, 11)], [False, False, True, True], 10, False, [False, False, False, False], 3075, 'West', (3, 12))
Element 46: (1, (3, 12), ['', '', '', ''], [(13, 5), (13, 11), (8, 10)], [False, False, False, False], 8, False, [False, False, False, False], 3084, 'West', (2, 12))
Element 47: (1, (2, 12), ['', '', '', ''], [(13, 4), (13, 12), (8, 11)], [False, False, False, False], 6, False, [False, False, False, False], 3083, 'East', (3, 12))
Element 48: (1, (3, 12), ['', '', '', ''], [(13, 3), (13, 13), (7, 11)], [False, False, False, False], 4, False, [False, False, False, False], 3092, 'North', (3, 13))
Element 49: (1, (3, 13), ['', '', '%', '%'], [(13, 2), (12, 13), (7, 12)], [False, False, True, True], 2, False, [False, False, False, False], 3111, 'West', (2, 13))
Element 50: (1, (2, 13), ['', '', '%', ''], [(13, 2), (11, 13), (7, 13)], [False, False, True, False], 0, False, [False, False, False, False], 3130, 'Stop', (2, 13))
Element 51: #0#
