Element 1: (2, (7, 6), ['%', '.', '.', '.'], [(13, 12), (7, 13), (8, 2)], [True, False, False, False], 98, False, [False, True, True, True], 19, 'East', (8, 6))
Element 2: (2, (8, 6), ['', '%', '.', '.'], [(14, 12), (8, 13), (7, 2)], [False, True, False, False], 96, False, [False, False, True, True], 1048, 'East', (9, 6))
Element 3: (2, (9, 6), ['', '.', '.', '.'], [(15, 12), (9, 13), (7, 3)], [False, False, False, False], 94, False, [False, True, True, True], 1087, 'East', (10, 6))
Element 4: (2, (10, 6), ['', '.', '.', '.'], [(15, 13), (9, 12), (8, 3)], [False, False, False, False], 92, False, [False, True, True, True], 1126, 'East', (11, 6))
Element 5: (2, (11, 6), ['', '.', '%', '.'], [(16, 13), (10, 12), (9, 3)], [False, False, True, False], 90, False, [False, True, False, True], 1165, 'East', (12, 6))
Element 6: (2, (12, 6), ['', '%', '.', '%'], [(17, 13), (10, 11), (10, 3)], [False, True, False, True], 88, False, [False, False, True, False], 1204, 'North', (12, 7))
Element 7: (2, (12, 7), ['%', '', '.', '.'], [(18, 13), (11, 11), (11, 3)], [True, False, False, False], 86, False, [False, False, True, True], 1243, 'East', (13, 7))
Element 8: (2, (13, 7), ['', '%', '.', '.'], [(17, 13), (12, 11), (12, 3)], [False, True, False, False], 84, False, [False, False, True, True], 1272, 'East', (14, 7))
Element 9: (2, (14, 7), ['', '%', '%', '.'], [(16, 13), (13, 11), (13, 3)], [False, True, True, False], 82, False, [False, False, False, True], 1301, 'East', (15, 7))
Element 10: (2, (15, 7), ['', '%', '.', '.'], [(15, 13), (14, 11), (14, 3)], [False, True, False, False], 80, False, [False, False, True, True], 1330, 'East', (16, 7))
Element 11: (2, (16, 7), ['', '%', '.', '.'], [(15, 12), (15, 11), (15, 3)], [False, True, False, False], 78, False, [False, False, True, True], 1359, 'East', (17, 7))
Element 12: (2, (17, 7), ['', '.', '.', '%'], [(14, 12), (15, 10), (16, 3)], [False, False, False, True], 76, False, [False, True, True, False], 1388, 'North', (17, 8))
Element 13: (2, (17, 8), ['.', '', '.', '%'], [(15, 12), (16, 10), (17, 3)], [False, False, False, True], 74, False, [True, False, True, False], 1417, 'North', (17, 9))
Element 14: (2, (17, 9), ['.', '', 'G', '%'], [(14, 12), (17, 10), (18, 3)], [False, False, False, True], 72, False, [True, False, False, False], 1446, 'West', (16, 9))
Element 15: (2, (16, 9), ['.', '.', '', ''], [(14, 11), (18, 10), (18, 4)], [False, False, False, False], 70, False, [True, True, False, False], 1475, 'South', (16, 8))
Element 16: (2, (16, 8), ['.', '', '', ''], [(15, 11), (18, 11), (18, 5)], [False, False, False, False], 68, False, [True, False, False, False], 1504, 'West', (15, 8))
Element 17: (2, (15, 8), ['%', '', '.', ''], [(15, 10), (17, 11), (18, 6)], [True, False, False, False], 66, False, [False, False, True, False], 1533, 'North', (15, 9))
Element 18: (2, (15, 9), ['.', '', '', ''], [(16, 10), (18, 11), (17, 6)], [False, False, False, False], 64, False, [True, False, False, False], 1552, 'West', (14, 9))
Element 19: (2, (14, 9), ['%', '%', '%', ''], [(17, 10), (18, 10), (17, 5)], [True, True, True, False], 62, False, [False, False, False, False], 1571, 'East', (15, 9))
Element 20: (2, (15, 9), ['', '', '', ''], [(17, 11), (17, 10), (17, 4)], [False, False, False, False], 60, False, [False, False, False, False], 1580, 'North', (15, 10))
Element 21: (2, (15, 10), ['%', '', '', ''], [(18, 11), (17, 11), (16, 4)], [True, False, False, False], 58, False, [False, False, False, False], 1589, 'East', (16, 10))
Element 22: (2, (16, 10), ['', '', '%', 'G'], [(18, 10), (17, 10), (16, 5)], [False, False, True, False], 56, False, [False, False, False, False], 1598, 'West', (15, 10))
Element 23: (2, (15, 10), ['%', '', '', ''], [(18, 11), (17, 9), (15, 5)], [True, False, False, False], 54, False, [False, False, False, False], 1607, 'North', (15, 11))
Element 24: (2, (15, 11), ['', '', '', '%'], [(17, 11), (17, 8), (15, 4)], [False, False, False, True], 52, False, [False, False, False, False], 1616, 'North', (15, 12))
Element 25: (2, (15, 12), ['', '', '', '%'], [(17, 10), (17, 7), (14, 4)], [False, False, False, True], 50, False, [False, False, False, False], 1625, 'North', (15, 13))
Element 26: (2, (15, 13), ['%', '', '%', ''], [(17, 9), (17, 6), (14, 5)], [True, False, True, False], 48, False, [False, False, False, False], 1634, 'East', (16, 13))
Element 27: (2, (16, 13), ['', '%', '%', ''], [(17, 8), (18, 6), (13, 5)], [False, True, True, False], 46, False, [False, False, False, False], 1643, 'East', (17, 13))
Element 28: (2, (17, 13), ['', '%', '%', ''], [(17, 7), (18, 5), (13, 4)], [False, True, True, False], 44, False, [False, False, False, False], 1652, 'East', (18, 13))
Element 29: (2, (18, 13), ['', '%', '%', '%'], [(17, 6), (18, 4), (13, 5)], [False, True, True, True], 42, False, [False, False, False, False], 1651, 'West', (17, 13))
Element 30: (2, (17, 13), ['', '%', '%', ''], [(18, 6), (18, 3), (14, 5)], [False, True, True, False], 40, False, [False, False, False, False], 1650, 'West', (16, 13))
Element 31: (2, (16, 13), ['', '%', '%', ''], [(18, 5), (18, 2), (14, 4)], [False, True, True, False], 38, False, [False, False, False, False], 1659, 'West', (15, 13))
Element 32: (2, (15, 13), ['%', '', '%', ''], [(18, 4), (18, 1), (13, 4)], [True, False, True, False], 36, False, [False, False, False, False], 1668, 'South', (15, 12))
Element 33: (2, (15, 12), ['', '', '', '%'], [(18, 3), (17, 1), (14, 4)], [False, False, False, True], 34, False, [False, False, False, False], 1677, 'West', (14, 12))
Element 34: (2, (14, 12), ['', '', '%', ''], [(18, 2), (16, 1), (15, 4)], [False, False, True, False], 32, False, [False, False, False, False], 2676, 'South', (14, 11))
Element 35: (2, (14, 11), ['', '%', '', ''], [(17, 2), (17, 1), (15, 5)], [False, True, False, False], 30, False, [False, False, False, False], 2685, 'West', (13, 11))
Element 36: (2, (13, 11), ['', '%', '', ''], [(17, 3), (17, 2), (14, 5)], [False, True, False, False], 28, False, [False, False, False, False], 2684, 'North', (13, 12))
Element 37: (2, (13, 12), ['.', '', '', ''], [(17, 4), (17, 3), (15, 5)], [False, False, False, False], 26, False, [True, False, False, False], 2683, 'West', (12, 12))
Element 38: (2, (12, 12), ['%', '', '.', ''], [(17, 5), (17, 4), (16, 5)], [True, False, False, False], 24, False, [False, False, True, False], 2692, 'North', (12, 13))
Element 39: (2, (12, 13), ['.', '', '%', ''], [(16, 5), (17, 5), (16, 4)], [False, False, True, False], 22, False, [True, False, False, False], 2701, 'West', (11, 13))
Element 40: (2, (11, 13), ['%', '%', '%', ''], [(16, 4), (16, 5), (15, 4)], [True, True, True, False], 20, False, [False, False, False, False], 2710, 'East', (12, 13))
Element 41: (2, (12, 13), ['', '', '%', ''], [(16, 3), (16, 4), (14, 4)], [False, False, True, False], 18, False, [False, False, False, False], 2709, 'East', (13, 13))
Element 42: (2, (13, 13), ['', '', '%', '%'], [(15, 3), (16, 3), (15, 4)], [False, False, True, True], 16, False, [False, False, False, False], 2708, 'West', (12, 13))
Element 43: (2, (12, 13), ['', '', '%', ''], [(15, 4), (15, 3), (15, 5)], [False, False, True, False], 14, False, [False, False, False, False], 2707, 'South', (12, 12))
Element 44: (2, (12, 12), ['%', '', '', ''], [(15, 5), (15, 4), (16, 5)], [True, False, False, False], 12, False, [False, False, False, False], 2706, 'South', (12, 11))
Element 45: (2, (12, 11), ['', '%', '', ''], [(14, 5), (15, 5), (17, 5)], [False, True, False, False], 10, False, [False, False, False, False], 2705, 'West', (11, 11))
Element 46: (2, (11, 11), ['', '%', '%', ''], [(14, 4), (14, 5), (17, 6)], [False, True, True, False], 8, False, [False, False, False, False], 2704, 'West', (10, 11))
Element 47: (2, (10, 11), ['.', '%', '', ''], [(14, 3), (14, 4), (17, 7)], [False, True, False, False], 6, False, [True, False, False, False], 2703, 'West', (9, 11))
Element 48: (2, (9, 11), ['.', '.', '', ''], [(13, 3), (14, 3), (17, 8)], [False, False, False, False], 4, False, [True, True, False, False], 2712, 'South', (9, 10))
Element 49: (2, (9, 10), ['.', '%', '', '%'], [(13, 2), (13, 3), (17, 9)], [False, True, False, True], 2, False, [True, False, False, False], 2731, 'West', (8, 10))
Element 50: (2, (8, 10), ['%', '%', '.', ''], [(13, 2), (13, 3), (17, 10)], [True, True, False, False], 0, False, [False, False, True, False], 2740, 'Stop', (8, 10))
Element 51: #0#
