Element 1: (2, (3, 5), ['G', '.', '.', '.'], [(3, 1), (2, 5), (11, 9)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (4, 5))
Element 2: (2, (4, 5), ['', '.', '.', '.'], [(4, 1), (2, 6), (12, 9)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (5, 5))
Element 3: (2, (5, 5), ['', '%', '.', '.'], [(5, 1), (3, 6), (12, 8)], [False, True, False, False], 94, False, [False, False, True, True], 97, 'East', (6, 5))
Element 4: (2, (6, 5), ['', '.', '%', '.'], [(4, 1), (4, 6), (13, 8)], [False, False, True, False], 92, False, [False, True, False, True], 126, 'East', (7, 5))
Element 5: (2, (7, 5), ['', '.', '.', '%'], [(4, 2), (5, 6), (13, 7)], [False, False, False, True], 90, False, [False, True, True, False], 165, 'North', (7, 6))
Element 6: (2, (7, 6), ['%', '', '.', '.'], [(4, 3), (5, 7), (14, 7)], [True, False, False, False], 88, False, [False, False, True, True], 204, 'East', (8, 6))
Element 7: (2, (8, 6), ['', '%', '.', '.'], [(5, 3), (4, 7), (15, 7)], [False, True, False, False], 86, False, [False, False, True, True], 243, 'East', (9, 6))
Element 8: (2, (9, 6), ['', '.', '.', '.'], [(6, 3), (4, 8), (16, 7)], [False, False, False, False], 84, False, [False, True, True, True], 282, 'East', (10, 6))
Element 9: (2, (10, 6), ['', '.', '.', '.'], [(7, 3), (4, 9), (17, 7)], [False, False, False, False], 82, False, [False, True, True, True], 321, 'East', (11, 6))
Element 10: (2, (11, 6), ['', '.', '%', '.'], [(7, 2), (5, 9), (17, 8)], [False, False, True, False], 80, False, [False, True, False, True], 1350, 'East', (12, 6))
Element 11: (2, (12, 6), ['', '%', '.', '%'], [(8, 2), (6, 9), (17, 9)], [False, True, False, True], 78, False, [False, False, True, False], 1389, 'North', (12, 7))
Element 12: (2, (12, 7), ['%', '', '', ''], [(9, 2), (7, 9), (17, 10)], [True, False, False, False], 76, False, [False, False, False, False], 1428, 'East', (13, 7))
Element 13: (2, (13, 7), ['', '%', '', ''], [(10, 2), (7, 8), (18, 10)], [False, True, False, False], 74, False, [False, False, False, False], 1457, 'East', (14, 7))
Element 14: (2, (14, 7), ['', '%', '%', ''], [(11, 2), (8, 8), (18, 11)], [False, True, True, False], 72, False, [False, False, False, False], 1486, 'East', (15, 7))
Element 15: (2, (15, 7), ['', '%', '.', ''], [(12, 2), (9, 8), (17, 11)], [False, True, False, False], 70, False, [False, False, True, False], 1515, 'North', (15, 8))
Element 16: (2, (15, 8), ['%', '', '.', '.'], [(13, 2), (10, 8), (18, 11)], [True, False, False, False], 68, False, [False, False, True, True], 2534, 'East', (16, 8))
Element 17: (2, (16, 8), ['', '', '.', ''], [(13, 3), (11, 8), (18, 10)], [False, False, False, False], 66, False, [False, False, True, False], 2563, 'North', (16, 9))
Element 18: (2, (16, 9), ['.', '', '.', ''], [(14, 3), (12, 8), (17, 10)], [False, False, False, False], 64, False, [True, False, True, False], 2582, 'North', (16, 10))
Element 19: (2, (16, 10), ['.', '', '%', ''], [(15, 3), (13, 8), (17, 11)], [False, False, True, False], 62, False, [True, False, False, False], 2601, 'West', (15, 10))
Element 20: (2, (15, 10), ['%', '.', '.', ''], [(16, 3), (13, 7), (17, 10)], [True, False, False, False], 60, False, [False, True, True, False], 2620, 'North', (15, 11))
Element 21: (2, (15, 11), ['.', '', '.', '%'], [(17, 3), (14, 7), (16, 10)], [False, False, False, True], 58, False, [True, False, True, False], 2639, 'North', (15, 12))
Element 22: (2, (15, 12), ['.', '', '.', '%'], [(18, 3), (15, 7), (16, 9)], [False, False, False, True], 56, False, [True, False, True, False], 2658, 'North', (15, 13))
Element 23: (2, (15, 13), ['%', '', '%', '.'], [(18, 4), (16, 7), (15, 9)], [True, False, True, False], 54, False, [False, False, False, True], 2687, 'East', (16, 13))
Element 24: (2, (16, 13), ['', '%', '%', '.'], [(18, 5), (17, 7), (14, 9)], [False, True, True, False], 52, False, [False, False, False, True], 2716, 'East', (17, 13))
Element 25: (2, (17, 13), ['', '%', '%', '.'], [(18, 6), (17, 6), (15, 9)], [False, True, True, False], 50, False, [False, False, False, True], 2745, 'East', (18, 13))
Element 26: (2, (18, 13), ['', '%', '%', '%'], [(18, 5), (17, 5), (15, 10)], [False, True, True, True], 48, False, [False, False, False, False], 2764, 'West', (17, 13))
Element 27: (2, (17, 13), ['', '%', '%', ''], [(18, 4), (17, 4), (15, 11)], [False, True, True, False], 46, False, [False, False, False, False], 2773, 'West', (16, 13))
Element 28: (2, (16, 13), ['', '%', '%', ''], [(18, 5), (16, 4), (14, 11)], [False, True, True, False], 44, False, [False, False, False, False], 2792, 'West', (15, 13))
Element 29: (2, (15, 13), ['%', '', '%', ''], [(18, 4), (16, 5), (14, 12)], [True, False, True, False], 42, False, [False, False, False, False], 2811, 'South', (15, 12))
Element 30: (2, (15, 12), ['', '', '', '%'], [(17, 4), (15, 5), (13, 12)], [False, False, False, True], 40, False, [False, False, False, False], 2830, 'West', (14, 12))
Element 31: (2, (14, 12), ['', '', '%', ''], [(17, 5), (15, 4), (13, 13)], [False, False, True, False], 38, False, [False, False, False, False], 2849, 'South', (14, 11))
Element 32: (2, (14, 11), ['.', '%', '', ''], [(17, 6), (14, 4), (12, 13)], [False, True, False, False], 36, False, [True, False, False, False], 2868, 'West', (13, 11))
Element 33: (2, (13, 11), ['.', '%', '', ''], [(17, 7), (14, 5), (12, 12)], [False, True, False, False], 34, False, [True, False, False, False], 2897, 'West', (12, 11))
Element 34: (2, (12, 11), ['.', '%', '', ''], [(17, 8), (13, 5), (12, 13)], [False, True, False, False], 32, False, [True, False, False, False], 2916, 'West', (11, 11))
Element 35: (2, (11, 11), ['.', '%', '%', ''], [(17, 9), (13, 4), (11, 13)], [False, True, True, False], 30, False, [True, False, False, False], 2945, 'West', (10, 11))
Element 36: (2, (10, 11), ['.', '%', '.', ''], [(17, 10), (13, 3), (12, 13)], [False, True, False, False], 28, False, [True, False, True, False], 2954, 'North', (10, 12))
Element 37: (2, (10, 12), ['.', '', '%', '%'], [(18, 10), (12, 3), (13, 13)], [False, False, True, True], 26, False, [True, False, False, False], 2973, 'West', (9, 12))
Element 38: (2, (9, 12), ['.', '.', '.', ''], [(18, 11), (11, 3), (13, 12)], [False, False, False, False], 24, False, [True, True, True, False], 2992, 'North', (9, 13))
Element 39: (2, (9, 13), ['.', '', '%', '%'], [(17, 11), (11, 4), (13, 11)], [False, False, True, True], 22, False, [True, False, False, False], 3011, 'West', (8, 13))
Element 40: (2, (8, 13), ['.', '.', '%', ''], [(18, 11), (11, 5), (12, 11)], [False, False, True, False], 20, False, [True, True, False, False], 3030, 'South', (8, 12))
Element 41: (2, (8, 12), ['.', '.', '', ''], [(18, 10), (10, 5), (11, 11)], [False, False, False, False], 18, False, [True, True, False, False], 3049, 'South', (8, 11))
Element 42: (2, (8, 11), ['.', '.', '', '.'], [(17, 10), (10, 4), (10, 11)], [False, False, False, False], 16, False, [True, True, False, True], 3068, 'East', (9, 11))
Element 43: (2, (9, 11), ['', '.', '', ''], [(17, 11), (10, 3), (10, 12)], [False, False, False, False], 14, False, [False, True, False, False], 3087, 'South', (9, 10))
Element 44: (2, (9, 10), ['.', '%', '', '%'], [(17, 10), (9, 3), (9, 12)], [False, True, False, True], 12, False, [True, False, False, False], 3106, 'West', (8, 10))
Element 45: (2, (8, 10), ['%', '%', '', ''], [(16, 10), (9, 4), (9, 13)], [True, True, False, False], 10, False, [False, False, False, False], 3125, 'East', (9, 10))
Element 46: (2, (9, 10), ['', '%', '', '%'], [(16, 9), (9, 5), (8, 13)], [False, True, False, True], 8, False, [False, False, False, False], 3134, 'North', (9, 11))
Element 47: (2, (9, 11), ['', '', '', ''], [(16, 8), (9, 6), (7, 13)], [False, False, False, False], 6, False, [False, False, False, False], 3143, 'West', (8, 11))
Element 48: (2, (8, 11), ['.', '', '', ''], [(16, 7), (9, 7), (7, 12)], [False, False, False, False], 4, False, [True, False, False, False], 3162, 'South', (8, 10))
Element 49: (2, (8, 10), ['%', '%', '', ''], [(15, 7), (10, 7), (7, 11)], [True, True, False, False], 2, False, [False, False, False, False], 3181, 'North', (8, 11))
Element 50: (2, (8, 11), ['', '', '', ''], [(15, 7), (10, 7), (7, 12)], [False, False, False, False], 0, False, [False, False, False, False], 3180, 'Stop', (8, 11))
Element 51: #0#
