Element 1: (3, (16, 9), ['.', '.', '.', '.'], [(18, 11), (4, 5), (9, 7)], [False, False, False, False], 98, False, [True, True, True, True], 29, 'East', (17, 9))
Element 2: (3, (17, 9), ['', '.', '.', '%'], [(18, 10), (5, 5), (10, 7)], [False, False, False, True], 96, False, [False, True, True, False], 68, 'North', (17, 10))
Element 3: (3, (17, 10), ['.', '', '', ''], [(18, 11), (6, 5), (10, 8)], [False, False, False, False], 94, False, [True, False, False, False], 1087, 'West', (16, 10))
Element 4: (3, (16, 10), ['.', '', '%', ''], [(17, 11), (7, 5), (11, 8)], [False, False, True, False], 92, False, [True, False, False, False], 1116, 'West', (15, 10))
Element 5: (3, (15, 10), ['%', '.', '.', ''], [(17, 10), (7, 6), (12, 8)], [True, False, False, False], 90, False, [False, True, True, False], 1145, 'North', (15, 11))
Element 6: (3, (15, 11), ['.', '', '.', '%'], [(17, 9), (8, 6), (13, 8)], [False, False, False, True], 88, False, [True, False, True, False], 1174, 'North', (15, 12))
Element 7: (3, (15, 12), ['.', '', '.', '%'], [(17, 8), (9, 6), (13, 7)], [False, False, False, True], 86, False, [True, False, True, False], 1213, 'North', (15, 13))
Element 8: (3, (15, 13), ['%', '', '%', '.'], [(17, 7), (10, 6), (14, 7)], [True, False, True, False], 84, False, [False, False, False, True], 1252, 'East', (16, 13))
Element 9: (3, (16, 13), ['', '%', '%', '.'], [(17, 6), (11, 6), (15, 7)], [False, True, True, False], 82, False, [False, False, False, True], 1291, 'East', (17, 13))
Element 10: (3, (17, 13), ['', '%', '%', '.'], [(18, 6), (12, 6), (16, 7)], [False, True, True, False], 80, False, [False, False, False, True], 1330, 'East', (18, 13))
Element 11: (3, (18, 13), ['', '%', '%', '%'], [(18, 5), (12, 7), (16, 8)], [False, True, True, True], 78, False, [False, False, False, False], 1369, 'West', (17, 13))
Element 12: (3, (17, 13), ['', '%', '%', ''], [(18, 4), (13, 7), (15, 8)], [False, True, True, False], 76, False, [False, False, False, False], 1388, 'West', (16, 13))
Element 13: (3, (16, 13), ['', '%', '%', ''], [(18, 3), (14, 7), (15, 9)], [False, True, True, False], 74, False, [False, False, False, False], 1407, 'West', (15, 13))
Element 14: (3, (15, 13), ['%', '', '%', ''], [(18, 2), (15, 7), (14, 9)], [True, False, True, False], 72, False, [False, False, False, False], 1426, 'South', (15, 12))
Element 15: (3, (15, 12), ['.', '', '', '%'], [(18, 1), (16, 7), (15, 9)], [False, False, False, True], 70, False, [True, False, False, False], 1435, 'West', (14, 12))
Element 16: (3, (14, 12), ['.', '.', '%', ''], [(17, 1), (17, 7), (16, 9)], [False, False, True, False], 68, False, [True, True, False, False], 1454, 'South', (14, 11))
Element 17: (3, (14, 11), ['.', '%', '', ''], [(16, 1), (17, 8), (17, 9)], [False, True, False, False], 66, False, [True, False, False, False], 2463, 'West', (13, 11))
