Element 39: (3, (18, 10), ['', '%', '', '%'], [(10, 8), (10, 11), (17, 11)], [False, True, False, True], 22, False, [False, False, False, False], 2951, 'West', (17, 10))
Element 40: (3, (17, 10), ['', '', '', ''], [(10, 7), (10, 12), (18, 11)], [False, False, False, False], 20, False, [False, False, False, False], 2970, 'North', (17, 11))
Element 41: (3, (17, 11), ['%', '', '%', ''], [(9, 7), (9, 12), (18, 10)], [True, False, True, False], 18, False, [False, False, False, False], 2989, 'South', (17, 10))
Element 42: (3, (17, 10), ['', '', '', ''], [(8, 7), (9, 13), (18, 11)], [False, False, False, False], 16, False, [False, False, False, False], 3008, 'West', (16, 10))
Element 43: (3, (16, 10), ['', '', '%', ''], [(7, 7), (8, 13), (18, 10)], [False, False, True, False], 14, False, [False, False, False, False], 3027, 'South', (16, 9))
Element 44: (3, (16, 9), ['', '', '', ''], [(7, 8), (8, 12), (17, 10)], [False, False, False, False], 12, False, [False, False, False, False], 3036, 'South', (16, 8))
Element 45: (3, (16, 8), ['', '', '', ''], [(6, 8), (8, 11), (17, 9)], [False, False, False, False], 10, False, [False, False, False, False], 3055, 'South', (16, 7))
Element 46: (3, (16, 7), ['', '%', '', ''], [(6, 9), (9, 11), (17, 8)], [False, True, False, False], 8, False, [False, False, False, False], 3064, 'West', (15, 7))
Element 47: (3, (15, 7), ['', '%', '', ''], [(6, 10), (9, 10), (16, 8)], [False, True, False, False], 6, False, [False, False, False, False], 3083, 'North', (15, 8))
Element 48: (3, (15, 8), ['%', '', '', ''], [(5, 10), (8, 10), (16, 9)], [True, False, False, False], 4, False, [False, False, False, False], 3102, 'North', (15, 9))
Element 49: (3, (15, 9), ['.', '', '', ''], [(5, 11), (9, 10), (16, 10)], [False, False, False, False], 2, False, [True, False, False, False], 3111, 'West', (14, 9))
Element 50: (3, (14, 9), ['%', '%', '%', ''], [(5, 11), (9, 10), (16, 10)], [True, True, True, False], 0, False, [False, False, False, False], 3120, 'Stop', (14, 9))
Element 51: #0#
