Element 1: (0, (10, 7), ['.', '.', 'F', '%'], [(4, 2), (5, 9), (16, 7)], [False, False, False, True], 98, False, [True, True, False, False], 0, 'North', (10, 8))
Element 2: (0, (10, 8), ['.', '', '%', '.'], [(4, 3), (6, 9), (17, 7)], [False, False, True, False], 96, False, [True, False, False, True], 1029, 'East', (11, 8))
Element 3: (0, (11, 8), ['', '%', '.', '.'], [(5, 3), (7, 9), (17, 8)], [False, True, False, False], 94, False, [False, False, True, True], 1068, 'East', (12, 8))
Element 4: (0, (12, 8), ['', '.', '.', '.'], [(6, 3), (7, 8), (17, 9)], [False, False, False, False], 92, False, [False, True, True, True], 1107, 'East', (13, 8))
Element 5: (0, (13, 8), ['', '.', '%', '%'], [(7, 3), (8, 8), (17, 10)], [False, False, True, True], 90, False, [False, True, False, False], 1146, 'South', (13, 7))
Element 6: (0, (13, 7), ['.', '%', '', '.'], [(7, 2), (9, 8), (18, 10)], [False, True, False, False], 88, False, [True, False, False, True], 2175, 'East', (14, 7))
Element 7: (0, (14, 7), ['', '%', '%', '.'], [(8, 2), (9, 7), (18, 11)], [False, True, True, False], 86, False, [False, False, False, True], 2214, 'East', (15, 7))
Element 8: (0, (15, 7), ['', '%', '.', ''], [(9, 2), (9, 6), (17, 11)], [False, True, False, False], 84, False, [False, False, True, False], 2253, 'North', (15, 8))
Element 9: (0, (15, 8), ['%', '', '.', '.'], [(10, 2), (10, 6), (18, 11)], [True, False, False, False], 82, False, [False, False, True, True], 2282, 'East', (16, 8))
Element 10: (0, (16, 8), ['', '', '.', ''], [(11, 2), (11, 6), (18, 10)], [False, False, False, False], 80, False, [False, False, True, False], 2311, 'North', (16, 9))
Element 11: (0, (16, 9), ['.', '', '.', ''], [(12, 2), (12, 6), (17, 10)], [False, False, False, False], 78, False, [True, False, True, False], 2340, 'North', (16, 10))
Element 12: (0, (16, 10), ['.', '', '%', ''], [(13, 2), (12, 7), (17, 11)], [False, False, True, False], 76, False, [True, False, False, False], 2369, 'West', (15, 10))
Element 13: (0, (15, 10), ['%', '.', '.', ''], [(13, 3), (13, 7), (17, 10)], [True, False, False, False], 74, False, [False, True, True, False], 2388, 'North', (15, 11))
Element 14: (0, (15, 11), ['.', '', '.', '%'], [(14, 3), (14, 7), (16, 10)], [False, False, False, True], 72, False, [True, False, True, False], 2407, 'North', (15, 12))
Element 15: (0, (15, 12), ['.', '', '.', '%'], [(15, 3), (15, 7), (16, 9)], [False, False, False, True], 70, False, [True, False, True, False], 2426, 'North', (15, 13))
Element 16: (0, (15, 13), ['%', '', '%', '.'], [(16, 3), (16, 7), (15, 9)], [True, False, True, False], 68, False, [False, False, False, True], 2455, 'East', (16, 13))
Element 17: (0, (16, 13), ['', '%', '%', '.'], [(17, 3), (17, 7), (14, 9)], [False, True, True, False], 66, False, [False, False, False, True], 2484, 'East', (17, 13))
