Element 1: (1, (8, 2), ['F', '%', '.', '.'], [(14, 12), (13, 8), (17, 5)], [False, True, False, False], 98, False, [False, False, True, True], 9, 'West', (7, 2))
Element 2: (1, (7, 2), ['%', '%', '.', ''], [(15, 12), (13, 7), (18, 5)], [True, True, False, False], 96, False, [False, False, True, False], 1038, 'North', (7, 3))
Element 3: (1, (7, 3), ['.', '', '.', '.'], [(15, 13), (14, 7), (18, 6)], [False, False, False, False], 94, False, [True, False, True, True], 1077, 'East', (8, 3))
Element 4: (1, (8, 3), ['', '', '.', '.'], [(16, 13), (15, 7), (17, 6)], [False, False, False, False], 92, False, [False, False, True, True], 1116, 'East', (9, 3))
Element 5: (1, (9, 3), ['', '.', '.', '.'], [(17, 13), (16, 7), (17, 7)], [False, False, False, False], 90, False, [False, True, True, True], 1155, 'East', (10, 3))
Element 6: (1, (10, 3), ['', '.', '.', '.'], [(18, 13), (16, 8), (17, 8)], [False, False, False, False], 88, False, [False, True, True, True], 1194, 'East', (11, 3))
Element 7: (1, (11, 3), ['', '.', '.', '.'], [(17, 13), (16, 9), (17, 9)], [False, False, False, False], 86, False, [False, True, True, True], 1223, 'East', (12, 3))
Element 8: (1, (12, 3), ['', '.', '%', '.'], [(16, 13), (16, 10), (17, 10)], [False, False, True, False], 84, False, [False, True, False, True], 1252, 'East', (13, 3))
Element 9: (1, (13, 3), ['', '.', '.', '.'], [(15, 13), (15, 10), (18, 10)], [False, False, False, False], 82, False, [False, True, True, True], 1281, 'East', (14, 3))
Element 10: (1, (14, 3), ['', '%', '.', '.'], [(15, 12), (15, 11), (18, 11)], [False, True, False, False], 80, False, [False, False, True, True], 1310, 'East', (15, 3))
Element 11: (1, (15, 3), ['', '%', '.', '.'], [(15, 11), (14, 11), (17, 11)], [False, True, False, False], 78, False, [False, False, True, True], 1339, 'East', (16, 3))
Element 12: (1, (16, 3), ['', '%', '.', '.'], [(15, 10), (13, 11), (18, 11)], [False, True, False, False], 76, False, [False, False, True, True], 1358, 'East', (17, 3))
Element 13: (1, (17, 3), ['', '.', '.', '.'], [(15, 9), (12, 11), (18, 10)], [False, False, False, False], 74, False, [False, True, True, True], 1387, 'East', (18, 3))
Element 14: (1, (18, 3), ['', '.', '.', '%'], [(15, 8), (12, 12), (17, 10)], [False, False, False, True], 72, False, [False, True, True, False], 1416, 'North', (18, 4))
Element 15: (1, (18, 4), ['.', '', '', '%'], [(16, 8), (12, 13), (17, 11)], [False, False, False, True], 70, False, [True, False, False, False], 1435, 'West', (17, 4))
Element 16: (1, (17, 4), ['.', '', '', ''], [(17, 8), (13, 13), (17, 10)], [False, False, False, False], 68, False, [True, False, False, False], 1454, 'West', (16, 4))
Element 17: (1, (16, 4), ['.', '', '.', ''], [(17, 9), (13, 12), (16, 10)], [False, False, False, False], 66, False, [True, False, True, False], 1463, 'North', (16, 5))
Element 18: (1, (16, 5), ['.', '', '%', ''], [(17, 10), (14, 12), (16, 9)], [False, False, True, False], 64, False, [True, False, False, False], 1472, 'West', (15, 5))
Element 19: (1, (15, 5), ['.', '.', '%', ''], [(18, 10), (15, 12), (16, 8)], [False, False, True, False], 62, False, [True, True, False, False], 1481, 'South', (15, 4))
Element 20: (1, (15, 4), ['.', '', '', ''], [(18, 11), (15, 13), (16, 7)], [False, False, False, False], 60, False, [True, False, False, False], 1490, 'West', (14, 4))
Element 21: (1, (14, 4), ['.', '', '.', ''], [(17, 11), (16, 13), (15, 7)], [False, False, False, False], 58, False, [True, False, True, False], 1499, 'North', (14, 5))
Element 22: (1, (14, 5), ['.', '', '%', ''], [(18, 11), (17, 13), (15, 8)], [False, False, True, False], 56, False, [True, False, False, False], 1508, 'West', (13, 5))
Element 23: (1, (13, 5), ['%', '.', '%', ''], [(18, 10), (18, 13), (15, 9)], [True, False, True, False], 54, False, [False, True, False, False], 1517, 'South', (13, 4))
Element 24: (1, (13, 4), ['%', '', '', ''], [(17, 10), (17, 13), (14, 9)], [True, False, False, False], 52, False, [False, False, False, False], 1536, 'North', (13, 5))
Element 25: (1, (13, 5), ['%', '', '%', ''], [(17, 11), (16, 13), (15, 9)], [True, False, True, False], 50, False, [False, False, False, False], 1535, 'East', (14, 5))
Element 26: (1, (14, 5), ['', '', '%', ''], [(17, 10), (15, 13), (15, 10)], [False, False, True, False], 48, False, [False, False, False, False], 1534, 'South', (14, 4))
Element 27: (1, (14, 4), ['', '', '', ''], [(16, 10), (15, 12), (15, 11)], [False, False, False, False], 46, False, [False, False, False, False], 1533, 'West', (13, 4))
Element 28: (1, (13, 4), ['%', '', '', ''], [(16, 9), (14, 12), (15, 12)], [True, False, False, False], 44, False, [False, False, False, False], 1532, 'East', (14, 4))
Element 29: (1, (14, 4), ['', '', '', ''], [(16, 10), (13, 12), (15, 13)], [False, False, False, False], 42, False, [False, False, False, False], 1531, 'East', (15, 4))
Element 30: (1, (15, 4), ['', '', '', ''], [(17, 10), (13, 13), (16, 13)], [False, False, False, False], 40, False, [False, False, False, False], 1530, 'North', (15, 5))
Element 31: (1, (15, 5), ['', '', '%', ''], [(17, 9), (12, 13), (17, 13)], [False, False, True, False], 38, False, [False, False, False, False], 1529, 'West', (14, 5))
Element 32: (1, (14, 5), ['', '', '%', ''], [(17, 8), (11, 13), (18, 13)], [False, False, True, False], 36, False, [False, False, False, False], 1538, 'East', (15, 5))
Element 33: (1, (15, 5), ['', '', '%', ''], [(17, 7), (12, 13), (17, 13)], [False, False, True, False], 34, False, [False, False, False, False], 1537, 'East', (16, 5))
Element 34: (1, (16, 5), ['', '', '%', ''], [(17, 6), (12, 12), (16, 13)], [False, False, True, False], 32, False, [False, False, False, False], 1536, 'East', (17, 5))
Element 35: (1, (17, 5), ['', '', '', ''], [(18, 6), (13, 12), (15, 13)], [False, False, False, False], 30, False, [False, False, False, False], 1535, 'East', (18, 5))
Element 36: (1, (18, 5), ['', '', '', '%'], [(17, 6), (12, 12), (15, 12)], [False, False, False, True], 28, False, [False, False, False, False], 1534, 'North', (18, 6))
Element 37: (1, (18, 6), ['', '', '%', '%'], [(17, 7), (12, 11), (14, 12)], [False, False, True, True], 26, False, [False, False, False, False], 1533, 'West', (17, 6))
Element 38: (1, (17, 6), ['%', '', '', ''], [(16, 7), (11, 11), (14, 11)], [True, False, False, False], 24, False, [False, False, False, False], 1542, 'North', (17, 7))
Element 39: (1, (17, 7), ['', '', '', '%'], [(15, 7), (10, 11), (13, 11)], [False, False, False, True], 22, False, [False, False, False, False], 1551, 'North', (17, 8))
Element 40: (1, (17, 8), ['', '', '', '%'], [(14, 7), (10, 12), (13, 12)], [False, False, False, True], 20, False, [False, False, False, False], 1560, 'North', (17, 9))
Element 41: (1, (17, 9), ['', '', '', '%'], [(13, 7), (9, 12), (13, 13)], [False, False, False, True], 18, False, [False, False, False, False], 1569, 'North', (17, 10))
Element 42: (1, (17, 10), ['', '', '', ''], [(12, 7), (9, 13), (12, 13)], [False, False, False, False], 16, False, [False, False, False, False], 1588, 'East', (18, 10))
Element 43: (1, (18, 10), ['', '%', '', '%'], [(12, 8), (8, 13), (12, 12)], [False, True, False, True], 14, False, [False, False, False, False], 1607, 'North', (18, 11))
Element 44: (1, (18, 11), ['', '', '%', '%'], [(12, 9), (8, 12), (12, 11)], [False, False, True, True], 12, False, [False, False, False, False], 1626, 'West', (17, 11))
Element 45: (1, (17, 11), ['%', '', '%', ''], [(11, 9), (8, 11), (11, 11)], [True, False, True, False], 10, False, [False, False, False, False], 1645, 'East', (18, 11))
Element 46: (1, (18, 11), ['', '', '%', '%'], [(11, 8), (9, 11), (10, 11)], [False, False, True, True], 8, False, [False, False, False, False], 1664, 'South', (18, 10))
Element 47: (1, (18, 10), ['', '%', '', '%'], [(10, 8), (9, 10), (10, 12)], [False, True, False, True], 6, False, [False, False, False, False], 2673, 'West', (17, 10))
Element 48: (1, (17, 10), ['', '', '', ''], [(10, 7), (8, 10), (9, 12)], [False, False, False, False], 4, False, [False, False, False, False], 2692, 'North', (17, 11))
Element 49: (1, (17, 11), ['%', '', '%', ''], [(10, 6), (9, 10), (9, 13)], [True, False, True, False], 2, False, [False, False, False, False], 2701, 'South', (17, 10))
Element 50: (1, (17, 10), ['', '', '', ''], [(10, 6), (9, 11), (8, 13)], [False, False, False, False], 0, False, [False, False, False, False], 2700, 'Stop', (17, 10))
Element 51: #0#
