Element 39: (2, (6, 12), ['%', '%', '', ''], [(17, 13), (15, 12), (16, 13)], [True, True, False, False], 22, False, [False, False, False, False], 1681, 'North', (6, 13))
Element 40: (2, (6, 13), ['%', '', '%', ''], [(17, 13), (15, 13), (16, 13)], [True, False, True, False], 20, False, [False, False, False, False], 1680, 'East', (7, 13))
Element 41: (2, (7, 13), ['', '', '%', ''], [(17, 13), (15, 12), (16, 13)], [False, False, True, False], 18, False, [False, False, False, False], 1679, 'South', (7, 12))
Element 42: (2, (7, 12), ['', '', '', ''], [(17, 13), (14, 12), (16, 13)], [False, False, False, False], 16, False, [False, False, False, False], 1678, 'West', (6, 12))
Element 43: (2, (6, 12), ['%', '%', '', ''], [(17, 13), (14, 11), (16, 13)], [True, True, False, False], 14, False, [False, False, False, False], 1677, 'East', (7, 12))
Element 44: (2, (7, 12), ['', '', '', ''], [(17, 13), (13, 11), (16, 13)], [False, False, False, False], 12, False, [False, False, False, False], 1676, 'South', (7, 11))
Element 45: (2, (7, 11), ['%', '%', '', ''], [(17, 13), (13, 12), (16, 13)], [True, True, False, False], 10, False, [False, False, False, False], 1675, 'East', (8, 11))
Element 46: (2, (8, 11), ['', '', '', ''], [(17, 13), (13, 13), (16, 13)], [False, False, False, False], 8, False, [False, False, False, False], 1674, 'North', (8, 12))
Element 47: (2, (8, 12), ['', '', '', ''], [(17, 13), (12, 13), (16, 13)], [False, False, False, False], 6, False, [False, False, False, False], 1673, 'West', (7, 12))
Element 48: (2, (7, 12), ['', '', '', ''], [(17, 13), (11, 13), (16, 13)], [False, False, False, False], 4, False, [False, False, False, False], 1682, 'East', (8, 12))
Element 49: (2, (8, 12), ['', '', '', ''], [(17, 13), (12, 13), (16, 13)], [False, False, False, False], 2, False, [False, False, False, False], 1681, 'North', (8, 13))
Element 50: (2, (8, 13), ['', '', '%', ''], [(17, 13), (12, 13), (16, 13)], [False, False, True, False], 0, False, [False, False, False, False], 1680, 'Stop', (8, 13))
Element 51: #0#
