Element 1: (2, (7, 9), ['.', '.', '%', '%'], [(4, 3), (4, 11), (13, 7)], [False, False, True, True], 98, False, [True, True, False, False], 19, 'South', (7, 8))
Element 2: (2, (7, 8), ['.', '.', '', '.'], [(5, 3), (5, 11), (14, 7)], [False, False, False, False], 96, False, [True, True, False, True], 58, 'East', (8, 8))
Element 3: (2, (8, 8), ['', '.', '%', '.'], [(6, 3), (5, 10), (15, 7)], [False, False, True, False], 94, False, [False, True, False, True], 97, 'East', (9, 8))
Element 4: (2, (9, 8), ['', '.', '%', 'F'], [(7, 3), (6, 10), (16, 7)], [False, False, True, False], 92, False, [False, True, False, False], 136, 'East', (10, 8))
Element 5: (2, (10, 8), ['', '.', '%', '.'], [(7, 2), (6, 9), (17, 7)], [False, False, True, False], 90, False, [False, True, False, True], 2155, 'East', (11, 8))
Element 6: (2, (11, 8), ['', '%', '.', '.'], [(8, 2), (6, 8), (17, 8)], [False, True, False, False], 88, False, [False, False, True, True], 2194, 'East', (12, 8))
Element 7: (2, (12, 8), ['', '.', '.', '.'], [(9, 2), (7, 8), (17, 9)], [False, False, False, False], 86, False, [False, True, True, True], 2223, 'East', (13, 8))
Element 8: (2, (13, 8), ['', '', '%', '%'], [(10, 2), (7, 7), (17, 10)], [False, False, True, True], 84, False, [False, False, False, False], 2262, 'South', (13, 7))
Element 9: (2, (13, 7), ['.', '%', '', ''], [(11, 2), (8, 7), (18, 10)], [False, True, False, False], 82, False, [True, False, False, False], 2291, 'West', (12, 7))
Element 10: (2, (12, 7), ['%', '.', '', ''], [(12, 2), (9, 7), (18, 11)], [True, False, False, False], 80, False, [False, True, False, False], 2330, 'South', (12, 6))
Element 11: (2, (12, 6), ['.', '%', '', '%'], [(13, 2), (10, 7), (17, 11)], [False, True, False, True], 78, False, [True, False, False, False], 2369, 'West', (11, 6))
Element 12: (2, (11, 6), ['G', '.', '%', ''], [(13, 3), (10, 6), (18, 11)], [False, False, True, False], 76, False, [False, True, False, False], 2398, 'South', (11, 5))
Element 13: (2, (11, 5), ['G', '.', '', '%'], [(14, 3), (10, 5), (18, 10)], [False, False, False, True], 74, False, [False, True, False, False], 2427, 'South', (11, 4))
Element 14: (2, (11, 4), ['G', '.', '', '%'], [(15, 3), (10, 4), (17, 10)], [False, False, False, True], 72, False, [False, True, False, False], 2456, 'South', (11, 3))
Element 15: (2, (11, 3), ['G', '', '', '.'], [(16, 3), (10, 3), (17, 11)], [False, False, False, False], 70, False, [False, False, False, True], 2485, 'East', (12, 3))
Element 16: (2, (12, 3), ['', '', '%', ''], [(17, 3), (9, 3), (17, 10)], [False, False, True, False], 68, False, [False, False, False, False], 2514, 'East', (13, 3))
Element 17: (2, (13, 3), ['', '', '.', ''], [(18, 3), (9, 4), (16, 10)], [False, False, False, False], 66, False, [False, False, True, False], 2543, 'North', (13, 4))
Element 18: (2, (13, 4), ['%', '', '.', '.'], [(18, 4), (9, 5), (16, 9)], [True, False, False, False], 64, False, [False, False, True, True], 2582, 'East', (14, 4))
Element 19: (2, (14, 4), ['', '', '.', '.'], [(18, 5), (9, 6), (16, 8)], [False, False, False, False], 62, False, [False, False, True, True], 2621, 'East', (15, 4))
Element 20: (2, (15, 4), ['', '', '.', '.'], [(18, 6), (8, 6), (15, 8)], [False, False, False, False], 60, False, [False, False, True, True], 2660, 'East', (16, 4))
Element 21: (2, (16, 4), ['', '', '.', '.'], [(17, 6), (7, 6), (15, 9)], [False, False, False, False], 58, False, [False, False, True, True], 2699, 'East', (17, 4))
Element 22: (2, (17, 4), ['', '', 'G', ''], [(17, 5), (7, 5), (15, 10)], [False, False, False, False], 56, False, [False, False, False, False], 2738, 'East', (18, 4))
Element 23: (2, (18, 4), ['', '', '', '%'], [(16, 5), (7, 4), (15, 11)], [False, False, False, True], 54, False, [False, False, False, False], 2767, 'North', (18, 5))
Element 24: (2, (18, 5), ['', '', '', '%'], [(15, 5), (8, 4), (15, 12)], [False, False, False, True], 52, False, [False, False, False, False], 2796, 'North', (18, 6))
Element 25: (2, (18, 6), ['', '', '%', '%'], [(14, 5), (8, 3), (15, 13)], [False, False, True, True], 50, False, [False, False, False, False], 2825, 'West', (17, 6))
Element 26: (2, (17, 6), ['%', '', '', ''], [(13, 5), (8, 2), (16, 13)], [True, False, False, False], 48, False, [False, False, False, False], 2844, 'North', (17, 7))
