Element 1: (1, (9, 12), ['.', '.', '.', '.'], [(6, 10), (12, 9), (18, 10)], [False, False, False, False], 98, False, [True, True, True, True], 9, 'East', (10, 12))
Element 2: (1, (10, 12), ['', '.', '%', '%'], [(6, 9), (12, 8), (18, 11)], [False, False, True, True], 96, False, [False, True, False, False], 48, 'South', (10, 11))
Element 3: (1, (10, 11), ['.', '%', '', '.'], [(7, 9), (13, 8), (17, 11)], [False, True, False, False], 94, False, [True, False, False, True], 87, 'East', (11, 11))
Element 4: (1, (11, 11), ['', '%', '%', '.'], [(7, 8), (13, 7), (17, 10)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (12, 11))
Element 5: (1, (12, 11), ['', '%', '.', '.'], [(8, 8), (14, 7), (17, 9)], [False, True, False, False], 90, False, [False, False, True, True], 165, 'East', (13, 11))
Element 6: (1, (13, 11), ['', '%', '.', '.'], [(9, 8), (15, 7), (17, 8)], [False, True, False, False], 88, False, [False, False, True, True], 204, 'East', (14, 11))
Element 7: (1, (14, 11), ['', '%', '.', '.'], [(10, 8), (16, 7), (17, 7)], [False, True, False, False], 86, False, [False, False, True, True], 1233, 'East', (15, 11))
Element 8: (1, (15, 11), ['', '.', '.', '%'], [(11, 8), (16, 8), (17, 6)], [False, False, False, True], 84, False, [False, True, True, False], 1272, 'North', (15, 12))
Element 9: (1, (15, 12), ['.', '', '.', '%'], [(11, 9), (16, 9), (18, 6)], [False, False, False, True], 82, False, [True, False, True, False], 1311, 'North', (15, 13))
Element 10: (1, (15, 13), ['%', '', '%', '.'], [(12, 9), (16, 10), (18, 5)], [True, False, True, False], 80, False, [False, False, False, True], 1340, 'East', (16, 13))
Element 11: (1, (16, 13), ['', '%', '%', '.'], [(12, 8), (15, 10), (18, 4)], [False, True, True, False], 78, False, [False, False, False, True], 1369, 'East', (17, 13))
Element 12: (1, (17, 13), ['', '%', '%', '.'], [(12, 7), (15, 9), (18, 3)], [False, True, True, False], 76, False, [False, False, False, True], 1408, 'East', (18, 13))
Element 13: (1, (18, 13), ['', '%', '%', '%'], [(12, 6), (15, 8), (18, 2)], [False, True, True, True], 74, False, [False, False, False, False], 1447, 'West', (17, 13))
Element 14: (1, (17, 13), ['', '%', '%', ''], [(11, 6), (15, 9), (18, 1)], [False, True, True, False], 72, False, [False, False, False, False], 1466, 'West', (16, 13))
Element 15: (1, (16, 13), ['', '%', '%', ''], [(11, 5), (14, 9), (17, 1)], [False, True, True, False], 70, False, [False, False, False, False], 1495, 'West', (15, 13))
Element 16: (1, (15, 13), ['%', '', '%', ''], [(11, 4), (15, 9), (16, 1)], [True, False, True, False], 68, False, [False, False, False, False], 2504, 'South', (15, 12))
Element 17: (1, (15, 12), ['.', '', '', '%'], [(11, 3), (15, 10), (17, 1)], [False, False, False, True], 66, False, [True, False, False, False], 2513, 'West', (14, 12))
Element 18: (1, (14, 12), ['.', '', '%', ''], [(12, 3), (15, 11), (17, 2)], [False, False, True, False], 64, False, [True, False, False, False], 2542, 'West', (13, 12))
Element 19: (1, (13, 12), ['.', '', '.', ''], [(13, 3), (15, 12), (17, 3)], [False, False, False, False], 62, False, [True, False, True, False], 2571, 'North', (13, 13))
Element 20: (1, (13, 13), ['.', '', '%', '%'], [(14, 3), (15, 13), (17, 4)], [False, False, True, True], 60, False, [True, False, False, False], 2600, 'West', (12, 13))
Element 21: (1, (12, 13), ['.', '.', '%', ''], [(15, 3), (16, 13), (17, 5)], [False, False, True, False], 58, False, [True, True, False, False], 2629, 'South', (12, 12))
Element 22: (1, (12, 12), ['%', '', '', ''], [(16, 3), (17, 13), (16, 5)], [True, False, False, False], 56, False, [False, False, False, False], 2658, 'North', (12, 13))
