Element 1: (2, (4, 1), ['.', '%', 'G', '.'], [(11, 3), (4, 5), (4, 2)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'East', (5, 1))
Element 2: (2, (5, 1), ['', '%', '%', '%'], [(12, 3), (5, 5), (4, 3)], [False, True, True, True], 96, False, [False, False, False, False], 58, 'West', (4, 1))
Element 3: (2, (4, 1), ['.', '%', '', ''], [(13, 3), (6, 5), (5, 3)], [False, True, False, False], 94, False, [True, False, False, False], 87, 'West', (3, 1))
Element 4: (2, (3, 1), ['.', '%', '.', ''], [(14, 3), (7, 5), (6, 3)], [False, True, False, False], 92, False, [True, False, True, False], 126, 'North', (3, 2))
Element 5: (2, (3, 2), ['.', '', '.', ''], [(15, 3), (7, 6), (7, 3)], [False, False, False, False], 90, False, [True, False, True, False], 165, 'North', (3, 3))
Element 6: (2, (3, 3), ['.', '', '.', ''], [(16, 3), (8, 6), (7, 2)], [False, False, False, False], 88, False, [True, False, True, False], 1194, 'North', (3, 4))
Element 7: (2, (3, 4), ['.', '', '', '.'], [(17, 3), (9, 6), (8, 2)], [False, False, False, False], 86, False, [True, False, False, True], 1233, 'East', (4, 4))
Element 8: (2, (4, 4), ['', '', '', '%'], [(18, 3), (10, 6), (9, 2)], [False, False, False, True], 84, False, [False, False, False, False], 1272, 'North', (4, 5))
Element 9: (2, (4, 5), ['', '', '.', ''], [(18, 4), (11, 6), (10, 2)], [False, False, False, False], 82, False, [False, False, True, False], 1301, 'North', (4, 6))
Element 10: (2, (4, 6), ['.', '', '.', '.'], [(18, 5), (12, 6), (11, 2)], [False, False, False, False], 80, False, [True, False, True, True], 1340, 'East', (5, 6))
Element 11: (2, (5, 6), ['', '', '.', '%'], [(18, 6), (12, 7), (12, 2)], [False, False, False, True], 78, False, [False, False, True, False], 1379, 'North', (5, 7))
Element 12: (2, (5, 7), ['.', '', '%', '%'], [(17, 6), (13, 7), (13, 2)], [False, False, True, True], 76, False, [True, False, False, False], 1418, 'West', (4, 7))
Element 13: (2, (4, 7), ['%', '', '.', ''], [(17, 7), (14, 7), (13, 3)], [True, False, False, False], 74, False, [False, False, True, False], 1447, 'North', (4, 8))
Element 14: (2, (4, 8), ['.', '', '.', '%'], [(17, 8), (15, 7), (13, 4)], [False, False, False, True], 72, False, [True, False, True, False], 1486, 'North', (4, 9))
Element 15: (2, (4, 9), ['%', '', '.', '.'], [(17, 9), (16, 7), (14, 4)], [True, False, False, False], 70, False, [False, False, True, True], 1525, 'East', (5, 9))
Element 16: (2, (5, 9), ['', '%', '.', '.'], [(17, 10), (16, 8), (15, 4)], [False, True, False, False], 68, False, [False, False, True, True], 1564, 'East', (6, 9))
Element 17: (2, (6, 9), ['', '.', '.', '.'], [(18, 10), (16, 9), (16, 4)], [False, False, False, False], 66, False, [False, True, True, True], 1603, 'East', (7, 9))
Element 18: (2, (7, 9), ['', '.', '%', '%'], [(18, 11), (16, 10), (17, 4)], [False, False, True, True], 64, False, [False, True, False, False], 1642, 'South', (7, 8))
Element 19: (2, (7, 8), ['.', '.', '', '.'], [(17, 11), (15, 10), (17, 5)], [False, False, False, False], 62, False, [True, True, False, True], 1681, 'East', (8, 8))
Element 20: (2, (8, 8), ['', '.', '%', '.'], [(18, 11), (15, 11), (16, 5)], [False, False, True, False], 60, False, [False, True, False, True], 1710, 'East', (9, 8))
Element 21: (2, (9, 8), ['', '.', '%', 'F'], [(18, 10), (15, 12), (15, 5)], [False, False, True, False], 58, False, [False, True, False, False], 1739, 'East', (10, 8))
Element 22: (2, (10, 8), ['', '.', '%', '.'], [(17, 10), (15, 13), (14, 5)], [False, False, True, False], 56, False, [False, True, False, True], 2758, 'East', (11, 8))
Element 23: (2, (11, 8), ['', '%', '.', '.'], [(17, 11), (16, 13), (13, 5)], [False, True, False, False], 54, False, [False, False, True, True], 2787, 'East', (12, 8))
Element 24: (2, (12, 8), ['', '', '.', '.'], [(17, 10), (17, 13), (14, 5)], [False, False, False, False], 52, False, [False, False, True, True], 2806, 'East', (13, 8))
Element 25: (2, (13, 8), ['', '', '%', '%'], [(16, 10), (18, 13), (15, 5)], [False, False, True, True], 50, False, [False, False, False, False], 2825, 'South', (13, 7))
Element 26: (2, (13, 7), ['', '%', '', ''], [(16, 9), (17, 13), (16, 5)], [False, True, False, False], 48, False, [False, False, False, False], 2824, 'East', (14, 7))
Element 27: (2, (14, 7), ['', '%', '%', ''], [(15, 9), (16, 13), (17, 5)], [False, True, True, False], 46, False, [False, False, False, False], 2833, 'East', (15, 7))
Element 28: (2, (15, 7), ['', '%', 'G', ''], [(15, 8), (15, 13), (18, 5)], [False, True, False, False], 44, False, [False, False, False, False], 2842, 'East', (16, 7))
Element 29: (2, (16, 7), ['', '%', 'G', ''], [(16, 8), (15, 12), (18, 6)], [False, True, False, False], 42, False, [False, False, False, False], 2841, 'East', (17, 7))
Element 30: (2, (17, 7), ['G', 'G', '', '%'], [(16, 7), (14, 12), (17, 6)], [False, False, False, True], 40, False, [False, False, False, False], 2850, 'North', (17, 8))
Element 31: (2, (17, 8), ['', 'G', '', '%'], [(15, 7), (14, 11), (17, 7)], [False, False, False, True], 38, False, [False, False, False, False], 2859, 'North', (17, 9))
Element 32: (2, (17, 9), ['', 'G', '', '%'], [(14, 7), (13, 11), (17, 8)], [False, False, False, True], 36, False, [False, False, False, False], 2868, 'North', (17, 10))
Element 33: (2, (17, 10), ['', 'G', '', ''], [(13, 7), (13, 12), (17, 9)], [False, False, False, False], 34, False, [False, False, False, False], 2877, 'East', (18, 10))
Element 34: (2, (18, 10), ['G', '%', '', '%'], [(13, 8), (13, 13), (17, 10)], [False, True, False, True], 32, False, [False, False, False, False], 2886, 'North', (18, 11))
Element 35: (2, (18, 11), ['', 'G', '%', '%'], [(12, 8), (12, 13), (18, 10)], [False, False, True, True], 30, False, [False, False, False, False], 2895, 'West', (17, 11))
Element 36: (2, (17, 11), ['%', '', '%', 'G'], [(12, 9), (12, 12), (18, 11)], [True, False, True, False], 28, False, [False, False, False, False], 2914, 'South', (17, 10))
Element 37: (2, (17, 10), ['', '', 'G', ''], [(11, 9), (12, 11), (17, 11)], [False, False, False, False], 26, False, [False, False, False, False], 2933, 'East', (18, 10))
Element 38: (2, (18, 10), ['', '%', 'G', '%'], [(11, 8), (11, 11), (18, 11)], [False, True, False, True], 24, False, [False, False, False, False], 2942, 'West', (17, 10))
Element 39: (2, (17, 10), ['', '', '', 'G'], [(10, 8), (10, 11), (18, 10)], [False, False, False, False], 22, False, [False, False, False, False], 2951, 'North', (17, 11))
Element 40: (2, (17, 11), ['%', 'G', '%', ''], [(10, 7), (10, 12), (17, 10)], [True, False, True, False], 20, False, [False, False, False, False], 2970, 'East', (18, 11))
Element 41: (2, (18, 11), ['G', '', '%', '%'], [(9, 7), (9, 12), (17, 11)], [False, False, True, True], 18, False, [False, False, False, False], 2989, 'South', (18, 10))
Element 42: (2, (18, 10), ['G', '%', '', '%'], [(8, 7), (9, 13), (17, 10)], [False, True, False, True], 16, False, [False, False, False, False], 3008, 'North', (18, 11))
Element 43: (2, (18, 11), ['', '', '%', '%'], [(7, 7), (8, 13), (16, 10)], [False, False, True, True], 14, False, [False, False, False, False], 3027, 'South', (18, 10))
Element 44: (2, (18, 10), ['', '%', '', '%'], [(7, 8), (8, 12), (16, 9)], [False, True, False, True], 12, False, [False, False, False, False], 3036, 'West', (17, 10))
Element 45: (2, (17, 10), ['', '', '', ''], [(6, 8), (8, 11), (16, 8)], [False, False, False, False], 10, False, [False, False, False, False], 3055, 'South', (17, 9))
Element 46: (2, (17, 9), ['', '', '', '%'], [(6, 9), (9, 11), (16, 7)], [False, False, False, True], 8, False, [False, False, False, False], 3064, 'South', (17, 8))
Element 47: (2, (17, 8), ['', '', '', '%'], [(6, 10), (9, 10), (15, 7)], [False, False, False, True], 6, False, [False, False, False, False], 3083, 'West', (16, 8))
Element 48: (2, (16, 8), ['G', '', '', ''], [(5, 10), (8, 10), (15, 8)], [False, False, False, False], 4, False, [False, False, False, False], 3102, 'North', (16, 9))
Element 49: (2, (16, 9), ['G', '', '', ''], [(5, 11), (9, 10), (15, 9)], [False, False, False, False], 2, False, [False, False, False, False], 3111, 'North', (16, 10))
Element 50: (2, (16, 10), ['', '', '%', ''], [(5, 11), (9, 10), (14, 9)], [False, False, True, False], 0, False, [False, False, False, False], 3120, 'Stop', (16, 10))
Element 51: #0#
