Element 1: (0, (9, 5), ['%', '.', '.', 'G'], [(10, 5), (10, 7), (14, 11)], [True, False, False, False], 98, False, [False, True, True, False], 0, 'North', (9, 6))
Element 2: (0, (9, 6), ['.', '', '.', '.'], [(11, 5), (10, 8), (15, 11)], [False, False, False, False], 96, False, [True, False, True, True], 1029, 'East', (10, 6))
Element 3: (0, (10, 6), ['', '', '', 'G'], [(11, 6), (11, 8), (15, 12)], [False, False, False, False], 94, False, [False, False, False, False], 1068, 'North', (10, 7))
Element 4: (0, (10, 7), ['.', '', '', '%'], [(12, 6), (12, 8), (15, 13)], [False, False, False, True], 92, False, [True, False, False, False], 1097, 'West', (9, 7))
Element 5: (0, (9, 7), ['.', '', '.', ''], [(12, 7), (13, 8), (16, 13)], [False, False, False, False], 90, False, [True, False, True, False], 1136, 'North', (9, 8))
Element 6: (0, (9, 8), ['.', '', '%', ''], [(13, 7), (12, 8), (17, 13)], [False, False, True, False], 88, False, [True, False, False, False], 1165, 'West', (8, 8))
Element 7: (0, (8, 8), ['.', '.', '%', ''], [(14, 7), (12, 9), (18, 13)], [False, False, True, False], 86, False, [True, True, False, False], 1204, 'South', (8, 7))
Element 8: (0, (8, 7), ['.', '.', '', ''], [(15, 7), (11, 9), (17, 13)], [False, False, False, False], 84, False, [True, True, False, False], 1233, 'South', (8, 6))
Element 9: (0, (8, 6), ['.', '%', '', ''], [(16, 7), (12, 9), (16, 13)], [False, True, False, False], 82, False, [True, False, False, False], 1252, 'West', (7, 6))
Element 10: (0, (7, 6), ['%', '.', '.', ''], [(17, 7), (12, 8), (15, 13)], [True, False, False, False], 80, False, [False, True, True, False], 1271, 'North', (7, 7))
Element 11: (0, (7, 7), ['%', '', '.', ''], [(17, 8), (11, 8), (15, 12)], [True, False, False, False], 78, False, [False, False, True, False], 1290, 'North', (7, 8))
Element 12: (0, (7, 8), ['.', '', '.', ''], [(17, 9), (11, 9), (14, 12)], [False, False, False, False], 76, False, [True, False, True, False], 1319, 'North', (7, 9))
Element 13: (0, (7, 9), ['.', '', '%', '%'], [(17, 10), (11, 8), (13, 12)], [False, False, True, True], 74, False, [True, False, False, False], 1348, 'West', (6, 9))
Element 14: (0, (6, 9), ['.', '.', '.', ''], [(18, 10), (10, 8), (13, 13)], [False, False, False, False], 72, False, [True, True, True, False], 1377, 'North', (6, 10))
Element 15: (0, (6, 10), ['.', '', '%', '%'], [(18, 11), (9, 8), (12, 13)], [False, False, True, True], 70, False, [True, False, False, False], 1406, 'West', (5, 10))
Element 16: (0, (5, 10), ['.', '.', '.', ''], [(17, 11), (9, 7), (12, 12)], [False, False, False, False], 68, False, [True, True, True, False], 1435, 'North', (5, 11))
Element 17: (0, (5, 11), ['.', '', '%', '%'], [(18, 11), (9, 6), (12, 11)], [False, False, True, True], 66, False, [True, False, False, False], 1454, 'West', (4, 11))
Element 18: (0, (4, 11), ['.', '.', '.', ''], [(18, 10), (10, 6), (13, 11)], [False, False, False, False], 64, False, [True, True, True, False], 1473, 'North', (4, 12))
Element 19: (0, (4, 12), ['.', '', '%', '%'], [(17, 10), (11, 6), (12, 11)], [False, False, True, True], 62, False, [True, False, False, False], 1482, 'West', (3, 12))
Element 20: (0, (3, 12), ['.', '.', '.', ''], [(17, 11), (12, 6), (11, 11)], [False, False, False, False], 60, False, [True, True, True, False], 1501, 'North', (3, 13))
Element 21: (0, (3, 13), ['.', '', '%', '%'], [(17, 10), (12, 7), (10, 11)], [False, False, True, True], 58, False, [True, False, False, False], 1520, 'West', (2, 13))
Element 22: (0, (2, 13), ['.', '.', '%', ''], [(16, 10), (13, 7), (10, 12)], [False, False, True, False], 56, False, [True, True, False, False], 1549, 'South', (2, 12))
Element 23: (0, (2, 12), ['.', '.', '', ''], [(16, 9), (14, 7), (9, 12)], [False, False, False, False], 54, False, [True, True, False, False], 1578, 'South', (2, 11))
Element 24: (0, (2, 11), ['.', '%', '', '.'], [(16, 8), (15, 7), (9, 13)], [False, True, False, False], 52, False, [True, False, False, True], 1607, 'East', (3, 11))
Element 25: (0, (3, 11), ['', '%', '', ''], [(15, 8), (16, 7), (8, 13)], [False, True, False, False], 50, False, [False, False, False, False], 1636, 'West', (2, 11))
Element 26: (0, (2, 11), ['.', '%', '', ''], [(15, 9), (17, 7), (8, 12)], [False, True, False, False], 48, False, [True, False, False, False], 1655, 'West', (1, 11))
Element 27: (0, (1, 11), ['%', '%', '.', ''], [(15, 10), (17, 6), (8, 11)], [True, True, False, False], 46, False, [False, False, True, False], 1694, 'North', (1, 12))
Element 28: (0, (1, 12), ['%', '', '.', ''], [(15, 11), (18, 6), (9, 11)], [True, False, False, False], 44, False, [False, False, True, False], 1723, 'North', (1, 13))
Element 29: (0, (1, 13), ['%', '', '%', ''], [(15, 12), (18, 5), (9, 10)], [True, False, True, False], 42, False, [False, False, False, False], 1752, 'South', (1, 12))
Element 30: (0, (1, 12), ['%', '', '', ''], [(15, 13), (18, 4), (8, 10)], [True, False, False, False], 40, False, [False, False, False, False], 1771, 'South', (1, 11))
Element 31: (0, (1, 11), ['%', '%', '', ''], [(16, 13), (18, 3), (9, 10)], [True, True, False, False], 38, False, [False, False, False, False], 1780, 'East', (2, 11))
Element 32: (0, (2, 11), ['', '%', '', ''], [(17, 13), (18, 2), (9, 11)], [False, True, False, False], 36, False, [False, False, False, False], 1789, 'North', (2, 12))
Element 33: (0, (2, 12), ['', '', '', ''], [(18, 13), (18, 1), (8, 11)], [False, False, False, False], 34, False, [False, False, False, False], 1798, 'West', (1, 12))
