Element 38: (0, (10, 7), ['.', '.', '', '%'], [(18, 11), (13, 11), (18, 13)], [False, False, False, True], 24, False, [True, True, False, False], 2753, 'South', (10, 6))
Element 39: (0, (10, 6), ['.', '.', '', '.'], [(17, 11), (13, 12), (17, 13)], [False, False, False, False], 22, False, [True, True, False, True], 2762, 'East', (11, 6))
Element 40: (0, (11, 6), ['', '.', '%', '.'], [(18, 11), (13, 11), (16, 13)], [False, False, True, False], 20, False, [False, True, False, True], 2771, 'East', (12, 6))
Element 41: (0, (12, 6), ['', '%', '.', '%'], [(18, 10), (12, 11), (15, 13)], [False, True, False, True], 18, False, [False, False, True, False], 2780, 'North', (12, 7))
Element 42: (0, (12, 7), ['%', '', '', ''], [(17, 10), (12, 12), (15, 12)], [True, False, False, False], 16, False, [False, False, False, False], 2789, 'South', (12, 6))
Element 43: (0, (12, 6), ['', '%', '', '%'], [(17, 11), (12, 11), (14, 12)], [False, True, False, True], 14, False, [False, False, False, False], 2788, 'West', (11, 6))
Element 44: (0, (11, 6), ['', '.', '%', ''], [(17, 10), (11, 11), (14, 11)], [False, False, True, False], 12, False, [False, True, False, False], 2787, 'South', (11, 5))
Element 45: (0, (11, 5), ['.', '.', '', '%'], [(16, 10), (10, 11), (13, 11)], [False, False, False, True], 10, False, [True, True, False, False], 2796, 'South', (11, 4))
Element 46: (0, (11, 4), ['.', '', '', '%'], [(16, 9), (10, 12), (13, 12)], [False, False, False, True], 8, False, [True, False, False, False], 2805, 'West', (10, 4))
Element 47: (0, (10, 4), ['.', '.', '.', ''], [(16, 8), (9, 12), (13, 13)], [False, False, False, False], 6, False, [True, True, True, False], 2814, 'North', (10, 5))
Element 48: (0, (10, 5), ['.', '', '', ''], [(16, 7), (9, 13), (12, 13)], [False, False, False, False], 4, False, [True, False, False, False], 2833, 'West', (9, 5))
Element 49: (0, (9, 5), ['%', '.', '.', ''], [(15, 7), (8, 13), (12, 12)], [True, False, False, False], 2, False, [False, True, True, False], 2852, 'North', (9, 6))
Element 50: (0, (9, 6), ['.', '', '.', ''], [(15, 8), (7, 13), (12, 11)], [False, False, False, False], 0, False, [True, False, True, False], 2871, 'Stop', (9, 6))
Element 51: #0#
