Element 32: (3, (12, 12), ['%', '', 'G', ''], [(14, 5), (17, 10), (12, 13)], [True, False, False, False], 36, False, [False, False, False, False], 2798, 'East', (13, 12))
Element 33: (3, (13, 12), ['', '', '', ''], [(14, 4), (17, 11), (11, 13)], [False, False, False, False], 34, False, [False, False, False, False], 2807, 'East', (14, 12))
Element 34: (3, (14, 12), ['', '', '%', ''], [(13, 4), (17, 10), (12, 13)], [False, False, True, False], 32, False, [False, False, False, False], 2806, 'East', (15, 12))
Element 35: (3, (15, 12), ['', '', '', '%'], [(14, 4), (16, 10), (12, 12)], [False, False, False, True], 30, False, [False, False, False, False], 2805, 'North', (15, 13))
Element 36: (3, (15, 13), ['%', '', '%', ''], [(15, 4), (16, 9), (12, 11)], [True, False, True, False], 28, False, [False, False, False, False], 2804, 'East', (16, 13))
Element 37: (3, (16, 13), ['', '%', '%', ''], [(15, 5), (16, 8), (11, 11)], [False, True, True, False], 26, False, [False, False, False, False], 2813, 'East', (17, 13))
Element 38: (3, (17, 13), ['', '%', '%', ''], [(14, 5), (15, 8), (10, 11)], [False, True, True, False], 24, False, [False, False, False, False], 2822, 'East', (18, 13))
Element 39: (3, (18, 13), ['', '%', '%', '%'], [(15, 5), (15, 9), (10, 12)], [False, True, True, True], 22, False, [False, False, False, False], 2831, 'West', (17, 13))
Element 40: (3, (17, 13), ['', '%', '%', ''], [(16, 5), (15, 10), (9, 12)], [False, True, True, False], 20, False, [False, False, False, False], 2840, 'West', (16, 13))
Element 41: (3, (16, 13), ['', '%', '%', ''], [(16, 4), (15, 11), (9, 13)], [False, True, True, False], 18, False, [False, False, False, False], 2849, 'West', (15, 13))
Element 42: (3, (15, 13), ['%', 'G', '%', ''], [(15, 4), (15, 12), (8, 13)], [True, False, True, False], 16, False, [False, False, False, False], 2858, 'East', (16, 13))
Element 43: (3, (16, 13), ['G', '%', '%', ''], [(16, 4), (15, 13), (8, 12)], [False, True, True, False], 14, False, [False, False, False, False], 2867, 'Stop', (16, 13))
Element 44: (3, (16, 13), ['', '%', '%', ''], [(17, 4), (15, 12), (8, 11)], [False, True, True, False], 12, False, [False, False, False, False], 2876, 'Stop', (16, 13))
Element 45: (3, (16, 13), ['', '%', '%', ''], [(17, 5), (14, 12), (9, 11)], [False, True, True, False], 10, False, [False, False, False, False], 2885, 'West', (15, 13))
Element 46: (3, (15, 13), ['%', '', '%', ''], [(16, 5), (14, 11), (9, 10)], [True, False, True, False], 8, False, [False, False, False, False], 2894, 'South', (15, 12))
Element 47: (3, (15, 12), ['', '', '', '%'], [(17, 5), (13, 11), (8, 10)], [False, False, False, True], 6, False, [False, False, False, False], 2903, 'West', (14, 12))
Element 48: (3, (14, 12), ['G', '', '%', ''], [(17, 6), (13, 12), (9, 10)], [False, False, True, False], 4, False, [False, False, False, False], 2902, 'South', (14, 11))
Element 49: (3, (14, 11), ['', '%', '', ''], [(18, 6), (13, 13), (9, 11)], [False, True, False, False], 2, False, [False, False, False, False], 2901, 'West', (13, 11))
Element 50: (3, (13, 11), ['', '%', '', ''], [(18, 6), (13, 13), (9, 11)], [False, True, False, False], 0, False, [False, False, False, False], 2900, 'Stop', (13, 11))
Element 51: #0#
