Element 1: (2, (4, 1), ['G', '%', '.', '.'], [(17, 13), (3, 1), (17, 2)], [False, True, False, False], 98, False, [False, False, True, True], 19, 'East', (5, 1))
Element 2: (2, (5, 1), ['', '%', '%', '%'], [(18, 13), (3, 2), (18, 2)], [False, True, True, True], 96, False, [False, False, False, False], 58, 'West', (4, 1))
Element 3: (2, (4, 1), ['', '%', 'G', ''], [(17, 13), (4, 2), (18, 3)], [False, True, False, False], 94, False, [False, False, False, False], 77, 'West', (3, 1))
Element 4: (2, (3, 1), ['', '%', '', ''], [(16, 13), (4, 3), (18, 4)], [False, True, False, False], 92, False, [False, False, False, False], 96, 'North', (3, 2))
Element 5: (2, (3, 2), ['.', '', '.', ''], [(15, 13), (5, 3), (18, 5)], [False, False, False, False], 90, False, [True, False, True, False], 125, 'North', (3, 3))
Element 6: (2, (3, 3), ['.', '', '.', ''], [(15, 12), (6, 3), (18, 6)], [False, False, False, False], 88, False, [True, False, True, False], 164, 'North', (3, 4))
Element 7: (2, (3, 4), ['.', '', '.', '.'], [(15, 11), (7, 3), (17, 6)], [False, False, False, False], 86, False, [True, False, True, True], 203, 'East', (4, 4))
Element 8: (2, (4, 4), ['', '', '.', '%'], [(15, 10), (7, 2), (17, 7)], [False, False, False, True], 84, False, [False, False, True, False], 1232, 'North', (4, 5))
Element 9: (2, (4, 5), ['.', '', '.', '.'], [(16, 10), (8, 2), (17, 8)], [False, False, False, False], 82, False, [True, False, True, True], 1271, 'East', (5, 5))
Element 10: (2, (5, 5), ['', '%', '.', '.'], [(17, 10), (9, 2), (17, 9)], [False, True, False, False], 80, False, [False, False, True, True], 1310, 'East', (6, 5))
Element 11: (2, (6, 5), ['', '.', '%', '.'], [(18, 10), (10, 2), (16, 9)], [False, False, True, False], 78, False, [False, True, False, True], 1349, 'East', (7, 5))
Element 12: (2, (7, 5), ['', '.', '.', '%'], [(18, 11), (11, 2), (16, 8)], [False, False, False, True], 76, False, [False, True, True, False], 1388, 'North', (7, 6))
Element 13: (2, (7, 6), ['%', '', '.', '.'], [(17, 11), (12, 2), (16, 7)], [True, False, False, False], 74, False, [False, False, True, True], 1427, 'East', (8, 6))
Element 14: (2, (8, 6), ['', '%', '.', '.'], [(18, 11), (13, 2), (15, 7)], [False, True, False, False], 72, False, [False, False, True, True], 1456, 'East', (9, 6))
Element 15: (2, (9, 6), ['', '.', '.', '.'], [(18, 10), (13, 3), (15, 8)], [False, False, False, False], 70, False, [False, True, True, True], 1485, 'East', (10, 6))
Element 16: (2, (10, 6), ['', '.', '.', '.'], [(17, 10), (14, 3), (15, 9)], [False, False, False, False], 68, False, [False, True, True, True], 1514, 'East', (11, 6))
Element 17: (2, (11, 6), ['', '.', '%', '.'], [(17, 11), (15, 3), (14, 9)], [False, False, True, False], 66, False, [False, True, False, True], 1543, 'East', (12, 6))
Element 18: (2, (12, 6), ['', '%', '.', '%'], [(17, 10), (16, 3), (15, 9)], [False, True, False, True], 64, False, [False, False, True, False], 1562, 'North', (12, 7))
Element 19: (2, (12, 7), ['%', '', '.', '.'], [(17, 9), (17, 3), (15, 10)], [True, False, False, False], 62, False, [False, False, True, True], 1581, 'East', (13, 7))
Element 20: (2, (13, 7), ['', '%', '.', '.'], [(17, 8), (17, 4), (16, 10)], [False, True, False, False], 60, False, [False, False, True, True], 1600, 'East', (14, 7))
Element 21: (2, (14, 7), ['', '%', '%', ''], [(17, 7), (17, 5), (17, 10)], [False, True, True, False], 58, False, [False, False, False, False], 1619, 'East', (15, 7))
Element 22: (2, (15, 7), ['', '%', '', ''], [(17, 6), (16, 5), (18, 10)], [False, True, False, False], 56, False, [False, False, False, False], 1628, 'East', (16, 7))
Element 23: (2, (16, 7), ['', '%', '', ''], [(18, 6), (16, 4), (18, 11)], [False, True, False, False], 54, False, [False, False, False, False], 1637, 'East', (17, 7))
Element 24: (2, (17, 7), ['', '', '', '%'], [(18, 5), (15, 4), (17, 11)], [False, False, False, True], 52, False, [False, False, False, False], 1646, 'North', (17, 8))
Element 25: (2, (17, 8), ['', '', '', '%'], [(18, 4), (15, 5), (18, 11)], [False, False, False, True], 50, False, [False, False, False, False], 1655, 'North', (17, 9))
Element 26: (2, (17, 9), ['', '', '', '%'], [(18, 3), (14, 5), (18, 10)], [False, False, False, True], 48, False, [False, False, False, False], 1664, 'North', (17, 10))
Element 27: (2, (17, 10), ['', '', '', ''], [(18, 2), (14, 4), (18, 11)], [False, False, False, False], 46, False, [False, False, False, False], 1673, 'East', (18, 10))
Element 28: (2, (18, 10), ['', '%', '', '%'], [(18, 1), (13, 4), (17, 11)], [False, True, False, True], 44, False, [False, False, False, False], 1692, 'North', (18, 11))
Element 29: (2, (18, 11), ['', '', '%', '%'], [(17, 1), (13, 5), (17, 10)], [False, False, True, True], 42, False, [False, False, False, False], 1711, 'West', (17, 11))
Element 30: (2, (17, 11), ['%', '', '%', ''], [(16, 1), (13, 4), (16, 10)], [True, False, True, False], 40, False, [False, False, False, False], 2710, 'East', (18, 11))
Element 31: (2, (18, 11), ['', '', '%', '%'], [(17, 1), (14, 4), (15, 10)], [False, False, True, True], 38, False, [False, False, False, False], 2709, 'South', (18, 10))
Element 32: (2, (18, 10), ['', '%', '', '%'], [(17, 2), (14, 5), (15, 11)], [False, True, False, True], 36, False, [False, False, False, False], 2708, 'West', (17, 10))
Element 33: (2, (17, 10), ['', '', '', ''], [(17, 3), (13, 5), (14, 11)], [False, False, False, False], 34, False, [False, False, False, False], 2717, 'North', (17, 11))
Element 34: (2, (17, 11), ['%', '', '%', ''], [(17, 4), (14, 5), (14, 12)], [True, False, True, False], 32, False, [False, False, False, False], 2726, 'South', (17, 10))
Element 35: (2, (17, 10), ['', '', '', ''], [(17, 5), (15, 5), (13, 12)], [False, False, False, False], 30, False, [False, False, False, False], 2735, 'West', (16, 10))
Element 36: (2, (16, 10), ['', '', '%', ''], [(16, 5), (15, 4), (13, 13)], [False, False, True, False], 28, False, [False, False, False, False], 2744, 'South', (16, 9))
Element 37: (2, (16, 9), ['', '', '', ''], [(16, 4), (14, 4), (12, 13)], [False, False, False, False], 26, False, [False, False, False, False], 2753, 'South', (16, 8))
Element 38: (2, (16, 8), ['', '', '', ''], [(16, 3), (15, 4), (12, 12)], [False, False, False, False], 24, False, [False, False, False, False], 2762, 'West', (15, 8))
