Element 1: (2, (7, 3), ['.', 'F', '.', '.'], [(2, 1), (4, 2), (11, 5)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'South', (7, 2))
Element 2: (2, (7, 2), ['%', '%', '', '.'], [(3, 1), (4, 3), (11, 6)], [True, True, False, False], 96, False, [False, False, False, True], 1048, 'East', (8, 2))
Element 3: (2, (8, 2), ['', '%', '.', '.'], [(4, 1), (5, 3), (12, 6)], [False, True, False, False], 94, False, [False, False, True, True], 1087, 'East', (9, 2))
Element 4: (2, (9, 2), ['', '%', '.', '.'], [(5, 1), (6, 3), (12, 7)], [False, True, False, False], 92, False, [False, False, True, True], 1126, 'East', (10, 2))
Element 5: (2, (10, 2), ['', '%', '.', '.'], [(4, 1), (6, 4), (13, 7)], [False, True, False, False], 90, False, [False, False, True, True], 1155, 'East', (11, 2))
Element 6: (2, (11, 2), ['', '.', '.', '.'], [(4, 2), (7, 4), (14, 7)], [False, False, False, False], 88, False, [False, True, True, True], 1184, 'East', (12, 2))
Element 7: (2, (12, 2), ['', '.', '.', '.'], [(4, 3), (8, 4), (15, 7)], [False, False, False, False], 86, False, [False, True, True, True], 1213, 'East', (13, 2))
Element 8: (2, (13, 2), ['', '%', '.', '%'], [(4, 4), (9, 4), (16, 7)], [False, True, False, True], 84, False, [False, False, True, False], 1252, 'North', (13, 3))
Element 9: (2, (13, 3), ['.', '', '.', '.'], [(4, 5), (10, 4), (17, 7)], [False, False, False, False], 82, False, [True, False, True, True], 1291, 'East', (14, 3))
Element 10: (2, (14, 3), ['', '%', '.', '.'], [(5, 5), (11, 4), (17, 8)], [False, True, False, False], 80, False, [False, False, True, True], 1330, 'East', (15, 3))
Element 11: (2, (15, 3), ['', '%', '.', '.'], [(6, 5), (11, 3), (17, 9)], [False, True, False, False], 78, False, [False, False, True, True], 1369, 'East', (16, 3))
Element 12: (2, (16, 3), ['', '%', '.', '.'], [(7, 5), (12, 3), (17, 10)], [False, True, False, False], 76, False, [False, False, True, True], 1408, 'East', (17, 3))
Element 13: (2, (17, 3), ['', '.', '.', '.'], [(7, 6), (13, 3), (18, 10)], [False, False, False, False], 74, False, [False, True, True, True], 1437, 'East', (18, 3))
Element 14: (2, (18, 3), ['', '.', '.', '%'], [(8, 6), (13, 4), (18, 11)], [False, False, False, True], 72, False, [False, True, True, False], 1476, 'North', (18, 4))
Element 15: (2, (18, 4), ['.', '', '.', '%'], [(9, 6), (14, 4), (17, 11)], [False, False, False, True], 70, False, [True, False, True, False], 1515, 'North', (18, 5))
Element 16: (2, (18, 5), ['.', '', '.', '%'], [(10, 6), (15, 4), (18, 11)], [False, False, False, True], 68, False, [True, False, True, False], 1544, 'North', (18, 6))
Element 17: (2, (18, 6), ['.', '', '%', '%'], [(10, 7), (16, 4), (18, 10)], [False, False, True, True], 66, False, [True, False, False, False], 1573, 'West', (17, 6))
Element 18: (2, (17, 6), ['%', '.', '', ''], [(10, 8), (17, 4), (17, 10)], [True, False, False, False], 64, False, [False, True, False, False], 2592, 'South', (17, 5))
Element 19: (2, (17, 5), ['.', '', '', ''], [(11, 8), (18, 4), (17, 11)], [False, False, False, False], 62, False, [True, False, False, False], 2611, 'West', (16, 5))
Element 20: (2, (16, 5), ['.', '', '%', ''], [(12, 8), (18, 5), (17, 10)], [False, False, True, False], 60, False, [True, False, False, False], 2630, 'West', (15, 5))
Element 21: (2, (15, 5), ['.', '', '%', ''], [(13, 8), (18, 6), (16, 10)], [False, False, True, False], 58, False, [True, False, False, False], 2659, 'West', (14, 5))
Element 22: (2, (14, 5), ['.', '', '%', ''], [(13, 7), (17, 6), (16, 9)], [False, False, True, False], 56, False, [True, False, False, False], 2678, 'West', (13, 5))
Element 23: (2, (13, 5), ['%', '', '%', ''], [(14, 7), (17, 7), (16, 8)], [True, False, True, False], 54, False, [False, False, False, False], 2697, 'South', (13, 4))
Element 24: (2, (13, 4), ['%', '', '', ''], [(15, 7), (17, 8), (15, 8)], [True, False, False, False], 52, False, [False, False, False, False], 2706, 'East', (14, 4))
Element 25: (2, (14, 4), ['', '', '', ''], [(16, 7), (17, 9), (15, 9)], [False, False, False, False], 50, False, [False, False, False, False], 2715, 'East', (15, 4))
Element 26: (2, (15, 4), ['', '', '', ''], [(17, 7), (17, 10), (15, 10)], [False, False, False, False], 48, False, [False, False, False, False], 2724, 'East', (16, 4))
Element 27: (2, (16, 4), ['', '', '', ''], [(17, 8), (18, 10), (15, 11)], [False, False, False, False], 46, False, [False, False, False, False], 2733, 'East', (17, 4))
Element 28: (2, (17, 4), ['', '', '', ''], [(17, 9), (18, 11), (15, 12)], [False, False, False, False], 44, False, [False, False, False, False], 2742, 'West', (16, 4))
Element 29: (2, (16, 4), ['', '', '', ''], [(17, 10), (17, 11), (15, 13)], [False, False, False, False], 42, False, [False, False, False, False], 2751, 'West', (15, 4))
Element 30: (2, (15, 4), ['', '', '', ''], [(18, 10), (18, 11), (16, 13)], [False, False, False, False], 40, False, [False, False, False, False], 2760, 'West', (14, 4))
Element 31: (2, (14, 4), ['', '', '', ''], [(17, 10), (18, 10), (17, 13)], [False, False, False, False], 38, False, [False, False, False, False], 2769, 'West', (13, 4))
Element 32: (2, (13, 4), ['%', '', '', ''], [(16, 10), (17, 10), (18, 13)], [True, False, False, False], 36, False, [False, False, False, False], 2778, 'North', (13, 5))
Element 33: (2, (13, 5), ['%', '', '%', ''], [(16, 9), (17, 11), (17, 13)], [True, False, True, False], 34, False, [False, False, False, False], 2777, 'East', (14, 5))
Element 34: (2, (14, 5), ['', '', '%', ''], [(16, 8), (17, 10), (16, 13)], [False, False, True, False], 32, False, [False, False, False, False], 2776, 'South', (14, 4))
Element 35: (2, (14, 4), ['', '', '', ''], [(15, 8), (16, 10), (15, 13)], [False, False, False, False], 30, False, [False, False, False, False], 2775, 'North', (14, 5))
Element 36: (2, (14, 5), ['', '', '%', ''], [(15, 9), (16, 9), (15, 12)], [False, False, True, False], 28, False, [False, False, False, False], 2774, 'East', (15, 5))
Element 37: (2, (15, 5), ['', '', '%', ''], [(14, 9), (16, 8), (14, 12)], [False, False, True, False], 26, False, [False, False, False, False], 2793, 'South', (15, 4))
Element 38: (2, (15, 4), ['', '', '', ''], [(15, 9), (16, 7), (14, 11)], [False, False, False, False], 24, False, [False, False, False, False], 2802, 'North', (15, 5))
