Element 38: (1, (10, 3), ['', '', '.', ''], [(9, 13), (17, 11), (17, 4)], [False, False, False, False], 24, False, [False, False, True, False], 7872, 'North', (10, 4))
Element 39: (1, (10, 4), ['.', '', 'F', ''], [(10, 13), (17, 10), (17, 5)], [False, False, False, False], 22, False, [True, False, False, False], 7891, 'North', (10, 5))
Element 40: (1, (10, 5), ['.', '', '%', '%'], [(10, 12), (17, 9), (16, 5)], [False, False, True, True], 20, False, [True, False, False, False], 8890, 'West', (9, 5))
Element 41: (1, (9, 5), ['.', '.', '.', ''], [(11, 12), (17, 10), (17, 5)], [False, False, False, False], 18, False, [True, True, True, False], 8899, 'North', (9, 6))
Element 42: (1, (9, 6), ['.', '', '.', '%'], [(12, 12), (16, 10), (17, 6)], [False, False, False, True], 16, False, [True, False, True, False], 8908, 'North', (9, 7))
Element 43: (1, (9, 7), ['%', '', '.', '.'], [(12, 13), (17, 10), (16, 6)], [True, False, False, False], 14, False, [False, False, True, True], 8927, 'East', (10, 7))
Element 44: (1, (10, 7), ['', '%', '.', '%'], [(13, 13), (18, 10), (16, 5)], [False, True, False, True], 12, False, [False, False, True, False], 8936, 'North', (10, 8))
Element 45: (1, (10, 8), ['.', '', '%', '%'], [(14, 13), (18, 11), (16, 6)], [False, False, True, True], 10, False, [True, False, False, False], 8945, 'West', (9, 8))
Element 46: (1, (9, 8), ['.', '', '%', ''], [(15, 13), (17, 11), (15, 6)], [False, False, True, False], 8, False, [True, False, False, False], 8954, 'West', (8, 8))
Element 47: (1, (8, 8), ['.', '%', '.', ''], [(16, 13), (18, 11), (15, 5)], [False, True, False, False], 6, False, [True, False, True, False], 8963, 'North', (8, 9))
Element 48: (1, (8, 9), ['.', '', '%', '%'], [(17, 13), (18, 12), (15, 4)], [False, False, True, True], 4, False, [True, False, False, False], 8972, 'West', (7, 9))
Element 49: (1, (7, 9), ['.', '.', '%', ''], [(18, 13), (17, 12), (14, 4)], [False, False, True, False], 2, False, [True, True, False, False], 8981, 'South', (7, 8))
Element 50: (1, (7, 8), ['.', '%', '', ''], [(18, 13), (18, 12), (14, 5)], [False, True, False, False], 0, False, [True, False, False, False], 8990, 'Stop', (7, 8))
Element 51: #0#
