Element 1: (2, (2, 7), ['.', '.', 'F', '.'], [(6, 13), (3, 5), (7, 2)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'North', (2, 8))
Element 2: (2, (2, 8), ['F', '', '%', '%'], [(7, 13), (4, 5), (8, 2)], [False, False, True, True], 96, False, [False, False, False, False], 1048, 'West', (1, 8))
Element 3: (2, (1, 8), ['%', '.', '%', ''], [(7, 12), (5, 5), (9, 2)], [True, False, True, False], 94, False, [False, True, False, False], 3067, 'South', (1, 7))
Element 4: (2, (1, 7), ['%', '.', '', ''], [(8, 12), (6, 5), (10, 2)], [True, False, False, False], 92, False, [False, True, False, False], 4096, 'South', (1, 6))
Element 5: (2, (1, 6), ['%', '.', '', '.'], [(9, 12), (6, 6), (11, 2)], [True, False, False, False], 90, False, [False, True, False, True], 4135, 'East', (2, 6))
Element 6: (2, (2, 6), ['', '', '', '.'], [(10, 12), (5, 6), (12, 2)], [False, False, False, False], 88, False, [False, False, False, True], 4174, 'East', (3, 6))
Element 7: (2, (3, 6), ['', '', '.', 'G'], [(11, 12), (4, 6), (13, 2)], [False, False, False, False], 86, False, [False, False, True, False], 4213, 'North', (3, 7))
Element 8: (2, (3, 7), ['', 'G', '%', '%'], [(12, 12), (3, 6), (14, 2)], [False, False, True, True], 84, False, [False, False, False, False], 4242, 'West', (2, 7))
Element 9: (2, (2, 7), ['', '', '', 'G'], [(13, 12), (3, 7), (14, 3)], [False, False, False, False], 82, False, [False, False, False, False], 4261, 'South', (2, 6))
Element 10: (2, (2, 6), ['', '', 'G', ''], [(13, 13), (2, 7), (14, 4)], [False, False, False, False], 80, False, [False, False, False, False], 4280, 'East', (3, 6))
Element 11: (2, (3, 6), ['', '', '', ''], [(14, 13), (2, 8), (15, 4)], [False, False, False, False], 78, False, [False, False, False, False], 4299, 'West', (2, 6))
Element 12: (2, (2, 6), ['', '', '', ''], [(15, 13), (1, 8), (16, 4)], [False, False, False, False], 76, False, [False, False, False, False], 4318, 'South', (2, 5))
Element 13: (2, (2, 5), ['.', '.', '', ''], [(16, 13), (1, 7), (17, 4)], [False, False, False, False], 74, False, [True, True, False, False], 4337, 'South', (2, 4))
Element 14: (2, (2, 4), ['.', '.', '', '.'], [(17, 13), (1, 6), (18, 4)], [False, False, False, False], 72, False, [True, True, False, True], 4366, 'East', (3, 4))
Element 15: (2, (3, 4), ['', '.', '', '.'], [(18, 13), (1, 5), (18, 5)], [False, False, False, False], 70, False, [False, True, False, True], 4405, 'East', (4, 4))
Element 16: (2, (4, 4), ['', '.', '', '%'], [(18, 12), (1, 4), (17, 5)], [False, False, False, True], 68, False, [False, True, False, False], 4444, 'South', (4, 3))
Element 17: (2, (4, 3), ['.', '.', '', '.'], [(18, 11), (2, 4), (17, 6)], [False, False, False, False], 66, False, [True, True, False, True], 4473, 'East', (5, 3))
Element 18: (2, (5, 3), ['', '.', '%', '.'], [(18, 10), (2, 3), (17, 7)], [False, False, True, False], 64, False, [False, True, False, True], 4512, 'East', (6, 3))
Element 19: (2, (6, 3), ['', '.', '.', '.'], [(17, 10), (3, 3), (18, 7)], [False, False, False, False], 62, False, [False, True, True, True], 4551, 'East', (7, 3))
Element 20: (2, (7, 3), ['', '', '%', 'F'], [(17, 11), (4, 3), (17, 7)], [False, False, True, False], 60, False, [False, False, False, False], 4570, 'East', (8, 3))
Element 21: (2, (8, 3), ['', '', '.', '.'], [(17, 12), (4, 2), (17, 6)], [False, False, False, False], 58, False, [False, False, True, True], 5589, 'East', (9, 3))
Element 22: (2, (9, 3), ['', '', '.', '.'], [(16, 12), (5, 2), (16, 6)], [False, False, False, False], 56, False, [False, False, True, True], 5628, 'East', (10, 3))
Element 23: (2, (10, 3), ['', '', '.', '.'], [(16, 11), (6, 2), (16, 5)], [False, False, False, False], 54, False, [False, False, True, True], 5667, 'East', (11, 3))
Element 24: (2, (11, 3), ['', '', '.', '%'], [(16, 10), (6, 1), (15, 5)], [False, False, False, True], 52, False, [False, False, True, False], 6696, 'North', (11, 4))
Element 25: (2, (11, 4), ['.', '', '%', '.'], [(16, 9), (7, 1), (15, 6)], [False, False, True, False], 50, False, [True, False, False, True], 6735, 'East', (12, 4))
Element 26: (2, (12, 4), ['', '%', '.', '.'], [(17, 9), (8, 1), (15, 7)], [False, True, False, False], 48, False, [False, False, True, True], 6774, 'East', (13, 4))
Element 27: (2, (13, 4), ['', '.', '.', ''], [(16, 9), (9, 1), (15, 8)], [False, False, False, False], 46, False, [False, True, True, False], 6803, 'North', (13, 5))
Element 28: (2, (13, 5), ['.', '', '.', '.'], [(16, 10), (9, 2), (14, 8)], [False, False, False, False], 44, False, [True, False, True, True], 6822, 'East', (14, 5))
Element 29: (2, (14, 5), ['', '', '%', ''], [(16, 11), (10, 2), (14, 7)], [False, False, True, False], 42, False, [False, False, False, False], 6841, 'East', (15, 5))
Element 30: (2, (15, 5), ['', '', '', ''], [(16, 12), (11, 2), (14, 8)], [False, False, False, False], 40, False, [False, False, False, False], 6840, 'East', (16, 5))
Element 31: (2, (16, 5), ['', '', '', ''], [(15, 12), (11, 1), (13, 8)], [False, False, False, False], 38, False, [False, False, False, False], 6869, 'East', (17, 5))
Element 32: (2, (17, 5), ['', '', '', ''], [(16, 12), (12, 1), (14, 8)], [False, False, False, False], 36, False, [False, False, False, False], 6878, 'East', (18, 5))
Element 33: (2, (18, 5), ['', '', '%', '%'], [(17, 12), (13, 1), (15, 8)], [False, False, True, True], 34, False, [False, False, False, False], 6887, 'South', (18, 4))
Element 34: (2, (18, 4), ['', '.', '', '%'], [(17, 11), (14, 1), (15, 7)], [False, False, False, True], 32, False, [False, True, False, False], 6896, 'South', (18, 3))
Element 35: (2, (18, 3), ['.', '%', '', '%'], [(16, 11), (15, 1), (14, 7)], [False, True, False, True], 30, False, [True, False, False, False], 6915, 'West', (17, 3))
Element 36: (2, (17, 3), ['.', '%', '', ''], [(17, 11), (14, 1), (15, 7)], [False, True, False, False], 28, False, [True, False, False, False], 6924, 'West', (16, 3))
Element 37: (2, (16, 3), ['%', '%', '', ''], [(17, 10), (14, 2), (15, 6)], [True, True, False, False], 26, False, [False, False, False, False], 6933, 'North', (16, 4))
Element 38: (2, (16, 4), ['', '', '', ''], [(17, 9), (14, 3), (15, 5)], [False, False, False, False], 24, False, [False, False, False, False], 6932, 'East', (17, 4))
Element 39: (2, (17, 4), ['', '', '', ''], [(17, 10), (13, 3), (14, 5)], [False, False, False, False], 22, False, [False, False, False, False], 6941, 'West', (16, 4))
Element 40: (2, (16, 4), ['', '', '', ''], [(16, 10), (13, 4), (13, 5)], [False, False, False, False], 20, False, [False, False, False, False], 6940, 'West', (15, 4))
Element 41: (2, (15, 4), ['G', '%', '', ''], [(17, 10), (14, 4), (13, 6)], [False, True, False, False], 18, False, [False, False, False, False], 6949, 'East', (16, 4))
Element 42: (2, (16, 4), ['G', '', '', ''], [(18, 10), (15, 4), (12, 6)], [False, False, False, False], 16, False, [False, False, False, False], 6958, 'South', (16, 3))
Element 43: (2, (16, 3), ['%', '%', 'G', ''], [(18, 11), (16, 4), (12, 5)], [True, True, False, False], 14, False, [False, False, False, False], 6967, 'East', (17, 3))
Element 44: (2, (17, 3), ['', '%', 'G', ''], [(17, 11), (17, 4), (12, 4)], [False, True, False, False], 12, False, [False, False, False, False], 6966, 'West', (16, 3))
Element 45: (2, (16, 3), ['%', '%', '', ''], [(18, 11), (18, 4), (13, 4)], [True, True, False, False], 10, False, [False, False, False, False], 6965, 'East', (17, 3))
Element 46: (2, (17, 3), ['', '%', '', ''], [(18, 12), (18, 5), (13, 3)], [False, True, False, False], 8, False, [False, False, False, False], 6964, 'East', (18, 3))
Element 47: (2, (18, 3), ['', '%', '', '%'], [(17, 12), (17, 5), (13, 4)], [False, True, False, True], 6, False, [False, False, False, False], 6963, 'North', (18, 4))
Element 48: (2, (18, 4), ['', '', '', '%'], [(18, 12), (17, 6), (12, 4)], [False, False, False, True], 4, False, [False, False, False, False], 6962, 'West', (17, 4))
Element 49: (2, (17, 4), ['', '', '', ''], [(18, 13), (17, 7), (11, 4)], [False, False, False, False], 2, False, [False, False, False, False], 6961, 'East', (18, 4))
Element 50: (2, (18, 4), ['', '', '', '%'], [(18, 13), (17, 7), (10, 4)], [False, False, False, True], 0, False, [False, False, False, False], 6970, 'Stop', (18, 4))
Element 51: #0#
