Element 1: (2, (13, 5), ['', '.', '.', '.'], [(12, 6), (6, 5), (16, 11)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (14, 5))
Element 2: (2, (14, 5), ['', '.', '%', '.'], [(13, 6), (6, 4), (17, 11)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (15, 5))
Element 3: (2, (15, 5), ['', '.', '.', '.'], [(13, 5), (6, 3), (18, 11)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (16, 5))
Element 4: (2, (16, 5), ['', '.', '.', '.'], [(13, 4), (7, 3), (18, 12)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (17, 5))
Element 5: (2, (17, 5), ['', '.', '.', '.'], [(14, 4), (8, 3), (18, 13)], [False, False, False, False], 90, False, [False, True, True, True], 1155, 'East', (18, 5))
Element 6: (2, (18, 5), ['', '.', '%', '%'], [(15, 4), (9, 3), (17, 13)], [False, False, True, True], 88, False, [False, True, False, False], 1194, 'South', (18, 4))
Element 7: (2, (18, 4), ['.', '.', '', '%'], [(16, 4), (9, 2), (17, 12)], [False, False, False, True], 86, False, [True, True, False, False], 2223, 'South', (18, 3))
Element 8: (2, (18, 3), ['.', '%', '', '%'], [(17, 4), (10, 2), (16, 12)], [False, True, False, True], 84, False, [True, False, False, False], 2262, 'West', (17, 3))
Element 9: (2, (17, 3), ['.', '%', '', ''], [(18, 4), (11, 2), (16, 13)], [False, True, False, False], 82, False, [True, False, False, False], 2291, 'West', (16, 3))
Element 10: (2, (16, 3), ['%', '%', '', ''], [(18, 5), (12, 2), (15, 13)], [True, True, False, False], 80, False, [False, False, False, False], 2320, 'North', (16, 4))
Element 11: (2, (16, 4), ['', '', '', ''], [(17, 5), (13, 2), (15, 12)], [False, False, False, False], 78, False, [False, False, False, False], 2339, 'East', (17, 4))
Element 12: (2, (17, 4), ['', '', '', ''], [(17, 6), (14, 2), (15, 13)], [False, False, False, False], 76, False, [False, False, False, False], 2358, 'West', (16, 4))
Element 13: (2, (16, 4), ['', '', '', ''], [(17, 7), (14, 3), (14, 13)], [False, False, False, False], 74, False, [False, False, False, False], 2387, 'West', (15, 4))
Element 14: (2, (15, 4), ['', '%', '', ''], [(18, 7), (13, 3), (13, 13)], [False, True, False, False], 72, False, [False, False, False, False], 2416, 'West', (14, 4))
Element 15: (2, (14, 4), ['G', '', '', ''], [(17, 7), (13, 4), (13, 12)], [False, False, False, False], 70, False, [False, False, False, False], 2425, 'South', (14, 3))
Element 16: (2, (14, 3), ['', '', '', '%'], [(17, 6), (12, 4), (13, 11)], [False, False, False, True], 68, False, [False, False, False, False], 2444, 'South', (14, 2))
Element 17: (2, (14, 2), ['', '.', '', '%'], [(16, 6), (11, 4), (12, 11)], [False, False, False, True], 66, False, [False, True, False, False], 2473, 'South', (14, 1))
Element 18: (2, (14, 1), ['.', '%', '', '.'], [(15, 6), (11, 3), (12, 12)], [False, True, False, False], 64, False, [True, False, False, True], 2512, 'East', (15, 1))
Element 19: (2, (15, 1), ['', '%', '%', '%'], [(15, 7), (10, 3), (12, 13)], [False, True, True, True], 62, False, [False, False, False, False], 2551, 'West', (14, 1))
Element 20: (2, (14, 1), ['.', '%', '', ''], [(15, 8), (10, 4), (12, 12)], [False, True, False, False], 60, False, [True, False, False, False], 2570, 'West', (13, 1))
Element 21: (2, (13, 1), ['.', '%', '', ''], [(14, 8), (10, 5), (11, 12)], [False, True, False, False], 58, False, [True, False, False, False], 3599, 'West', (12, 1))
