Element 1: (2, (1, 13), ['%', '.', '%', '%'], [(6, 5), (1, 11), (12, 11)], [True, False, True, True], 98, False, [False, True, False, False], 1009, 'South', (1, 12))
Element 2: (2, (1, 12), ['%', '', '', '.'], [(6, 6), (2, 11), (13, 11)], [True, False, False, False], 96, False, [False, False, False, True], 2038, 'East', (2, 12))
Element 3: (2, (2, 12), ['', '', '%', '.'], [(5, 6), (2, 10), (13, 12)], [False, False, True, False], 94, False, [False, False, False, True], 2077, 'East', (3, 12))
Element 4: (2, (3, 12), ['', '%', '.', '.'], [(5, 5), (3, 10), (13, 13)], [False, True, False, False], 92, False, [False, False, True, True], 2116, 'East', (4, 12))
Element 5: (2, (4, 12), ['', '.', '.', '.'], [(4, 5), (4, 10), (14, 13)], [False, False, False, False], 90, False, [False, True, True, True], 2155, 'East', (5, 12))
Element 6: (2, (5, 12), ['', '.', '.', '.'], [(4, 6), (4, 11), (15, 13)], [False, False, False, False], 88, False, [False, True, True, True], 2194, 'East', (6, 12))
Element 7: (2, (6, 12), ['', '.', '.', '.'], [(3, 6), (5, 11), (16, 13)], [False, False, False, False], 86, False, [False, True, True, True], 2233, 'East', (7, 12))
Element 8: (2, (7, 12), ['', '%', '.', 'F'], [(3, 7), (6, 11), (17, 13)], [False, True, False, False], 84, False, [False, False, True, False], 2272, 'East', (8, 12))
Element 9: (2, (8, 12), ['', '%', '%', '.'], [(2, 7), (6, 12), (18, 13)], [False, True, True, False], 82, False, [False, False, False, True], 3291, 'East', (9, 12))
Element 10: (2, (9, 12), ['', '%', '.', '.'], [(2, 8), (6, 13), (18, 12)], [False, True, False, False], 80, False, [False, False, True, True], 4320, 'East', (10, 12))
Element 11: (2, (10, 12), ['', '%', '.', '.'], [(1, 8), (7, 13), (18, 11)], [False, True, False, False], 78, False, [False, False, True, True], 5349, 'East', (11, 12))
Element 12: (2, (11, 12), ['', '%', '%', '.'], [(1, 7), (7, 12), (18, 10)], [False, True, True, False], 76, False, [False, False, False, True], 5378, 'East', (12, 12))
Element 13: (2, (12, 12), ['', '', '.', ''], [(1, 6), (8, 12), (17, 10)], [False, False, False, False], 74, False, [False, False, True, False], 5407, 'North', (12, 13))
Element 14: (2, (12, 13), ['%', '', '%', ''], [(2, 6), (9, 12), (17, 11)], [True, False, True, False], 72, False, [False, False, False, False], 5436, 'East', (13, 13))
Element 15: (2, (13, 13), ['', '', '%', ''], [(2, 5), (9, 13), (17, 12)], [False, False, True, False], 70, False, [False, False, False, False], 5465, 'East', (14, 13))
Element 16: (2, (14, 13), ['', '%', '%', ''], [(3, 5), (10, 13), (16, 12)], [False, True, True, False], 68, False, [False, False, False, False], 5494, 'East', (15, 13))
Element 17: (2, (15, 13), ['', '.', '%', ''], [(3, 4), (10, 12), (16, 11)], [False, False, True, False], 66, False, [False, True, False, False], 5513, 'South', (15, 12))
Element 18: (2, (15, 12), ['%', '%', '', ''], [(4, 4), (11, 12), (16, 10)], [True, True, False, False], 64, False, [False, False, False, False], 5542, 'East', (16, 12))
Element 19: (2, (16, 12), ['', '', '', ''], [(4, 3), (12, 12), (16, 9)], [False, False, False, False], 62, False, [False, False, False, False], 5561, 'East', (17, 12))
Element 20: (2, (17, 12), ['', '', '', ''], [(5, 3), (13, 12), (17, 9)], [False, False, False, False], 60, False, [False, False, False, False], 5580, 'East', (18, 12))
Element 21: (2, (18, 12), ['', '', '', '%'], [(6, 3), (13, 13), (16, 9)], [False, False, False, True], 58, False, [False, False, False, False], 5589, 'North', (18, 13))
Element 22: (2, (18, 13), ['', '', '%', '%'], [(7, 3), (14, 13), (16, 10)], [False, False, True, True], 56, False, [False, False, False, False], 5598, 'West', (17, 13))
Element 23: (2, (17, 13), ['', '', '%', ''], [(8, 3), (15, 13), (16, 11)], [False, False, True, False], 54, False, [False, False, False, False], 6597, 'West', (16, 13))
Element 24: (2, (16, 13), ['', 'G', '%', ''], [(9, 3), (15, 12), (16, 12)], [False, False, True, False], 52, False, [False, False, False, False], 6606, 'East', (17, 13))
