Element 1: (1, (1, 12), ['%', 'F', '.', '.'], [(9, 2), (7, 13), (8, 8)], [True, False, False, False], 98, False, [False, False, True, True], 999, 'South', (1, 11))
Element 2: (1, (1, 11), ['%', '.', '', 'F'], [(10, 2), (7, 12), (9, 8)], [True, False, False, False], 96, False, [False, True, False, False], 2028, 'East', (2, 11))
Element 3: (1, (2, 11), ['', '.', '.', '%'], [(11, 2), (8, 12), (10, 8)], [False, False, False, True], 94, False, [False, True, True, False], 4047, 'North', (2, 12))
Element 4: (1, (2, 12), ['', '', '%', '.'], [(12, 2), (9, 12), (10, 7)], [False, False, True, False], 92, False, [False, False, False, True], 4086, 'East', (3, 12))
Element 5: (1, (3, 12), ['', '%', '.', '.'], [(13, 2), (10, 12), (9, 7)], [False, True, False, False], 90, False, [False, False, True, True], 4125, 'East', (4, 12))
Element 6: (1, (4, 12), ['', '.', '.', '.'], [(14, 2), (11, 12), (9, 6)], [False, False, False, False], 88, False, [False, True, True, True], 4164, 'East', (5, 12))
Element 7: (1, (5, 12), ['', '.', '.', '.'], [(14, 3), (12, 12), (9, 5)], [False, False, False, False], 86, False, [False, True, True, True], 4203, 'East', (6, 12))
Element 8: (1, (6, 12), ['', '.', '.', ''], [(14, 4), (13, 12), (10, 5)], [False, False, False, False], 84, False, [False, True, True, False], 5232, 'North', (6, 13))
Element 9: (1, (6, 13), ['.', '', '%', ''], [(15, 4), (13, 13), (10, 4)], [False, False, True, False], 82, False, [True, False, False, False], 5271, 'West', (5, 13))
Element 10: (1, (5, 13), ['.', '', '%', ''], [(16, 4), (14, 13), (11, 4)], [False, False, True, False], 80, False, [True, False, False, False], 5310, 'West', (4, 13))
Element 11: (1, (4, 13), ['.', '', '%', ''], [(17, 4), (15, 13), (12, 4)], [False, False, True, False], 78, False, [True, False, False, False], 5349, 'West', (3, 13))
Element 12: (1, (3, 13), ['%', '', '%', ''], [(18, 4), (16, 13), (13, 4)], [True, False, True, False], 76, False, [False, False, False, False], 5388, 'East', (4, 13))
Element 13: (1, (4, 13), ['', '', '%', ''], [(18, 5), (17, 13), (13, 5)], [False, False, True, False], 74, False, [False, False, False, False], 5417, 'East', (5, 13))
Element 14: (1, (5, 13), ['', '', '%', ''], [(17, 5), (18, 13), (14, 5)], [False, False, True, False], 72, False, [False, False, False, False], 5446, 'East', (6, 13))
Element 15: (1, (6, 13), ['', '', '%', ''], [(17, 6), (18, 12), (15, 5)], [False, False, True, False], 70, False, [False, False, False, False], 5475, 'East', (7, 13))
Element 16: (1, (7, 13), ['', '', '%', '%'], [(17, 7), (18, 11), (16, 5)], [False, False, True, True], 68, False, [False, False, False, False], 5504, 'South', (7, 12))
Element 17: (1, (7, 12), ['', '%', '', ''], [(18, 7), (18, 10), (16, 6)], [False, True, False, False], 66, False, [False, False, False, False], 5533, 'East', (8, 12))
Element 18: (1, (8, 12), ['', '%', '%', ''], [(17, 7), (17, 10), (15, 6)], [False, True, True, False], 64, False, [False, False, False, False], 5552, 'East', (9, 12))
Element 19: (1, (9, 12), ['', '%', '.', ''], [(17, 6), (17, 11), (15, 7)], [False, True, False, False], 62, False, [False, False, True, False], 5571, 'North', (9, 13))
Element 20: (1, (9, 13), ['%', '', '%', '.'], [(16, 6), (17, 12), (15, 8)], [True, False, True, False], 60, False, [False, False, False, True], 5600, 'East', (10, 13))
Element 21: (1, (10, 13), ['', '', '%', '%'], [(16, 5), (16, 12), (14, 8)], [False, False, True, True], 58, False, [False, False, False, False], 5629, 'South', (10, 12))
Element 22: (1, (10, 12), ['', '%', '', ''], [(15, 5), (16, 11), (14, 7)], [False, True, False, False], 56, False, [False, False, False, False], 5648, 'East', (11, 12))
Element 23: (1, (11, 12), ['', '%', '%', ''], [(15, 6), (16, 10), (14, 8)], [False, True, True, False], 54, False, [False, False, False, False], 5657, 'East', (12, 12))
Element 24: (1, (12, 12), ['', '.', '.', ''], [(15, 7), (16, 9), (13, 8)], [False, False, False, False], 52, False, [False, True, True, False], 5676, 'North', (12, 13))
Element 25: (1, (12, 13), ['%', '', '%', ''], [(15, 8), (17, 9), (14, 8)], [True, False, True, False], 50, False, [False, False, False, False], 5695, 'East', (13, 13))
Element 26: (1, (13, 13), ['', '', '%', ''], [(14, 8), (16, 9), (13, 8)], [False, False, True, False], 48, False, [False, False, False, False], 5694, 'East', (14, 13))
