Element 1: (2, (10, 4), ['.', '.', 'F', '.'], [(5, 12), (9, 5), (16, 10)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'North', (10, 5))
Element 2: (2, (10, 5), ['', '', '%', '%'], [(6, 12), (9, 6), (17, 10)], [False, False, True, True], 96, False, [False, False, False, False], 1048, 'West', (9, 5))
Element 3: (2, (9, 5), ['', '.', '', ''], [(7, 12), (9, 7), (18, 10)], [False, False, False, False], 94, False, [False, True, False, False], 1077, 'South', (9, 4))
Element 4: (2, (9, 4), ['.', '.', '', ''], [(8, 12), (10, 7), (18, 11)], [False, False, False, False], 92, False, [True, True, False, False], 2106, 'South', (9, 3))
Element 5: (2, (9, 3), ['F', 'F', '', '.'], [(9, 12), (10, 8), (18, 12)], [False, False, False, False], 90, False, [False, False, False, True], 2145, 'South', (9, 2))
Element 6: (2, (9, 2), ['.', '.', '', '.'], [(10, 12), (9, 8), (18, 13)], [False, False, False, False], 88, False, [True, True, False, True], 3174, 'East', (10, 2))
Element 7: (2, (10, 2), ['', '%', '.', '.'], [(11, 12), (8, 8), (17, 13)], [False, True, False, False], 86, False, [False, False, True, True], 3213, 'East', (11, 2))
Element 8: (2, (11, 2), ['', '.', '.', '.'], [(12, 12), (8, 9), (17, 12)], [False, False, False, False], 84, False, [False, True, True, True], 3252, 'East', (12, 2))
Element 9: (2, (12, 2), ['', '.', '%', '.'], [(13, 12), (7, 9), (17, 11)], [False, False, True, False], 82, False, [False, True, False, True], 3291, 'East', (13, 2))
Element 10: (2, (13, 2), ['', '.', '.', '.'], [(13, 13), (7, 8), (16, 11)], [False, False, False, False], 80, False, [False, True, True, True], 3330, 'East', (14, 2))
Element 11: (2, (14, 2), ['', '.', '.', '%'], [(14, 13), (6, 8), (16, 12)], [False, False, False, True], 78, False, [False, True, True, False], 3369, 'North', (14, 3))
Element 12: (2, (14, 3), ['.', '', '.', '%'], [(15, 13), (6, 9), (16, 13)], [False, False, False, True], 76, False, [True, False, True, False], 3408, 'North', (14, 4))
Element 13: (2, (14, 4), ['.', '', '.', '.'], [(15, 12), (6, 8), (16, 12)], [False, False, False, False], 74, False, [True, False, True, True], 3427, 'East', (15, 4))
Element 14: (2, (15, 4), ['', '%', '.', '.'], [(16, 12), (5, 8), (16, 11)], [False, True, False, False], 72, False, [False, False, True, True], 3446, 'East', (16, 4))
Element 15: (2, (16, 4), ['', '.', '.', '.'], [(17, 12), (4, 8), (16, 10)], [False, False, False, False], 70, False, [False, True, True, True], 3465, 'East', (17, 4))
Element 16: (2, (17, 4), ['', '.', '.', '.'], [(18, 12), (5, 8), (16, 11)], [False, False, False, False], 68, False, [False, True, True, True], 3474, 'East', (18, 4))
Element 17: (2, (18, 4), ['', '.', '.', '%'], [(18, 13), (6, 8), (17, 11)], [False, False, False, True], 66, False, [False, True, True, False], 3483, 'North', (18, 5))
Element 18: (2, (18, 5), ['.', '', '%', '%'], [(17, 13), (7, 8), (17, 12)], [False, False, True, True], 64, False, [True, False, False, False], 3492, 'West', (17, 5))
Element 19: (2, (17, 5), ['.', '', '.', ''], [(16, 13), (7, 9), (16, 12)], [False, False, False, False], 62, False, [True, False, True, False], 3501, 'North', (17, 6))
Element 20: (2, (17, 6), ['.', '', '.', '%'], [(17, 13), (6, 9), (17, 12)], [False, False, False, True], 60, False, [True, False, True, False], 3510, 'North', (17, 7))
Element 21: (2, (17, 7), ['%', '', '%', '.'], [(18, 13), (7, 9), (16, 12)], [True, False, True, False], 58, False, [False, False, False, True], 3519, 'East', (18, 7))
Element 22: (2, (18, 7), ['', '%', '%', '%'], [(18, 12), (8, 9), (16, 13)], [False, True, True, True], 56, False, [False, False, False, False], 3528, 'West', (17, 7))
Element 23: (2, (17, 7), ['%', '', '%', ''], [(18, 11), (8, 8), (17, 13)], [True, False, True, False], 54, False, [False, False, False, False], 3527, 'South', (17, 6))
Element 24: (2, (17, 6), ['.', '', '', '%'], [(18, 10), (7, 8), (18, 13)], [False, False, False, True], 52, False, [True, False, False, False], 3526, 'West', (16, 6))
Element 25: (2, (16, 6), ['.', '.', '%', ''], [(17, 10), (8, 8), (18, 12)], [False, False, True, False], 50, False, [True, True, False, False], 3535, 'South', (16, 5))
Element 26: (2, (16, 5), ['.', '', '', ''], [(17, 9), (9, 8), (17, 12)], [False, False, False, False], 48, False, [True, False, False, False], 3554, 'West', (15, 5))
Element 27: (2, (15, 5), ['.', '', '.', ''], [(16, 9), (10, 8), (18, 12)], [False, False, False, False], 46, False, [True, False, True, False], 3573, 'North', (15, 6))
Element 28: (2, (15, 6), ['%', '', '.', ''], [(16, 10), (10, 7), (18, 11)], [True, False, False, False], 44, False, [False, False, True, False], 3582, 'North', (15, 7))
Element 29: (2, (15, 7), ['.', '', '.', '%'], [(16, 11), (9, 7), (17, 11)], [False, False, False, True], 42, False, [True, False, True, False], 3591, 'North', (15, 8))
Element 30: (2, (15, 8), ['.', '', '%', '%'], [(17, 11), (9, 8), (18, 11)], [False, False, True, True], 40, False, [True, False, False, False], 3600, 'West', (14, 8))
Element 31: (2, (14, 8), ['.', '.', '%', ''], [(16, 11), (9, 7), (18, 10)], [False, False, True, False], 38, False, [True, True, False, False], 3609, 'South', (14, 7))
Element 32: (2, (14, 7), ['%', '%', '', ''], [(16, 10), (9, 6), (17, 10)], [True, True, False, False], 36, False, [False, False, False, False], 3618, 'North', (14, 8))
Element 33: (2, (14, 8), ['.', '', '%', ''], [(16, 9), (8, 6), (17, 11)], [False, False, True, False], 34, False, [True, False, False, False], 3627, 'West', (13, 8))
Element 34: (2, (13, 8), ['%', '%', '%', ''], [(17, 9), (9, 6), (17, 10)], [True, True, True, False], 32, False, [False, False, False, False], 3636, 'East', (14, 8))
Element 35: (2, (14, 8), ['', '', '%', ''], [(17, 10), (9, 5), (16, 10)], [False, False, True, False], 30, False, [False, False, False, False], 3635, 'East', (15, 8))
Element 36: (2, (15, 8), ['', '', '%', '%'], [(17, 11), (9, 4), (16, 9)], [False, False, True, True], 28, False, [False, False, False, False], 3634, 'South', (15, 7))
Element 37: (2, (15, 7), ['', '', '', '%'], [(17, 10), (8, 4), (17, 9)], [False, False, False, True], 26, False, [False, False, False, False], 3643, 'West', (14, 7))
Element 38: (2, (14, 7), ['%', '%', '', ''], [(16, 10), (8, 3), (16, 9)], [True, True, False, False], 24, False, [False, False, False, False], 4642, 'East', (15, 7))
Element 39: (2, (15, 7), ['', '', '', '%'], [(17, 10), (8, 2), (17, 9)], [False, False, False, True], 22, False, [False, False, False, False], 4651, 'South', (15, 6))
Element 40: (2, (15, 6), ['%', '', '', ''], [(18, 10), (8, 1), (17, 10)], [True, False, False, False], 20, False, [False, False, False, False], 4660, 'South', (15, 5))
Element 41: (2, (15, 5), ['.', '', '', ''], [(18, 11), (9, 1), (16, 10)], [False, False, False, False], 18, False, [True, False, False, False], 4669, 'West', (14, 5))
Element 42: (2, (14, 5), ['.', '', '%', ''], [(17, 11), (9, 2), (16, 9)], [False, False, True, False], 16, False, [True, False, False, False], 4678, 'West', (13, 5))
Element 43: (2, (13, 5), ['.', '.', '.', ''], [(18, 11), (10, 2), (16, 10)], [False, False, False, False], 14, False, [True, True, True, False], 4687, 'North', (13, 6))
Element 44: (2, (13, 6), ['.', '', '%', '%'], [(18, 12), (10, 3), (16, 10)], [False, False, True, True], 12, False, [True, False, False, False], 4706, 'West', (12, 6))
Element 45: (2, (12, 6), ['.', '.', '%', ''], [(17, 12), (11, 3), (17, 10)], [False, False, True, False], 10, False, [True, True, False, False], 4725, 'South', (12, 5))
Element 46: (2, (12, 5), ['%', '.', '', ''], [(17, 13), (11, 4), (18, 10)], [True, False, False, False], 8, False, [False, True, False, False], 4744, 'South', (12, 4))
Element 47: (2, (12, 4), ['', '%', '', '.'], [(17, 12), (10, 4), (18, 11)], [False, True, False, False], 6, False, [False, False, False, True], 4753, 'East', (13, 4))
Element 48: (2, (13, 4), ['', '.', '', ''], [(17, 11), (10, 5), (18, 12)], [False, False, False, False], 4, False, [False, True, False, False], 4762, 'South', (13, 3))
