Element 1: (0, (5, 1), ['.', '%', '.', 'F'], [(2, 10), (13, 1), (14, 8)], [False, True, False, False], 98, False, [True, False, True, False], 0, 'East', (6, 1))
Element 2: (0, (6, 1), ['', '%', '.', '.'], [(2, 11), (14, 1), (15, 8)], [False, True, False, False], 96, False, [False, False, True, True], 2019, 'East', (7, 1))
Element 3: (0, (7, 1), ['', '%', '.', '.'], [(1, 11), (15, 1), (15, 7)], [False, True, False, False], 94, False, [False, False, True, True], 3048, 'East', (8, 1))
Element 4: (0, (8, 1), ['', '%', '.', '.'], [(1, 12), (14, 1), (15, 6)], [False, True, False, False], 92, False, [False, False, True, True], 3077, 'East', (9, 1))
Element 5: (0, (9, 1), ['', '%', 'F', '%'], [(2, 12), (14, 2), (16, 6)], [False, True, False, True], 90, False, [False, False, False, False], 3116, 'North', (9, 2))
Element 6: (0, (9, 2), ['.', '', '.', '.'], [(3, 12), (14, 3), (17, 6)], [False, False, False, False], 88, False, [True, False, True, True], 4145, 'East', (10, 2))
Element 7: (0, (10, 2), ['', '%', '.', '.'], [(4, 12), (14, 4), (17, 7)], [False, True, False, False], 86, False, [False, False, True, True], 4184, 'East', (11, 2))
Element 8: (0, (11, 2), ['', '.', '.', '.'], [(5, 12), (15, 4), (18, 7)], [False, False, False, False], 84, False, [False, True, True, True], 4223, 'East', (12, 2))
Element 9: (0, (12, 2), ['', '.', '%', '.'], [(6, 12), (16, 4), (17, 7)], [False, False, True, False], 82, False, [False, True, False, True], 4252, 'East', (13, 2))
Element 10: (0, (13, 2), ['', '', '.', ''], [(7, 12), (17, 4), (17, 6)], [False, False, False, False], 80, False, [False, False, True, False], 4281, 'North', (13, 3))
Element 11: (0, (13, 3), ['%', '', '.', ''], [(8, 12), (18, 4), (17, 5)], [True, False, False, False], 78, False, [False, False, True, False], 5310, 'North', (13, 4))
Element 12: (0, (13, 4), ['.', '', '.', ''], [(9, 12), (18, 5), (16, 5)], [False, False, False, False], 76, False, [True, False, True, False], 5349, 'North', (13, 5))
Element 13: (0, (13, 5), ['.', '', '.', '.'], [(10, 12), (17, 5), (15, 5)], [False, False, False, False], 74, False, [True, False, True, True], 5378, 'East', (14, 5))
Element 14: (0, (14, 5), ['', '', '%', ''], [(11, 12), (17, 6), (15, 4)], [False, False, True, False], 72, False, [False, False, False, False], 5397, 'East', (15, 5))
Element 15: (0, (15, 5), ['', '', '', ''], [(12, 12), (17, 7), (16, 4)], [False, False, False, False], 70, False, [False, False, False, False], 5406, 'East', (16, 5))
Element 16: (0, (16, 5), ['', '', '', ''], [(13, 12), (18, 7), (16, 3)], [False, False, False, False], 68, False, [False, False, False, False], 5425, 'East', (17, 5))
Element 17: (0, (17, 5), ['', '', '', ''], [(13, 13), (17, 7), (17, 3)], [False, False, False, False], 66, False, [False, False, False, False], 5444, 'East', (18, 5))
Element 18: (0, (18, 5), ['', '', '%', '%'], [(14, 13), (17, 6), (18, 3)], [False, False, True, True], 64, False, [False, False, False, False], 5463, 'South', (18, 4))
Element 19: (0, (18, 4), ['', '', '', '%'], [(15, 13), (16, 6), (17, 3)], [False, False, False, True], 62, False, [False, False, False, False], 5472, 'South', (18, 3))
Element 20: (0, (18, 3), ['', '%', '', '%'], [(16, 13), (16, 5), (17, 4)], [False, True, False, True], 60, False, [False, False, False, False], 5481, 'West', (17, 3))
Element 21: (0, (17, 3), ['', '%', '', ''], [(17, 13), (15, 5), (18, 4)], [False, True, False, False], 58, False, [False, False, False, False], 5490, 'North', (17, 4))
Element 22: (0, (17, 4), ['', '', '', ''], [(18, 13), (15, 6), (18, 5)], [False, False, False, False], 56, False, [False, False, False, False], 5499, 'West', (16, 4))
Element 23: (0, (16, 4), ['', '', '', ''], [(18, 12), (15, 7), (18, 4)], [False, False, False, False], 54, False, [False, False, False, False], 5508, 'South', (16, 3))
Element 24: (0, (16, 3), ['%', '%', '', ''], [(18, 11), (14, 7), (17, 4)], [True, True, False, False], 52, False, [False, False, False, False], 5527, 'North', (16, 4))
Element 25: (0, (16, 4), ['', '', '', ''], [(18, 10), (14, 8), (17, 3)], [False, False, False, False], 50, False, [False, False, False, False], 5536, 'West', (15, 4))
Element 26: (0, (15, 4), ['', '%', '', ''], [(17, 10), (13, 8), (16, 3)], [False, True, False, False], 48, False, [False, False, False, False], 5555, 'West', (14, 4))
Element 27: (0, (14, 4), ['', '', '', ''], [(17, 11), (14, 8), (16, 4)], [False, False, False, False], 46, False, [False, False, False, False], 5564, 'South', (14, 3))
Element 28: (0, (14, 3), ['', '', '', '%'], [(17, 12), (15, 8), (17, 4)], [False, False, False, True], 44, False, [False, False, False, False], 5573, 'South', (14, 2))
Element 29: (0, (14, 2), ['', '', '', '%'], [(16, 12), (14, 8), (16, 4)], [False, False, False, True], 42, False, [False, False, False, False], 5582, 'South', (14, 1))
Element 30: (0, (14, 1), ['', '%', '', ''], [(16, 11), (14, 7), (15, 4)], [False, True, False, False], 40, False, [False, False, False, False], 5591, 'East', (15, 1))
Element 31: (0, (15, 1), ['', '%', '%', '%'], [(16, 10), (15, 7), (14, 4)], [False, True, True, True], 38, False, [False, False, False, False], 5600, 'West', (14, 1))
Element 32: (0, (14, 1), ['', '%', '', ''], [(16, 9), (15, 8), (14, 5)], [False, True, False, False], 36, False, [False, False, False, False], 5609, 'West', (13, 1))
Element 33: (0, (13, 1), ['.', '%', '', ''], [(17, 9), (15, 7), (13, 5)], [False, True, False, False], 34, False, [True, False, False, False], 5618, 'West', (12, 1))
Element 34: (0, (12, 1), ['.', '%', '', ''], [(16, 9), (15, 6), (13, 6)], [False, True, False, False], 32, False, [True, False, False, False], 5637, 'West', (11, 1))
Element 35: (0, (11, 1), ['%', '%', '', ''], [(16, 10), (15, 5), (12, 6)], [True, True, False, False], 30, False, [False, False, False, False], 5656, 'East', (12, 1))
Element 36: (0, (12, 1), ['', '%', '', ''], [(16, 11), (14, 5), (12, 5)], [False, True, False, False], 28, False, [False, False, False, False], 5665, 'East', (13, 1))
Element 37: (0, (13, 1), ['', '%', '', ''], [(16, 12), (13, 5), (12, 4)], [False, True, False, False], 26, False, [False, False, False, False], 5674, 'East', (14, 1))
Element 38: (0, (14, 1), ['', '%', '', ''], [(15, 12), (13, 6), (11, 4)], [False, True, False, False], 24, False, [False, False, False, False], 5693, 'North', (14, 2))
Element 39: (0, (14, 2), ['', '', '', '%'], [(16, 12), (12, 6), (11, 3)], [False, False, False, True], 22, False, [False, False, False, False], 5702, 'North', (14, 3))
Element 40: (0, (14, 3), ['', '', '', '%'], [(17, 12), (11, 6), (10, 3)], [False, False, False, True], 20, False, [False, False, False, False], 5721, 'North', (14, 4))
Element 41: (0, (14, 4), ['', '', '', ''], [(17, 11), (12, 6), (10, 4)], [False, False, False, False], 18, False, [False, False, False, False], 5730, 'East', (15, 4))
Element 42: (0, (15, 4), ['', '%', '', ''], [(16, 11), (12, 5), (10, 5)], [False, True, False, False], 16, False, [False, False, False, False], 6729, 'East', (16, 4))
Element 43: (0, (16, 4), ['', '', '', ''], [(17, 11), (12, 4), (9, 5)], [False, False, False, False], 14, False, [False, False, False, False], 6738, 'East', (17, 4))
Element 44: (0, (17, 4), ['', '', '', ''], [(17, 10), (13, 4), (9, 6)], [False, False, False, False], 12, False, [False, False, False, False], 6747, 'South', (17, 3))
Element 45: (0, (17, 3), ['', '%', '', ''], [(17, 9), (13, 3), (9, 7)], [False, True, False, False], 10, False, [False, False, False, False], 6756, 'West', (16, 3))
Element 46: (0, (16, 3), ['%', '%', '', ''], [(17, 10), (13, 2), (10, 7)], [True, True, False, False], 8, False, [False, False, False, False], 6765, 'East', (17, 3))
Element 47: (0, (17, 3), ['', '%', '', ''], [(16, 10), (12, 2), (10, 8)], [False, True, False, False], 6, False, [False, False, False, False], 6774, 'East', (18, 3))
Element 48: (0, (18, 3), ['', '%', '', '%'], [(17, 10), (12, 1), (9, 8)], [False, True, False, True], 4, False, [False, False, False, False], 6783, 'North', (18, 4))
Element 49: (0, (18, 4), ['', '', '', '%'], [(18, 10), (11, 1), (8, 8)], [False, False, False, True], 2, False, [False, False, False, False], 6792, 'West', (17, 4))
Element 50: (0, (17, 4), ['', '', '', ''], [(18, 11), (11, 2), (8, 9)], [False, False, False, False], 0, False, [False, False, False, False], 6801, 'Stop', (17, 4))
Element 51: #0#
