Element 1: (3, (10, 2), ['F', '%', '.', '.'], [(13, 4), (2, 2), (6, 1)], [False, True, False, False], 98, False, [False, False, True, True], 1019, 'West', (9, 2))
Element 2: (3, (9, 2), ['.', '.', '.', ''], [(14, 4), (2, 3), (7, 1)], [False, False, False, False], 96, False, [True, True, True, False], 2048, 'North', (9, 3))
Element 3: (3, (9, 3), ['F', '', '.', '.'], [(15, 4), (3, 3), (8, 1)], [False, False, False, False], 94, False, [False, False, True, True], 2087, 'West', (8, 3))
Element 4: (3, (8, 3), ['.', '.', '.', ''], [(16, 4), (4, 3), (9, 1)], [False, False, False, False], 92, False, [True, True, True, False], 3116, 'North', (8, 4))
Element 5: (3, (8, 4), ['%', '', '.', '.'], [(17, 4), (5, 3), (9, 2)], [True, False, False, False], 90, False, [False, False, True, True], 3145, 'East', (9, 4))
Element 6: (3, (9, 4), ['', '', '.', '.'], [(18, 4), (6, 3), (8, 2)], [False, False, False, False], 88, False, [False, False, True, True], 3184, 'East', (10, 4))
Element 7: (3, (10, 4), ['', '.', 'F', '.'], [(18, 5), (7, 3), (7, 2)], [False, False, False, False], 86, False, [False, True, False, True], 3223, 'North', (10, 5))
Element 8: (3, (10, 5), ['.', '', '%', '%'], [(17, 5), (8, 3), (7, 3)], [False, False, True, True], 84, False, [True, False, False, False], 4232, 'West', (9, 5))
Element 9: (3, (9, 5), ['.', '', '.', ''], [(17, 6), (9, 3), (8, 3)], [False, False, False, False], 82, False, [True, False, True, False], 4251, 'North', (9, 6))
Element 10: (3, (9, 6), ['.', '', '.', '%'], [(17, 7), (10, 3), (9, 3)], [False, False, False, True], 80, False, [True, False, True, False], 4280, 'North', (9, 7))
Element 11: (3, (9, 7), ['%', '', '.', '.'], [(18, 7), (11, 3), (10, 3)], [True, False, False, False], 78, False, [False, False, True, True], 4309, 'East', (10, 7))
Element 12: (3, (10, 7), ['', '%', '.', '%'], [(17, 7), (11, 4), (11, 3)], [False, True, False, True], 76, False, [False, False, True, False], 4328, 'North', (10, 8))
Element 13: (3, (10, 8), ['.', '', '%', '%'], [(17, 6), (12, 4), (11, 2)], [False, False, True, True], 74, False, [True, False, False, False], 4347, 'West', (9, 8))
Element 14: (3, (9, 8), ['.', '', '%', ''], [(16, 6), (12, 5), (12, 2)], [False, False, True, False], 72, False, [True, False, False, False], 4386, 'West', (8, 8))
Element 15: (3, (8, 8), ['.', '%', '.', ''], [(16, 5), (13, 5), (13, 2)], [False, True, False, False], 70, False, [True, False, True, False], 4425, 'North', (8, 9))
Element 16: (3, (8, 9), ['.', '', '%', '%'], [(15, 5), (14, 5), (14, 2)], [False, False, True, True], 68, False, [True, False, False, False], 4464, 'West', (7, 9))
Element 17: (3, (7, 9), ['.', '.', '%', ''], [(15, 6), (15, 5), (14, 3)], [False, False, True, False], 66, False, [True, True, False, False], 4493, 'South', (7, 8))
Element 18: (3, (7, 8), ['.', '%', '', ''], [(15, 7), (16, 5), (13, 3)], [False, True, False, False], 64, False, [True, False, False, False], 4522, 'West', (6, 8))
Element 19: (3, (6, 8), ['.', '%', '.', ''], [(15, 8), (17, 5), (13, 4)], [False, True, False, False], 62, False, [True, False, True, False], 4541, 'North', (6, 9))
Element 20: (3, (6, 9), ['%', '', '%', ''], [(14, 8), (18, 5), (14, 4)], [True, False, True, False], 60, False, [False, False, False, False], 4560, 'South', (6, 8))
Element 21: (3, (6, 8), ['.', '%', '', ''], [(14, 7), (18, 4), (15, 4)], [False, True, False, False], 58, False, [True, False, False, False], 4569, 'West', (5, 8))
Element 22: (3, (5, 8), ['.', '%', '%', ''], [(14, 8), (18, 3), (16, 4)], [False, True, True, False], 56, False, [True, False, False, False], 4588, 'West', (4, 8))
Element 23: (3, (4, 8), ['%', '%', '%', ''], [(13, 8), (17, 3), (16, 3)], [True, True, True, False], 54, False, [False, False, False, False], 4627, 'East', (5, 8))
Element 24: (3, (5, 8), ['', '%', '%', ''], [(14, 8), (17, 4), (17, 3)], [False, True, True, False], 52, False, [False, False, False, False], 4626, 'East', (6, 8))
Element 25: (3, (6, 8), ['', '%', '', ''], [(15, 8), (16, 4), (18, 3)], [False, True, False, False], 50, False, [False, False, False, False], 4625, 'East', (7, 8))
Element 26: (3, (7, 8), ['', '%', '', ''], [(15, 7), (16, 3), (18, 4)], [False, True, False, False], 48, False, [False, False, False, False], 4624, 'North', (7, 9))
Element 27: (3, (7, 9), ['', '', '%', ''], [(14, 7), (16, 4), (18, 5)], [False, False, True, False], 46, False, [False, False, False, False], 4623, 'West', (6, 9))
Element 28: (3, (6, 9), ['%', '', '%', ''], [(15, 7), (15, 4), (17, 5)], [True, False, True, False], 44, False, [False, False, False, False], 4622, 'East', (7, 9))
Element 29: (3, (7, 9), ['', '', '%', ''], [(15, 6), (14, 4), (17, 6)], [False, False, True, False], 42, False, [False, False, False, False], 4621, 'East', (8, 9))
Element 30: (3, (8, 9), ['', '', '%', '%'], [(15, 5), (14, 3), (17, 7)], [False, False, True, True], 40, False, [False, False, False, False], 4620, 'South', (8, 8))
Element 31: (3, (8, 8), ['', '%', '', ''], [(16, 5), (14, 2), (18, 7)], [False, True, False, False], 38, False, [False, False, False, False], 4619, 'West', (7, 8))
Element 32: (3, (7, 8), ['', '%', '', ''], [(16, 6), (14, 1), (17, 7)], [False, True, False, False], 36, False, [False, False, False, False], 4628, 'East', (8, 8))
Element 33: (3, (8, 8), ['', '%', '', ''], [(15, 6), (15, 1), (17, 6)], [False, True, False, False], 34, False, [False, False, False, False], 4637, 'East', (9, 8))
Element 34: (3, (9, 8), ['', '', '%', ''], [(16, 6), (14, 1), (17, 5)], [False, False, True, False], 32, False, [False, False, False, False], 4636, 'East', (10, 8))
Element 35: (3, (10, 8), ['', '', '%', '%'], [(17, 6), (13, 1), (16, 5)], [False, False, True, True], 30, False, [False, False, False, False], 4645, 'South', (10, 7))
Element 36: (3, (10, 7), ['', '%', '', '%'], [(17, 5), (12, 1), (16, 6)], [False, True, False, True], 28, False, [False, False, False, False], 4654, 'West', (9, 7))
Element 37: (3, (9, 7), ['%', '', '', ''], [(16, 5), (11, 1), (15, 6)], [True, False, False, False], 26, False, [False, False, False, False], 4663, 'North', (9, 8))
Element 38: (3, (9, 8), ['', '', '%', ''], [(17, 5), (11, 2), (15, 7)], [False, False, True, False], 24, False, [False, False, False, False], 4662, 'South', (9, 7))
Element 39: (3, (9, 7), ['%', '', '', ''], [(18, 5), (12, 2), (15, 8)], [True, False, False, False], 22, False, [False, False, False, False], 4661, 'South', (9, 6))
Element 40: (3, (9, 6), ['.', '', '', '%'], [(18, 4), (13, 2), (14, 8)], [False, False, False, True], 20, False, [True, False, False, False], 4660, 'West', (8, 6))
Element 41: (3, (8, 6), ['%', '.', '%', ''], [(18, 3), (13, 3), (14, 7)], [True, False, True, False], 18, False, [False, True, False, False], 4669, 'South', (8, 5))
Element 42: (3, (8, 5), ['%', '', '', ''], [(17, 3), (13, 4), (14, 8)], [True, False, False, False], 16, False, [False, False, False, False], 4678, 'North', (8, 6))
Element 43: (3, (8, 6), ['%', '', '%', ''], [(16, 3), (13, 3), (13, 8)], [True, False, True, False], 14, False, [False, False, False, False], 4677, 'East', (9, 6))
Element 44: (3, (9, 6), ['', '', '', '%'], [(17, 3), (13, 2), (14, 8)], [False, False, False, True], 12, False, [False, False, False, False], 4676, 'South', (9, 5))
Element 45: (3, (9, 5), ['', '', '', ''], [(18, 3), (12, 2), (15, 8)], [False, False, False, False], 10, False, [False, False, False, False], 4675, 'West', (8, 5))
Element 46: (3, (8, 5), ['%', '', '', ''], [(18, 4), (11, 2), (15, 7)], [True, False, False, False], 8, False, [False, False, False, False], 4674, 'East', (9, 5))
Element 47: (3, (9, 5), ['', '', '', ''], [(17, 4), (10, 2), (14, 7)], [False, False, False, False], 6, False, [False, False, False, False], 4673, 'East', (10, 5))
Element 48: (3, (10, 5), ['', '', '%', '%'], [(17, 5), (9, 2), (15, 7)], [False, False, True, True], 4, False, [False, False, False, False], 4672, 'South', (10, 4))
Element 49: (3, (10, 4), ['', '', '', ''], [(17, 4), (9, 1), (15, 6)], [False, False, False, False], 2, False, [False, False, False, False], 4671, 'East', (11, 4))
Element 50: (3, (11, 4), ['', '', '%', ''], [(17, 4), (9, 1), (15, 6)], [False, False, True, False], 0, False, [False, False, False, False], 4670, 'Stop', (11, 4))
Element 51: #0#
