Element 1: (3, (12, 6), ['.', '.', '%', '.'], [(11, 3), (6, 5), (8, 8)], [False, False, True, False], 98, False, [True, True, False, True], 29, 'East', (13, 6))
Element 2: (3, (13, 6), ['', '.', '%', '%'], [(11, 4), (6, 6), (9, 8)], [False, False, True, True], 96, False, [False, True, False, False], 68, 'South', (13, 5))
Element 3: (3, (13, 5), ['.', '.', '', '.'], [(12, 4), (5, 6), (10, 8)], [False, False, False, False], 94, False, [True, True, False, True], 107, 'East', (14, 5))
Element 4: (3, (14, 5), ['', '.', '%', '.'], [(13, 4), (5, 5), (10, 7)], [False, False, True, False], 92, False, [False, True, False, True], 146, 'East', (15, 5))
Element 5: (3, (15, 5), ['', '.', '.', '.'], [(14, 4), (4, 5), (9, 7)], [False, False, False, False], 90, False, [False, True, True, True], 185, 'East', (16, 5))
Element 6: (3, (16, 5), ['', '.', '.', '.'], [(15, 4), (4, 6), (9, 6)], [False, False, False, False], 88, False, [False, True, True, True], 224, 'East', (17, 5))
Element 7: (3, (17, 5), ['', '.', '.', '.'], [(16, 4), (3, 6), (9, 5)], [False, False, False, False], 86, False, [False, True, True, True], 263, 'East', (18, 5))
Element 8: (3, (18, 5), ['', '.', '%', '%'], [(17, 4), (3, 7), (10, 5)], [False, False, True, True], 84, False, [False, True, False, False], 1292, 'South', (18, 4))
Element 9: (3, (18, 4), ['', '.', '', '%'], [(17, 3), (2, 7), (10, 4)], [False, False, False, True], 82, False, [False, True, False, False], 1331, 'South', (18, 3))
Element 10: (3, (18, 3), ['', '%', '', '%'], [(16, 3), (2, 8), (9, 4)], [False, True, False, True], 80, False, [False, False, False, False], 2360, 'West', (17, 3))
Element 11: (3, (17, 3), ['', '%', '', ''], [(16, 4), (1, 8), (9, 3)], [False, True, False, False], 78, False, [False, False, False, False], 3369, 'North', (17, 4))
Element 12: (3, (17, 4), ['', '', '', ''], [(15, 4), (1, 7), (9, 2)], [False, False, False, False], 76, False, [False, False, False, False], 4378, 'West', (16, 4))
Element 13: (3, (16, 4), ['', '', '', ''], [(15, 5), (1, 6), (10, 2)], [False, False, False, False], 74, False, [False, False, False, False], 4397, 'South', (16, 3))
Element 14: (3, (16, 3), ['%', '%', '', ''], [(15, 6), (2, 6), (11, 2)], [True, True, False, False], 72, False, [False, False, False, False], 4426, 'North', (16, 4))
Element 15: (3, (16, 4), ['', '', '', ''], [(16, 6), (2, 5), (12, 2)], [False, False, False, False], 70, False, [False, False, False, False], 4455, 'West', (15, 4))
