Element 1: (3, (17, 5), ['G', '.', '.', '.'], [(2, 11), (15, 8), (16, 5)], [False, False, False, False], 98, False, [False, True, True, True], 1019, 'East', (18, 5))
Element 2: (3, (18, 5), ['', '.', '%', '%'], [(1, 11), (15, 7), (16, 6)], [False, False, True, True], 96, False, [False, True, False, False], 2048, 'South', (18, 4))
Element 3: (3, (18, 4), ['.', '.', '', '%'], [(1, 12), (15, 6), (17, 6)], [False, False, False, True], 94, False, [True, True, False, False], 2087, 'South', (18, 3))
Element 4: (3, (18, 3), ['.', '%', '', '%'], [(1, 13), (16, 6), (17, 7)], [False, True, False, True], 92, False, [True, False, False, False], 2116, 'West', (17, 3))
Element 5: (3, (17, 3), ['.', '%', '.', ''], [(1, 12), (17, 6), (18, 7)], [False, True, False, False], 90, False, [True, False, True, False], 2135, 'North', (17, 4))
Element 6: (3, (17, 4), ['.', '', '', ''], [(1, 11), (17, 7), (18, 7)], [False, False, False, False], 88, False, [True, False, False, False], 2144, 'West', (16, 4))
Element 7: (3, (16, 4), ['.', '.', '', ''], [(1, 10), (17, 6), (17, 7)], [False, False, False, False], 86, False, [True, True, False, False], 2163, 'South', (16, 3))
Element 8: (3, (16, 3), ['%', '%', '', ''], [(2, 10), (17, 5), (17, 6)], [True, True, False, False], 84, False, [False, False, False, False], 2182, 'North', (16, 4))
Element 9: (3, (16, 4), ['.', '', '', ''], [(3, 10), (18, 5), (17, 6)], [False, False, False, False], 82, False, [True, False, False, False], 2191, 'West', (15, 4))
Element 10: (3, (15, 4), ['.', '%', '', ''], [(4, 10), (18, 4), (16, 6)], [False, True, False, False], 80, False, [True, False, False, False], 2210, 'West', (14, 4))
Element 11: (3, (14, 4), ['.', '.', '.', ''], [(4, 11), (18, 3), (16, 5)], [False, False, False, False], 78, False, [True, True, True, False], 2229, 'North', (14, 5))
Element 12: (3, (14, 5), ['.', '', '%', ''], [(5, 11), (17, 3), (16, 4)], [False, False, True, False], 76, False, [True, False, False, False], 2248, 'West', (13, 5))
Element 13: (3, (13, 5), ['.', '.', '.', ''], [(6, 11), (17, 4), (16, 3)], [False, False, False, False], 74, False, [True, True, True, False], 2267, 'North', (13, 6))
Element 14: (3, (13, 6), ['.', '', '%', '%'], [(6, 12), (16, 4), (17, 3)], [False, False, True, True], 72, False, [True, False, False, False], 2286, 'West', (12, 6))
Element 15: (3, (12, 6), ['.', '.', '%', ''], [(7, 12), (16, 5), (18, 3)], [False, False, True, False], 70, False, [True, True, False, False], 2305, 'South', (12, 5))
Element 16: (3, (12, 5), ['%', '.', '', ''], [(8, 12), (15, 5), (18, 4)], [True, False, False, False], 68, False, [False, True, False, False], 3314, 'South', (12, 4))
Element 17: (3, (12, 4), ['.', '%', '', '.'], [(9, 12), (15, 4), (18, 5)], [False, True, False, False], 66, False, [True, False, False, True], 3333, 'East', (13, 4))
Element 18: (3, (13, 4), ['', '.', '', 'G'], [(10, 12), (14, 4), (17, 5)], [False, False, False, False], 64, False, [False, True, False, False], 3352, 'South', (13, 3))
Element 19: (3, (13, 3), ['%', '.', '', 'G'], [(11, 12), (14, 3), (17, 4)], [True, False, False, False], 62, False, [False, True, False, False], 3381, 'South', (13, 2))
Element 20: (3, (13, 2), ['.', '.', '', 'G'], [(12, 12), (14, 2), (17, 5)], [False, False, False, False], 60, False, [True, True, False, False], 3410, 'South', (13, 1))
Element 21: (3, (13, 1), ['.', '%', '', 'G'], [(13, 12), (14, 1), (18, 5)], [False, True, False, False], 58, False, [True, False, False, False], 3439, 'West', (12, 1))
Element 22: (3, (12, 1), ['.', '%', '.', ''], [(13, 13), (15, 1), (18, 4)], [False, True, False, False], 56, False, [True, False, True, False], 3468, 'North', (12, 2))
Element 23: (3, (12, 2), ['.', '', '%', ''], [(14, 13), (14, 1), (17, 4)], [False, False, True, False], 54, False, [True, False, False, False], 3487, 'West', (11, 2))
Element 24: (3, (11, 2), ['.', '.', '.', ''], [(15, 13), (13, 1), (18, 4)], [False, False, False, False], 52, False, [True, True, True, False], 3506, 'North', (11, 3))
Element 25: (3, (11, 3), ['.', '', '.', '%'], [(16, 13), (13, 2), (18, 3)], [False, False, False, True], 50, False, [True, False, True, False], 3525, 'North', (11, 4))
Element 26: (3, (11, 4), ['.', '', '%', ''], [(17, 13), (13, 3), (17, 3)], [False, False, True, False], 48, False, [True, False, False, False], 3544, 'West', (10, 4))
Element 27: (3, (10, 4), ['.', '.', 'F', ''], [(18, 13), (13, 4), (17, 4)], [False, False, False, False], 46, False, [True, True, False, False], 3563, 'North', (10, 5))
Element 28: (3, (10, 5), ['.', '', '%', '%'], [(18, 12), (13, 5), (17, 3)], [False, False, True, True], 44, False, [True, False, False, False], 4572, 'West', (9, 5))
Element 29: (3, (9, 5), ['.', '.', '.', ''], [(18, 11), (14, 5), (16, 3)], [False, False, False, False], 42, False, [True, True, True, False], 4591, 'North', (9, 6))
Element 30: (3, (9, 6), ['.', '', '.', '%'], [(18, 10), (13, 5), (16, 4)], [False, False, False, True], 40, False, [True, False, True, False], 4610, 'North', (9, 7))
Element 31: (3, (9, 7), ['%', '', '.', '.'], [(17, 10), (13, 6), (15, 4)], [True, False, False, False], 38, False, [False, False, True, True], 4629, 'East', (10, 7))
Element 32: (3, (10, 7), ['', '%', '.', '%'], [(17, 11), (12, 6), (14, 4)], [False, True, False, True], 36, False, [False, False, True, False], 4648, 'North', (10, 8))
Element 33: (3, (10, 8), ['.', '', '%', '%'], [(17, 12), (11, 6), (14, 5)], [False, False, True, True], 34, False, [True, False, False, False], 4677, 'West', (9, 8))
