Element 39: (3, (13, 8), ['%', '%', '%', ''], [(16, 6), (13, 1), (8, 8)], [True, True, True, False], 22, False, [False, False, False, False], 1421, 'Stop', (13, 8))
Element 40: (3, (13, 8), ['%', '%', '%', ''], [(17, 6), (13, 2), (8, 9)], [True, True, True, False], 20, False, [False, False, False, False], 1430, 'Stop', (13, 8))
Element 41: (3, (13, 8), ['%', '%', '%', ''], [(17, 7), (13, 3), (7, 9)], [True, True, True, False], 18, False, [False, False, False, False], 1439, 'Stop', (13, 8))
Element 42: (3, (13, 8), ['%', '%', '%', ''], [(18, 7), (13, 4), (7, 8)], [True, True, True, False], 16, False, [False, False, False, False], 1448, 'Stop', (13, 8))
Element 43: (3, (13, 8), ['%', '%', '%', ''], [(17, 7), (13, 5), (6, 8)], [True, True, True, False], 14, False, [False, False, False, False], 1457, 'Stop', (13, 8))
Element 44: (3, (13, 8), ['%', '%', '%', ''], [(17, 6), (13, 6), (6, 9)], [True, True, True, False], 12, False, [False, False, False, False], 1466, 'East', (14, 8))
Element 45: (3, (14, 8), ['', '', '%', ''], [(16, 6), (12, 6), (6, 8)], [False, False, True, False], 10, False, [False, False, False, False], 1465, 'South', (14, 7))
Element 46: (3, (14, 7), ['%', '%', '', ''], [(15, 6), (11, 6), (5, 8)], [True, True, False, False], 8, False, [False, False, False, False], 1484, 'Stop', (14, 7))
Element 47: (3, (14, 7), ['%', '%', '', 'G'], [(15, 7), (12, 6), (4, 8)], [True, True, False, False], 6, False, [False, False, False, False], 1493, 'Stop', (14, 7))
Element 48: (3, (14, 7), ['%', '%', '', ''], [(15, 8), (12, 5), (5, 8)], [True, True, False, False], 4, False, [False, False, False, False], 1492, 'Stop', (14, 7))
Element 49: (3, (14, 7), ['%', '%', 'G', ''], [(14, 8), (12, 4), (6, 8)], [True, True, False, False], 2, False, [False, False, False, False], 1491, 'Stop', (14, 7))
Element 50: (3, (14, 7), ['%', '%', 'G', ''], [(14, 8), (12, 4), (6, 8)], [True, True, False, False], 0, False, [False, False, False, False], 1490, 'Stop', (14, 7))
Element 51: #0#
