Element 1: (1, (6, 2), ['.', 'F', '.', '.'], [(16, 6), (12, 11), (17, 3)], [False, False, False, False], 98, False, [True, False, True, True], 9, 'South', (6, 1))
Element 2: (1, (6, 1), ['.', '%', '', '.'], [(17, 6), (13, 11), (18, 3)], [False, True, False, False], 96, False, [True, False, False, True], 1038, 'East', (7, 1))
Element 3: (1, (7, 1), ['', '%', '.', '.'], [(17, 7), (13, 12), (18, 4)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (8, 1))
Element 4: (1, (8, 1), ['', '%', '.', '.'], [(18, 7), (13, 13), (18, 5)], [False, True, False, False], 92, False, [False, False, True, True], 1116, 'East', (9, 1))
Element 5: (1, (9, 1), ['', '%', 'F', '%'], [(17, 7), (14, 13), (17, 5)], [False, True, False, True], 90, False, [False, False, False, False], 1145, 'North', (9, 2))
Element 6: (1, (9, 2), ['.', '', '.', '.'], [(17, 6), (15, 13), (17, 4)], [False, False, False, False], 88, False, [True, False, True, True], 2164, 'East', (10, 2))
Element 7: (1, (10, 2), ['', '%', '.', '.'], [(17, 5), (16, 13), (16, 4)], [False, True, False, False], 86, False, [False, False, True, True], 2193, 'East', (11, 2))
Element 8: (1, (11, 2), ['', '.', '.', '.'], [(18, 5), (17, 13), (16, 5)], [False, False, False, False], 84, False, [False, True, True, True], 2222, 'East', (12, 2))
Element 9: (1, (12, 2), ['', '.', '%', '.'], [(18, 4), (18, 13), (15, 5)], [False, False, True, False], 82, False, [False, True, False, True], 2251, 'East', (13, 2))
Element 10: (1, (13, 2), ['', '.', '.', '.'], [(18, 3), (18, 12), (15, 4)], [False, False, False, False], 80, False, [False, True, True, True], 2280, 'East', (14, 2))
Element 11: (1, (14, 2), ['', '.', '.', '%'], [(17, 3), (18, 11), (14, 4)], [False, False, False, True], 78, False, [False, True, True, False], 2309, 'North', (14, 3))
Element 12: (1, (14, 3), ['.', '', '', '%'], [(16, 3), (18, 10), (14, 5)], [False, False, False, True], 76, False, [True, False, False, False], 2348, 'West', (13, 3))
Element 13: (1, (13, 3), ['%', '', '.', ''], [(16, 4), (17, 10), (13, 5)], [True, False, False, False], 74, False, [False, False, True, False], 2377, 'North', (13, 4))
Element 14: (1, (13, 4), ['.', '', '', ''], [(17, 4), (17, 11), (13, 6)], [False, False, False, False], 72, False, [True, False, False, False], 2406, 'West', (12, 4))
Element 15: (1, (12, 4), ['.', '%', '.', ''], [(16, 4), (17, 12), (12, 6)], [False, True, False, False], 70, False, [True, False, True, False], 2435, 'North', (12, 5))
Element 16: (1, (12, 5), ['%', '', '', ''], [(16, 5), (16, 12), (11, 6)], [True, False, False, False], 68, False, [False, False, False, False], 2464, 'East', (13, 5))
Element 17: (1, (13, 5), ['', '', '', ''], [(15, 5), (16, 11), (12, 6)], [False, False, False, False], 66, False, [False, False, False, False], 2473, 'East', (14, 5))
Element 18: (1, (14, 5), ['', '', '%', ''], [(15, 4), (16, 10), (13, 6)], [False, False, True, False], 64, False, [False, False, False, False], 2482, 'East', (15, 5))
Element 19: (1, (15, 5), ['', '', '', ''], [(14, 4), (16, 9), (13, 5)], [False, False, False, False], 62, False, [False, False, False, False], 2491, 'East', (16, 5))
Element 20: (1, (16, 5), ['', '', '', ''], [(14, 5), (17, 9), (12, 5)], [False, False, False, False], 60, False, [False, False, False, False], 2500, 'East', (17, 5))
Element 21: (1, (17, 5), ['', '', '', ''], [(13, 5), (16, 9), (12, 4)], [False, False, False, False], 58, False, [False, False, False, False], 2499, 'East', (18, 5))
Element 22: (1, (18, 5), ['', '', '%', '%'], [(13, 6), (16, 10), (11, 4)], [False, False, True, True], 56, False, [False, False, False, False], 2508, 'South', (18, 4))
Element 23: (1, (18, 4), ['', '', '', '%'], [(12, 6), (16, 11), (11, 3)], [False, False, False, True], 54, False, [False, False, False, False], 2517, 'South', (18, 3))
