Element 1: (3, (6, 13), ['.', '', '%', '.'], [(15, 7), (5, 12), (7, 12)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (7, 13))
Element 2: (3, (7, 13), ['', '', '%', '%'], [(15, 6), (5, 13), (8, 12)], [False, False, True, True], 96, False, [False, False, False, False], 1058, 'South', (7, 12))
Element 3: (3, (7, 12), ['', '%', '', ''], [(16, 6), (4, 13), (9, 12)], [False, True, False, False], 94, False, [False, False, False, False], 1087, 'East', (8, 12))
Element 4: (3, (8, 12), ['', '%', '%', ''], [(17, 6), (3, 13), (10, 12)], [False, True, True, False], 92, False, [False, False, False, False], 1116, 'East', (9, 12))
Element 5: (3, (9, 12), ['', '%', '.', ''], [(17, 7), (3, 12), (11, 12)], [False, True, False, False], 90, False, [False, False, True, False], 1145, 'North', (9, 13))
Element 6: (3, (9, 13), ['%', '', '%', '.'], [(18, 7), (2, 12), (12, 12)], [True, False, True, False], 88, False, [False, False, False, True], 1184, 'East', (10, 13))
Element 7: (3, (10, 13), ['', '', '%', '%'], [(17, 7), (2, 11), (13, 12)], [False, False, True, True], 86, False, [False, False, False, False], 2203, 'South', (10, 12))
Element 8: (3, (10, 12), ['', '%', '', ''], [(17, 6), (1, 11), (13, 13)], [False, True, False, False], 84, False, [False, False, False, False], 3212, 'East', (11, 12))
Element 9: (3, (11, 12), ['', '%', '%', ''], [(17, 5), (1, 12), (14, 13)], [False, True, True, False], 82, False, [False, False, False, False], 3241, 'East', (12, 12))
Element 10: (3, (12, 12), ['', '.', '.', ''], [(18, 5), (1, 13), (15, 13)], [False, False, False, False], 80, False, [False, True, True, False], 3270, 'North', (12, 13))
Element 11: (3, (12, 13), ['%', '', '%', ''], [(18, 4), (1, 12), (16, 13)], [True, False, True, False], 78, False, [False, False, False, False], 3299, 'East', (13, 13))
Element 12: (3, (13, 13), ['', '', '%', ''], [(18, 3), (1, 11), (17, 13)], [False, False, True, False], 76, False, [False, False, False, False], 3318, 'East', (14, 13))
Element 13: (3, (14, 13), ['', '%', '%', ''], [(17, 3), (1, 10), (18, 13)], [False, True, True, False], 74, False, [False, False, False, False], 3347, 'East', (15, 13))
Element 14: (3, (15, 13), ['', '.', '%', ''], [(17, 4), (2, 10), (18, 12)], [False, False, True, False], 72, False, [False, True, False, False], 3376, 'South', (15, 12))
Element 15: (3, (15, 12), ['%', '%', '', '.'], [(16, 4), (3, 10), (18, 11)], [True, True, False, False], 70, False, [False, False, False, True], 3415, 'East', (16, 12))
Element 16: (3, (16, 12), ['', '.', '', '.'], [(16, 5), (4, 10), (18, 10)], [False, False, False, False], 68, False, [False, True, False, True], 3454, 'East', (17, 12))
Element 17: (3, (17, 12), ['', '.', '', ''], [(15, 5), (4, 11), (17, 10)], [False, False, False, False], 66, False, [False, True, False, False], 3493, 'South', (17, 11))
Element 18: (3, (17, 11), ['.', '', '', ''], [(15, 4), (5, 11), (17, 9)], [False, False, False, False], 64, False, [True, False, False, False], 3532, 'West', (16, 11))
Element 19: (3, (16, 11), ['%', '.', '', ''], [(14, 4), (6, 11), (16, 9)], [True, False, False, False], 62, False, [False, True, False, False], 3571, 'South', (16, 10))
Element 20: (3, (16, 10), ['%', '', '', ''], [(14, 5), (6, 12), (17, 9)], [True, False, False, False], 60, False, [False, False, False, False], 3590, 'East', (17, 10))
Element 21: (3, (17, 10), ['', '', '', ''], [(13, 5), (7, 12), (16, 9)], [False, False, False, False], 58, False, [False, False, False, False], 3599, 'East', (18, 10))
Element 22: (3, (18, 10), ['', '%', '', '%'], [(13, 6), (8, 12), (16, 10)], [False, True, False, True], 56, False, [False, False, False, False], 3608, 'North', (18, 11))
Element 23: (3, (18, 11), ['', '', '', '%'], [(12, 6), (9, 12), (16, 11)], [False, False, False, True], 54, False, [False, False, False, False], 3617, 'North', (18, 12))
Element 24: (3, (18, 12), ['', '', '', '%'], [(12, 5), (10, 12), (17, 11)], [False, False, False, True], 52, False, [False, False, False, False], 3626, 'North', (18, 13))
Element 25: (3, (18, 13), ['', '', '%', '%'], [(12, 4), (11, 12), (17, 12)], [False, False, True, True], 50, False, [False, False, False, False], 3635, 'West', (17, 13))
Element 26: (3, (17, 13), ['', '', '%', ''], [(13, 4), (12, 12), (16, 12)], [False, False, True, False], 48, False, [False, False, False, False], 3644, 'West', (16, 13))
Element 27: (3, (16, 13), ['', '', '%', ''], [(13, 3), (12, 11), (15, 12)], [False, False, True, False], 46, False, [False, False, False, False], 3663, 'East', (17, 13))
Element 28: (3, (17, 13), ['', '', '%', ''], [(14, 3), (13, 11), (16, 12)], [False, False, True, False], 44, False, [False, False, False, False], 3682, 'East', (18, 13))
Element 29: (3, (18, 13), ['', '', '%', '%'], [(14, 2), (13, 12), (17, 12)], [False, False, True, True], 42, False, [False, False, False, False], 3691, 'South', (18, 12))
Element 30: (3, (18, 12), ['', '', '', '%'], [(14, 1), (13, 13), (17, 11)], [False, False, False, True], 40, False, [False, False, False, False], 3700, 'South', (18, 11))
Element 31: (3, (18, 11), ['', '', '', '%'], [(15, 1), (14, 13), (16, 11)], [False, False, False, True], 38, False, [False, False, False, False], 3709, 'South', (18, 10))
Element 32: (3, (18, 10), ['', '%', '', '%'], [(14, 1), (15, 13), (16, 12)], [False, True, False, True], 36, False, [False, False, False, False], 3708, 'West', (17, 10))
Element 33: (3, (17, 10), ['', '', '', ''], [(13, 1), (16, 13), (16, 11)], [False, False, False, False], 34, False, [False, False, False, False], 3717, 'South', (17, 9))
Element 34: (3, (17, 9), ['', '%', '', '%'], [(13, 2), (17, 13), (16, 10)], [False, True, False, True], 32, False, [False, False, False, False], 3726, 'West', (16, 9))
