Element 15: (3, (14, 7), ['%', '%', '', ''], [(15, 8), (14, 5), (9, 5)], [True, True, False, False], 70, False, [False, False, False, False], 3405, 'North', (14, 8))
Element 16: (3, (14, 8), ['.', '', '%', ''], [(15, 7), (15, 5), (9, 6)], [False, False, True, False], 68, False, [True, False, False, False], 3414, 'West', (13, 8))
Element 17: (3, (13, 8), ['%', '%', '%', ''], [(15, 6), (16, 5), (9, 7)], [True, True, True, False], 66, False, [False, False, False, False], 3433, 'East', (14, 8))
Element 18: (3, (14, 8), ['', '', '%', ''], [(16, 6), (17, 5), (10, 7)], [False, False, True, False], 64, False, [False, False, False, False], 3442, 'East', (15, 8))
Element 19: (3, (15, 8), ['', '', '%', '%'], [(17, 6), (18, 5), (10, 8)], [False, False, True, True], 62, False, [False, False, False, False], 3451, 'South', (15, 7))
Element 20: (3, (15, 7), ['', '', '', '%'], [(17, 5), (18, 4), (9, 8)], [False, False, False, True], 60, False, [False, False, False, False], 3460, 'West', (14, 7))
Element 21: (3, (14, 7), ['%', '%', '', ''], [(17, 4), (18, 3), (8, 8)], [True, True, False, False], 58, False, [False, False, False, False], 3479, 'East', (15, 7))
Element 22: (3, (15, 7), ['', '', '', '%'], [(17, 3), (18, 4), (8, 9)], [False, False, False, True], 56, False, [False, False, False, False], 3498, 'South', (15, 6))
Element 23: (3, (15, 6), ['%', '', '', ''], [(16, 3), (18, 5), (7, 9)], [True, False, False, False], 54, False, [False, False, False, False], 3517, 'South', (15, 5))
Element 24: (3, (15, 5), ['', '', '', ''], [(16, 4), (17, 5), (7, 8)], [False, False, False, False], 52, False, [False, False, False, False], 3526, 'East', (16, 5))
Element 25: (3, (16, 5), ['', '', '', ''], [(15, 4), (17, 4), (6, 8)], [False, False, False, False], 50, False, [False, False, False, False], 3535, 'West', (15, 5))
Element 26: (3, (15, 5), ['', '', '', ''], [(14, 4), (17, 3), (6, 9)], [False, False, False, False], 48, False, [False, False, False, False], 3544, 'West', (14, 5))
Element 27: (3, (14, 5), ['', '', '%', ''], [(14, 3), (16, 3), (6, 8)], [False, False, True, False], 46, False, [False, False, False, False], 3543, 'West', (13, 5))
Element 28: (3, (13, 5), ['', '', '', ''], [(14, 2), (16, 4), (5, 8)], [False, False, False, False], 44, False, [False, False, False, False], 3552, 'North', (13, 6))
Element 29: (3, (13, 6), ['', '', '%', '%'], [(14, 1), (15, 4), (4, 8)], [False, False, True, True], 42, False, [False, False, False, False], 3561, 'West', (12, 6))
Element 30: (3, (12, 6), ['.', '', '%', ''], [(15, 1), (14, 4), (5, 8)], [False, False, True, False], 40, False, [True, False, False, False], 3560, 'West', (11, 6))
Element 31: (3, (11, 6), ['%', '%', '%', ''], [(14, 1), (14, 3), (6, 8)], [True, True, True, False], 38, False, [False, False, False, False], 3569, 'East', (12, 6))
Element 32: (3, (12, 6), ['', '', '%', ''], [(13, 1), (14, 2), (7, 8)], [False, False, True, False], 36, False, [False, False, False, False], 3568, 'South', (12, 5))
Element 33: (3, (12, 5), ['%', '', '', ''], [(13, 2), (14, 1), (7, 9)], [True, False, False, False], 34, False, [False, False, False, False], 3567, 'South', (12, 4))
Element 34: (3, (12, 4), ['', '%', '', ''], [(12, 2), (15, 1), (6, 9)], [False, True, False, False], 32, False, [False, False, False, False], 3566, 'East', (13, 4))
Element 35: (3, (13, 4), ['', '', '', ''], [(12, 1), (14, 1), (7, 9)], [False, False, False, False], 30, False, [False, False, False, False], 3565, 'South', (13, 3))
Element 36: (3, (13, 3), ['%', '', '', ''], [(11, 1), (13, 1), (8, 9)], [True, False, False, False], 28, False, [False, False, False, False], 3564, 'South', (13, 2))
Element 37: (3, (13, 2), ['', '', '', ''], [(11, 2), (12, 1), (8, 8)], [False, False, False, False], 26, False, [False, False, False, False], 3563, 'East', (14, 2))
Element 38: (3, (14, 2), ['', '', '', '%'], [(11, 3), (12, 2), (7, 8)], [False, False, False, True], 24, False, [False, False, False, False], 3562, 'South', (14, 1))
Element 39: (3, (14, 1), ['', '%', '', ''], [(11, 4), (13, 2), (8, 8)], [False, True, False, False], 22, False, [False, False, False, False], 3561, 'East', (15, 1))
Element 40: (3, (15, 1), ['', '%', '%', '%'], [(12, 4), (13, 3), (9, 8)], [False, True, True, True], 20, False, [False, False, False, False], 3560, 'West', (14, 1))
Element 41: (3, (14, 1), ['', '%', '', ''], [(12, 5), (13, 4), (10, 8)], [False, True, False, False], 18, False, [False, False, False, False], 3559, 'West', (13, 1))
Element 42: (3, (13, 1), ['', '%', '', ''], [(12, 6), (13, 3), (10, 7)], [False, True, False, False], 16, False, [False, False, False, False], 3558, 'West', (12, 1))
Element 43: (3, (12, 1), ['', '%', '', ''], [(13, 6), (13, 2), (9, 7)], [False, True, False, False], 14, False, [False, False, False, False], 3557, 'North', (12, 2))
Element 44: (3, (12, 2), ['', '', '%', ''], [(12, 6), (13, 1), (9, 8)], [False, False, True, False], 12, False, [False, False, False, False], 3556, 'West', (11, 2))
Element 45: (3, (11, 2), ['', '', '', ''], [(11, 6), (12, 1), (9, 7)], [False, False, False, False], 10, False, [False, False, False, False], 3555, 'North', (11, 3))
Element 46: (3, (11, 3), ['', '', '', '%'], [(12, 6), (11, 1), (9, 6)], [False, False, False, True], 8, False, [False, False, False, False], 3554, 'North', (11, 4))
Element 47: (3, (11, 4), ['', '', '%', ''], [(12, 5), (12, 1), (8, 6)], [False, False, True, False], 6, False, [False, False, False, False], 3563, 'West', (10, 4))
Element 48: (3, (10, 4), ['.', '', '', ''], [(12, 4), (13, 1), (8, 5)], [False, False, False, False], 4, False, [True, False, False, False], 3572, 'West', (9, 4))
Element 49: (3, (9, 4), ['G', '', '', ''], [(11, 4), (14, 1), (8, 4)], [False, False, False, False], 2, False, [False, False, False, False], 3591, 'North', (9, 5))
Element 50: (3, (9, 5), ['', '', '', ''], [(11, 4), (14, 1), (8, 4)], [False, False, False, False], 0, False, [False, False, False, False], 3590, 'Stop', (9, 5))
Element 51: #0#
