Element 1: (1, (7, 1), ['F', '%', '.', '.'], [(4, 11), (7, 13), (15, 7)], [False, True, False, False], 98, False, [False, False, True, True], 9, 'West', (6, 1))
Element 2: (1, (6, 1), ['.', '%', '.', ''], [(5, 11), (7, 12), (15, 8)], [False, True, False, False], 96, False, [True, False, True, False], 1038, 'North', (6, 2))
Element 3: (1, (6, 2), ['.', '', '.', '.'], [(6, 11), (8, 12), (14, 8)], [False, False, False, False], 94, False, [True, False, True, True], 2067, 'East', (7, 2))
Element 4: (1, (7, 2), ['', '', '.', '.'], [(6, 12), (9, 12), (14, 7)], [False, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (8, 2))
Element 5: (1, (8, 2), ['', '.', 'F', 'F'], [(6, 13), (10, 12), (14, 8)], [False, False, False, False], 90, False, [False, True, False, False], 2135, 'East', (9, 2))
Element 6: (1, (9, 2), ['', '.', '.', '.'], [(5, 13), (11, 12), (13, 8)], [False, False, False, False], 88, False, [False, True, True, True], 3164, 'East', (10, 2))
Element 7: (1, (10, 2), ['', '%', '.', '.'], [(5, 12), (12, 12), (14, 8)], [False, True, False, False], 86, False, [False, False, True, True], 3193, 'East', (11, 2))
Element 8: (1, (11, 2), ['', '.', '.', '.'], [(4, 12), (13, 12), (15, 8)], [False, False, False, False], 84, False, [False, True, True, True], 3222, 'East', (12, 2))
Element 9: (1, (12, 2), ['', '.', '%', '.'], [(4, 13), (13, 13), (15, 7)], [False, False, True, False], 82, False, [False, True, False, True], 3251, 'East', (13, 2))
Element 10: (1, (13, 2), ['', '.', '.', '.'], [(3, 13), (14, 13), (15, 6)], [False, False, False, False], 80, False, [False, True, True, True], 3290, 'East', (14, 2))
Element 11: (1, (14, 2), ['', '.', '.', '%'], [(3, 12), (15, 13), (16, 6)], [False, False, False, True], 78, False, [False, True, True, False], 3329, 'North', (14, 3))
Element 12: (1, (14, 3), ['.', '', '.', '%'], [(2, 12), (16, 13), (17, 6)], [False, False, False, True], 76, False, [True, False, True, False], 3368, 'North', (14, 4))
Element 13: (1, (14, 4), ['.', '', '.', '.'], [(2, 11), (17, 13), (17, 7)], [False, False, False, False], 74, False, [True, False, True, True], 4397, 'East', (15, 4))
Element 14: (1, (15, 4), ['', '%', '.', '.'], [(1, 11), (18, 13), (18, 7)], [False, True, False, False], 72, False, [False, False, True, True], 5426, 'East', (16, 4))
Element 15: (1, (16, 4), ['', '.', '.', '.'], [(1, 12), (18, 12), (17, 7)], [False, False, False, False], 70, False, [False, True, True, True], 5455, 'East', (17, 4))
Element 16: (1, (17, 4), ['', '.', '.', '.'], [(1, 13), (18, 11), (17, 6)], [False, False, False, False], 68, False, [False, True, True, True], 5484, 'East', (18, 4))
Element 17: (1, (18, 4), ['', '.', '.', '%'], [(1, 12), (18, 10), (17, 5)], [False, False, False, True], 66, False, [False, True, True, False], 5513, 'North', (18, 5))
Element 18: (1, (18, 5), ['', '', '%', '%'], [(1, 11), (17, 10), (16, 5)], [False, False, True, True], 64, False, [False, False, False, False], 5542, 'West', (17, 5))
Element 19: (1, (17, 5), ['', '', '', ''], [(1, 10), (17, 11), (15, 5)], [False, False, False, False], 62, False, [False, False, False, False], 5571, 'North', (17, 6))
Element 20: (1, (17, 6), ['', '', '', '%'], [(2, 10), (17, 12), (14, 5)], [False, False, False, True], 60, False, [False, False, False, False], 5600, 'North', (17, 7))
Element 21: (1, (17, 7), ['%', '', '%', ''], [(3, 10), (16, 12), (13, 5)], [True, False, True, False], 58, False, [False, False, False, False], 5629, 'East', (18, 7))
Element 22: (1, (18, 7), ['', '%', '%', '%'], [(2, 10), (16, 11), (13, 6)], [False, True, True, True], 56, False, [False, False, False, False], 5648, 'West', (17, 7))
Element 23: (1, (17, 7), ['%', '', '%', ''], [(1, 10), (16, 10), (12, 6)], [True, False, True, False], 54, False, [False, False, False, False], 5667, 'South', (17, 6))
Element 24: (1, (17, 6), ['', '', '', '%'], [(1, 11), (16, 9), (12, 5)], [False, False, False, True], 52, False, [False, False, False, False], 5686, 'West', (16, 6))
Element 25: (1, (16, 6), ['', '', '%', ''], [(2, 11), (17, 9), (12, 4)], [False, False, True, False], 50, False, [False, False, False, False], 5705, 'South', (16, 5))
Element 26: (1, (16, 5), ['', '', '', ''], [(2, 10), (16, 9), (13, 4)], [False, False, False, False], 48, False, [False, False, False, False], 5714, 'West', (15, 5))
Element 27: (1, (15, 5), ['', '', '', ''], [(2, 11), (16, 10), (13, 3)], [False, False, False, False], 46, False, [False, False, False, False], 5723, 'North', (15, 6))
Element 28: (1, (15, 6), ['%', '', '', ''], [(2, 12), (16, 11), (14, 3)], [True, False, False, False], 44, False, [False, False, False, False], 5722, 'North', (15, 7))
Element 29: (1, (15, 7), ['', '', '', '%'], [(1, 12), (16, 12), (14, 4)], [False, False, False, True], 42, False, [False, False, False, False], 5721, 'North', (15, 8))
Element 30: (1, (15, 8), ['', '', '%', '%'], [(2, 12), (15, 12), (15, 4)], [False, False, True, True], 40, False, [False, False, False, False], 5730, 'West', (14, 8))
Element 31: (1, (14, 8), ['', '', '%', ''], [(3, 12), (16, 12), (16, 4)], [False, False, True, False], 38, False, [False, False, False, False], 5729, 'South', (14, 7))
Element 32: (1, (14, 7), ['%', '%', '', ''], [(3, 13), (17, 12), (16, 3)], [True, True, False, False], 36, False, [False, False, False, False], 5738, 'North', (14, 8))
Element 33: (1, (14, 8), ['', '', '%', ''], [(4, 13), (17, 11), (17, 3)], [False, False, True, False], 34, False, [False, False, False, False], 5747, 'West', (13, 8))
Element 34: (1, (13, 8), ['%', '%', '%', ''], [(4, 12), (16, 11), (18, 3)], [True, True, True, False], 32, False, [False, False, False, False], 5756, 'East', (14, 8))
Element 35: (1, (14, 8), ['', '', '%', ''], [(3, 12), (17, 11), (18, 4)], [False, False, True, False], 30, False, [False, False, False, False], 5755, 'East', (15, 8))
Element 36: (1, (15, 8), ['', '', '%', '%'], [(4, 12), (17, 10), (18, 5)], [False, False, True, True], 28, False, [False, False, False, False], 5754, 'South', (15, 7))
Element 37: (1, (15, 7), ['', '', '', '%'], [(5, 12), (17, 9), (18, 4)], [False, False, False, True], 26, False, [False, False, False, False], 5753, 'West', (14, 7))
Element 38: (1, (14, 7), ['%', '%', '', ''], [(5, 13), (17, 10), (17, 4)], [True, True, False, False], 24, False, [False, False, False, False], 5752, 'East', (15, 7))
Element 39: (1, (15, 7), ['', '', '', '%'], [(4, 13), (16, 10), (18, 4)], [False, False, False, True], 22, False, [False, False, False, False], 5751, 'South', (15, 6))
Element 40: (1, (15, 6), ['%', '', '', ''], [(5, 13), (17, 10), (18, 3)], [True, False, False, False], 20, False, [False, False, False, False], 5750, 'South', (15, 5))
