Element 39: (3, (10, 3), ['.', '.', '', ''], [(17, 13), (13, 1), (7, 9)], [False, False, False, False], 22, False, [True, True, False, False], 1621, 'South', (10, 2))
Element 40: (3, (10, 2), ['F', '%', '', ''], [(17, 12), (13, 2), (7, 8)], [False, True, False, False], 20, False, [False, False, False, False], 1640, 'West', (9, 2))
Element 41: (3, (9, 2), ['.', '.', '.', ''], [(17, 13), (12, 2), (6, 8)], [False, False, False, False], 18, False, [True, True, True, False], 2649, 'North', (9, 3))
Element 42: (3, (9, 3), ['F', '', '.', ''], [(16, 13), (12, 1), (6, 9)], [False, False, False, False], 16, False, [False, False, True, False], 2668, 'West', (8, 3))
Element 43: (3, (8, 3), ['.', '.', '.', ''], [(16, 12), (11, 1), (6, 8)], [False, False, False, False], 14, False, [True, True, True, False], 3677, 'North', (8, 4))
Element 44: (3, (8, 4), ['%', '', '.', '.'], [(16, 13), (11, 2), (5, 8)], [True, False, False, False], 12, False, [False, False, True, True], 3696, 'East', (9, 4))
Element 45: (3, (9, 4), ['', '', '', ''], [(15, 13), (11, 3), (4, 8)], [False, False, False, False], 10, False, [False, False, False, False], 3715, 'East', (10, 4))
Element 46: (3, (10, 4), ['', '', '', 'G'], [(15, 12), (11, 4), (5, 8)], [False, False, False, False], 8, False, [False, False, False, False], 3714, 'North', (10, 5))
Element 47: (3, (10, 5), ['', 'G', '%', '%'], [(15, 13), (10, 4), (6, 8)], [False, False, True, True], 6, False, [False, False, False, False], 3713, 'West', (9, 5))
Element 48: (3, (9, 5), ['.', '', '', 'G'], [(14, 13), (10, 5), (7, 8)], [False, False, False, False], 4, False, [True, False, False, False], 3712, 'West', (8, 5))
Element 49: (3, (8, 5), ['%', '', '.', 'G'], [(13, 13), (9, 5), (7, 9)], [True, False, False, False], 2, False, [False, False, True, False], 3731, 'North', (8, 6))
Element 50: (3, (8, 6), ['%', '', '%', ''], [(13, 13), (9, 5), (7, 9)], [True, False, True, False], 0, False, [False, False, False, False], 3740, 'Stop', (8, 6))
Element 51: #0#
