Element 1: (0, (9, 5), ['.', '.', '.', 'F'], [(9, 10), (11, 3), (15, 12)], [False, False, False, False], 98, False, [True, True, True, False], 0, 'East', (10, 5))
Element 2: (0, (10, 5), ['', '.', '%', '%'], [(10, 10), (11, 4), (16, 12)], [False, False, True, True], 96, False, [False, True, False, False], 1029, 'South', (10, 4))
Element 3: (0, (10, 4), ['.', '.', '', ''], [(9, 10), (12, 4), (17, 12)], [False, False, False, False], 94, False, [True, True, False, False], 1058, 'South', (10, 3))
Element 4: (0, (10, 3), ['.', '.', '', ''], [(9, 10), (13, 4), (18, 12)], [False, False, False, False], 92, False, [True, True, False, False], 1087, 'South', (10, 2))
Element 5: (0, (10, 2), ['F', '%', '', '.'], [(10, 10), (14, 4), (18, 13)], [False, True, False, False], 90, False, [False, False, False, True], 1116, 'West', (9, 2))
Element 6: (0, (9, 2), ['.', '.', '.', ''], [(9, 10), (15, 4), (17, 13)], [False, False, False, False], 88, False, [True, True, True, False], 2135, 'North', (9, 3))
Element 7: (0, (9, 3), ['F', '', '.', ''], [(9, 10), (16, 4), (16, 13)], [False, False, False, False], 86, False, [False, False, True, False], 2164, 'West', (8, 3))
Element 8: (0, (8, 3), ['.', '.', '.', ''], [(10, 10), (17, 4), (15, 13)], [False, False, False, False], 84, False, [True, True, True, False], 3183, 'North', (8, 4))
Element 9: (0, (8, 4), ['%', '', '.', '.'], [(9, 10), (18, 4), (14, 13)], [True, False, False, False], 82, False, [False, False, True, True], 3212, 'East', (9, 4))
Element 10: (0, (9, 4), ['', '', '', ''], [(9, 10), (18, 5), (13, 13)], [False, False, False, False], 80, False, [False, False, False, False], 3241, 'West', (8, 4))
Element 11: (0, (8, 4), ['%', '', '.', ''], [(10, 10), (17, 5), (13, 12)], [True, False, False, False], 78, False, [False, False, True, False], 3260, 'North', (8, 5))
Element 12: (0, (8, 5), ['%', '', '.', ''], [(9, 10), (17, 6), (13, 11)], [True, False, False, False], 76, False, [False, False, True, False], 3289, 'North', (8, 6))
Element 13: (0, (8, 6), ['%', '', '%', '.'], [(9, 10), (17, 7), (12, 11)], [True, False, True, False], 74, False, [False, False, False, True], 3318, 'East', (9, 6))
Element 14: (0, (9, 6), ['', '', '.', '%'], [(10, 10), (18, 7), (12, 12)], [False, False, False, True], 72, False, [False, False, True, False], 3347, 'North', (9, 7))
Element 15: (0, (9, 7), ['%', '', '.', '.'], [(9, 10), (17, 7), (12, 13)], [True, False, False, False], 70, False, [False, False, True, True], 3366, 'East', (10, 7))
Element 16: (0, (10, 7), ['', '%', '.', '%'], [(9, 10), (17, 6), (12, 12)], [False, True, False, True], 68, False, [False, False, True, False], 3375, 'North', (10, 8))
Element 17: (0, (10, 8), ['.', '', '%', '%'], [(10, 10), (16, 6), (11, 12)], [False, False, True, True], 66, False, [True, False, False, False], 3404, 'West', (9, 8))
Element 18: (0, (9, 8), ['.', '', '%', ''], [(9, 10), (16, 5), (10, 12)], [False, False, True, False], 64, False, [True, False, False, False], 3433, 'West', (8, 8))
Element 19: (0, (8, 8), ['.', '%', '.', ''], [(9, 10), (15, 5), (10, 13)], [False, True, False, False], 62, False, [True, False, True, False], 3462, 'North', (8, 9))
Element 20: (0, (8, 9), ['.', '', '%', '%'], [(10, 10), (15, 6), (9, 13)], [False, False, True, True], 60, False, [True, False, False, False], 3491, 'West', (7, 9))
