Element 1: (3, (5, 1), ['.', '%', '.', 'F'], [(13, 2), (2, 2), (5, 11)], [False, True, False, False], 98, False, [True, False, True, False], 29, 'East', (6, 1))
Element 2: (3, (6, 1), ['', '%', '.', '.'], [(14, 2), (2, 3), (6, 11)], [False, True, False, False], 96, False, [False, False, True, True], 1058, 'East', (7, 1))
Element 3: (3, (7, 1), ['', '%', '.', '.'], [(14, 3), (3, 3), (6, 12)], [False, True, False, False], 94, False, [False, False, True, True], 1097, 'East', (8, 1))
Element 4: (3, (8, 1), ['', '%', '.', '.'], [(14, 4), (4, 3), (7, 12)], [False, True, False, False], 92, False, [False, False, True, True], 1136, 'East', (9, 1))
Element 5: (3, (9, 1), ['', '%', 'F', '%'], [(15, 4), (5, 3), (8, 12)], [False, True, False, True], 90, False, [False, False, False, False], 2165, 'North', (9, 2))
Element 6: (3, (9, 2), ['.', '', '.', '.'], [(16, 4), (6, 3), (9, 12)], [False, False, False, False], 88, False, [True, False, True, True], 3194, 'East', (10, 2))
Element 7: (3, (10, 2), ['', '%', '.', '.'], [(17, 4), (7, 3), (10, 12)], [False, True, False, False], 86, False, [False, False, True, True], 3233, 'East', (11, 2))
Element 8: (3, (11, 2), ['', '.', '.', ''], [(18, 4), (8, 3), (11, 12)], [False, False, False, False], 84, False, [False, True, True, False], 4262, 'North', (11, 3))
Element 9: (3, (11, 3), ['.', '', '.', '%'], [(18, 5), (9, 3), (12, 12)], [False, False, False, True], 82, False, [True, False, True, False], 4301, 'North', (11, 4))
Element 10: (3, (11, 4), ['.', '', '%', '.'], [(17, 5), (10, 3), (13, 12)], [False, False, True, False], 80, False, [True, False, False, True], 4340, 'East', (12, 4))
Element 11: (3, (12, 4), ['', '%', '.', '.'], [(17, 6), (10, 4), (13, 13)], [False, True, False, False], 78, False, [False, False, True, True], 4379, 'East', (13, 4))
Element 12: (3, (13, 4), ['', '.', '.', ''], [(17, 7), (10, 5), (14, 13)], [False, False, False, False], 76, False, [False, True, True, False], 5408, 'North', (13, 5))
