Element 1: (1, (4, 5), ['.', '', '.', '.'], [(4, 3), (6, 2), (16, 9)], [False, False, False, False], 98, False, [True, False, True, True], 9, 'East', (5, 5))
Element 2: (1, (5, 5), ['', '%', '.', '.'], [(5, 3), (6, 1), (17, 9)], [False, True, False, False], 96, False, [False, False, True, True], 1038, 'East', (6, 5))
Element 3: (1, (6, 5), ['', '.', '.', '%'], [(6, 3), (7, 1), (17, 10)], [False, False, False, True], 94, False, [False, True, True, False], 1077, 'North', (6, 6))
Element 4: (1, (6, 6), ['.', '', '%', '%'], [(7, 3), (8, 1), (18, 10)], [False, False, True, True], 92, False, [True, False, False, False], 1116, 'West', (5, 6))
Element 5: (1, (5, 6), ['.', '', '%', ''], [(8, 3), (9, 1), (18, 11)], [False, False, True, False], 90, False, [True, False, False, False], 2145, 'West', (4, 6))
Element 6: (1, (4, 6), ['.', '', '%', ''], [(9, 3), (9, 2), (18, 12)], [False, False, True, False], 88, False, [True, False, False, False], 3174, 'West', (3, 6))
Element 7: (1, (3, 6), ['.', '.', '.', ''], [(10, 3), (10, 2), (18, 13)], [False, False, False, False], 86, False, [True, True, True, False], 3213, 'North', (3, 7))
Element 8: (1, (3, 7), ['.', '', '%', '%'], [(11, 3), (11, 2), (17, 13)], [False, False, True, True], 84, False, [True, False, False, False], 3252, 'West', (2, 7))
Element 9: (1, (2, 7), ['.', '.', 'F', ''], [(11, 4), (12, 2), (17, 12)], [False, False, False, False], 82, False, [True, True, False, False], 3291, 'North', (2, 8))
Element 10: (1, (2, 8), ['F', '', '%', '%'], [(12, 4), (13, 2), (17, 11)], [False, False, True, True], 80, False, [False, False, False, False], 4320, 'West', (1, 8))
Element 11: (1, (1, 8), ['%', '.', '%', ''], [(13, 4), (14, 2), (16, 11)], [True, False, True, False], 78, False, [False, True, False, False], 5349, 'South', (1, 7))
Element 12: (1, (1, 7), ['%', '.', '', ''], [(14, 4), (14, 3), (16, 12)], [True, False, False, False], 76, False, [False, True, False, False], 5388, 'South', (1, 6))
Element 13: (1, (1, 6), ['%', '.', '', '.'], [(15, 4), (13, 3), (16, 13)], [True, False, False, False], 74, False, [False, True, False, True], 5427, 'East', (2, 6))
Element 14: (1, (2, 6), ['', '.', '', ''], [(16, 4), (13, 4), (15, 13)], [False, False, False, False], 72, False, [False, True, False, False], 5456, 'South', (2, 5))
Element 15: (1, (2, 5), ['.', '.', '', '.'], [(17, 4), (13, 5), (15, 12)], [False, False, False, False], 70, False, [True, True, False, True], 5495, 'East', (3, 5))
Element 16: (1, (3, 5), ['', '.', '', ''], [(18, 4), (14, 5), (15, 13)], [False, False, False, False], 68, False, [False, True, False, False], 5524, 'South', (3, 4))
Element 17: (1, (3, 4), ['.', '.', '', ''], [(18, 5), (15, 5), (14, 13)], [False, False, False, False], 66, False, [True, True, False, False], 5563, 'South', (3, 3))
Element 18: (1, (3, 3), ['.', '%', '', ''], [(17, 5), (16, 5), (13, 13)], [False, True, False, False], 64, False, [True, False, False, False], 5602, 'West', (2, 3))
Element 19: (1, (2, 3), ['%', '.', '.', ''], [(17, 6), (16, 6), (13, 12)], [True, False, False, False], 62, False, [False, True, True, False], 5641, 'North', (2, 4))
Element 20: (1, (2, 4), ['.', '', '', ''], [(17, 7), (15, 6), (13, 11)], [False, False, False, False], 60, False, [True, False, False, False], 5680, 'West', (1, 4))
Element 21: (1, (1, 4), ['%', '%', '.', ''], [(18, 7), (15, 7), (12, 11)], [True, True, False, False], 58, False, [False, False, True, False], 5719, 'North', (1, 5))
Element 22: (1, (1, 5), ['%', '', '', ''], [(17, 7), (15, 8), (12, 12)], [True, False, False, False], 56, False, [False, False, False, False], 5748, 'South', (1, 4))
Element 23: (1, (1, 4), ['%', '%', '', ''], [(17, 6), (14, 8), (12, 13)], [True, True, False, False], 54, False, [False, False, False, False], 5767, 'East', (2, 4))
Element 24: (1, (2, 4), ['', '', '', ''], [(16, 6), (14, 7), (12, 12)], [False, False, False, False], 52, False, [False, False, False, False], 5776, 'South', (2, 3))
Element 25: (1, (2, 3), ['%', '.', '', ''], [(16, 5), (14, 8), (11, 12)], [True, False, False, False], 50, False, [False, True, False, False], 5785, 'South', (2, 2))
Element 26: (1, (2, 2), ['.', '.', '', '%'], [(15, 5), (13, 8), (10, 12)], [False, False, False, True], 48, False, [True, True, False, False], 5814, 'South', (2, 1))
Element 27: (1, (2, 1), ['.', '%', '', '.'], [(15, 6), (14, 8), (10, 13)], [False, True, False, False], 46, False, [True, False, False, True], 5833, 'East', (3, 1))
