Element 1: (1, (2, 10), ['.', '%', 'F', '.'], [(11, 4), (5, 6), (17, 12)], [False, True, False, False], 98, False, [True, False, False, True], 9, 'North', (2, 11))
Element 2: (1, (2, 11), ['F', '', '.', '%'], [(12, 4), (6, 6), (18, 12)], [False, False, False, True], 96, False, [False, False, True, False], 1038, 'West', (1, 11))
Element 3: (1, (1, 11), ['%', '.', '.', ''], [(13, 4), (6, 5), (18, 13)], [True, False, False, False], 94, False, [False, True, True, False], 2067, 'North', (1, 12))
Element 4: (1, (1, 12), ['%', '', '.', '.'], [(14, 4), (6, 4), (17, 13)], [True, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (2, 12))
Element 5: (1, (2, 12), ['', '', '%', '.'], [(15, 4), (6, 3), (16, 13)], [False, False, True, False], 90, False, [False, False, False, True], 2145, 'East', (3, 12))
Element 6: (1, (3, 12), ['', '%', '.', '.'], [(16, 4), (7, 3), (16, 12)], [False, True, False, False], 88, False, [False, False, True, True], 2184, 'East', (4, 12))
Element 7: (1, (4, 12), ['', '.', '.', '.'], [(17, 4), (8, 3), (16, 11)], [False, False, False, False], 86, False, [False, True, True, True], 3213, 'East', (5, 12))
Element 8: (1, (5, 12), ['', '.', '.', '.'], [(18, 4), (9, 3), (17, 11)], [False, False, False, False], 84, False, [False, True, True, True], 3252, 'East', (6, 12))
Element 9: (1, (6, 12), ['', '.', '.', '.'], [(18, 5), (9, 2), (18, 11)], [False, False, False, False], 82, False, [False, True, True, True], 4281, 'East', (7, 12))
Element 10: (1, (7, 12), ['', '%', '.', 'F'], [(17, 5), (10, 2), (18, 10)], [False, True, False, False], 80, False, [False, False, True, False], 4320, 'East', (8, 12))
Element 11: (1, (8, 12), ['', '%', '%', '.'], [(17, 6), (11, 2), (17, 10)], [False, True, True, False], 78, False, [False, False, False, True], 5349, 'East', (9, 12))
Element 12: (1, (9, 12), ['', '%', '.', '.'], [(17, 7), (12, 2), (17, 9)], [False, True, False, False], 76, False, [False, False, True, True], 5388, 'East', (10, 12))
Element 13: (1, (10, 12), ['', '%', '.', '.'], [(18, 7), (13, 2), (16, 9)], [False, True, False, False], 74, False, [False, False, True, True], 5427, 'East', (11, 12))
Element 14: (1, (11, 12), ['', '%', '%', '.'], [(17, 7), (14, 2), (16, 10)], [False, True, True, False], 72, False, [False, False, False, True], 5456, 'East', (12, 12))
Element 15: (1, (12, 12), ['', '.', '.', '.'], [(17, 6), (14, 3), (16, 9)], [False, False, False, False], 70, False, [False, True, True, True], 5475, 'East', (13, 12))
