Element 1: (2, (10, 2), ['F', '%', '.', '.'], [(6, 8), (6, 1), (17, 4)], [False, True, False, False], 98, False, [False, False, True, True], 1009, 'West', (9, 2))
Element 2: (2, (9, 2), ['.', '.', '.', ''], [(7, 8), (7, 1), (18, 4)], [False, False, False, False], 96, False, [True, True, True, False], 2038, 'North', (9, 3))
Element 3: (2, (9, 3), ['F', '', '.', '.'], [(8, 8), (8, 1), (18, 5)], [False, False, False, False], 94, False, [False, False, True, True], 2077, 'West', (8, 3))
Element 4: (2, (8, 3), ['.', '.', '.', ''], [(9, 8), (9, 1), (17, 5)], [False, False, False, False], 92, False, [True, True, True, False], 3106, 'North', (8, 4))
Element 5: (2, (8, 4), ['%', '', '.', '.'], [(10, 8), (9, 2), (17, 6)], [True, False, False, False], 90, False, [False, False, True, True], 3135, 'East', (9, 4))
Element 6: (2, (9, 4), ['', '', '.', '.'], [(10, 7), (8, 2), (17, 7)], [False, False, False, False], 88, False, [False, False, True, True], 3174, 'East', (10, 4))
Element 7: (2, (10, 4), ['', '.', 'F', '.'], [(9, 7), (7, 2), (18, 7)], [False, False, False, False], 86, False, [False, True, False, True], 3213, 'North', (10, 5))
Element 8: (2, (10, 5), ['.', '', '%', '%'], [(9, 6), (7, 3), (17, 7)], [False, False, True, True], 84, False, [True, False, False, False], 4232, 'West', (9, 5))
Element 9: (2, (9, 5), ['.', '', '', ''], [(8, 6), (6, 3), (17, 6)], [False, False, False, False], 82, False, [True, False, False, False], 4261, 'West', (8, 5))
Element 10: (2, (8, 5), ['%', '', '', ''], [(9, 6), (6, 4), (16, 6)], [True, False, False, False], 80, False, [False, False, False, False], 4290, 'North', (8, 6))
Element 11: (2, (8, 6), ['%', '', '%', ''], [(9, 7), (6, 5), (16, 5)], [True, False, True, False], 78, False, [False, False, False, False], 4309, 'East', (9, 6))
Element 12: (2, (9, 6), ['', '', '', '%'], [(10, 7), (6, 6), (16, 4)], [False, False, False, True], 76, False, [False, False, False, False], 4328, 'North', (9, 7))
Element 13: (2, (9, 7), ['%', '', '', ''], [(10, 8), (5, 6), (16, 3)], [True, False, False, False], 74, False, [False, False, False, False], 4347, 'East', (10, 7))
Element 14: (2, (10, 7), ['', '%', '', '%'], [(9, 8), (5, 5), (17, 3)], [False, True, False, True], 72, False, [False, False, False, False], 4366, 'North', (10, 8))
Element 15: (2, (10, 8), ['', '', '%', '%'], [(9, 7), (4, 5), (18, 3)], [False, False, True, True], 70, False, [False, False, False, False], 4385, 'West', (9, 8))
Element 16: (2, (9, 8), ['', '', '%', ''], [(9, 6), (4, 6), (17, 3)], [False, False, True, False], 68, False, [False, False, False, False], 4394, 'West', (8, 8))
Element 17: (2, (8, 8), ['', '%', '.', ''], [(8, 6), (3, 6), (16, 3)], [False, True, False, False], 66, False, [False, False, True, False], 4403, 'North', (8, 9))
Element 18: (2, (8, 9), ['.', '', '%', '%'], [(8, 5), (3, 7), (16, 4)], [False, False, True, True], 64, False, [True, False, False, False], 4422, 'West', (7, 9))
