Element 1: (1, (6, 2), ['.', 'F', '.', '.'], [(18, 4), (7, 1), (16, 5)], [False, False, False, False], 98, False, [True, False, True, True], 9, 'South', (6, 1))
Element 2: (1, (6, 1), ['.', '%', '', ''], [(18, 5), (8, 1), (17, 5)], [False, True, False, False], 96, False, [True, False, False, False], 1038, 'West', (5, 1))
Element 3: (1, (5, 1), ['.', '%', '.', ''], [(17, 5), (9, 1), (17, 6)], [False, True, False, False], 94, False, [True, False, True, False], 1067, 'North', (5, 2))
Element 4: (1, (5, 2), ['.', '', '.', ''], [(17, 6), (9, 2), (17, 7)], [False, False, False, False], 92, False, [True, False, True, False], 2086, 'North', (5, 3))
Element 5: (1, (5, 3), ['.', '', '%', '.'], [(16, 6), (10, 2), (18, 7)], [False, False, True, False], 90, False, [True, False, False, True], 2125, 'East', (6, 3))
Element 6: (1, (6, 3), ['', '', '.', '.'], [(15, 6), (11, 2), (17, 7)], [False, False, False, False], 88, False, [False, False, True, True], 2154, 'East', (7, 3))
Element 7: (1, (7, 3), ['', '.', '%', 'F'], [(15, 7), (12, 2), (17, 6)], [False, False, True, False], 86, False, [False, True, False, False], 2183, 'East', (8, 3))
Element 8: (1, (8, 3), ['', '.', '.', '.'], [(15, 8), (13, 2), (16, 6)], [False, False, False, False], 84, False, [False, True, True, True], 3202, 'East', (9, 3))
Element 9: (1, (9, 3), ['', '', '.', '.'], [(14, 8), (14, 2), (15, 6)], [False, False, False, False], 82, False, [False, False, True, True], 3231, 'East', (10, 3))
Element 10: (1, (10, 3), ['', '', '.', '.'], [(14, 7), (14, 3), (15, 5)], [False, False, False, False], 80, False, [False, False, True, True], 3270, 'East', (11, 3))
Element 11: (1, (11, 3), ['', '', '.', '%'], [(14, 8), (14, 4), (15, 4)], [False, False, False, True], 78, False, [False, False, True, False], 3299, 'North', (11, 4))
Element 12: (1, (11, 4), ['.', '', '%', '.'], [(13, 8), (14, 5), (16, 4)], [False, False, True, False], 76, False, [True, False, False, True], 3338, 'East', (12, 4))
Element 13: (1, (12, 4), ['', '%', '.', '.'], [(14, 8), (13, 5), (16, 3)], [False, True, False, False], 74, False, [False, False, True, True], 3367, 'East', (13, 4))
Element 14: (1, (13, 4), ['', '.', '', ''], [(15, 8), (13, 6), (17, 3)], [False, False, False, False], 72, False, [False, True, False, False], 3396, 'South', (13, 3))
Element 15: (1, (13, 3), ['%', '', '', ''], [(15, 7), (12, 6), (18, 3)], [True, False, False, False], 70, False, [False, False, False, False], 3425, 'East', (14, 3))
Element 16: (1, (14, 3), ['', '', '', '%'], [(14, 7), (12, 5), (18, 4)], [False, False, False, True], 68, False, [False, False, False, False], 3434, 'North', (14, 4))
Element 17: (1, (14, 4), ['', '', '', ''], [(15, 7), (12, 4), (18, 5)], [False, False, False, False], 66, False, [False, False, False, False], 3433, 'East', (15, 4))
Element 18: (1, (15, 4), ['', '%', '', ''], [(15, 6), (13, 4), (18, 4)], [False, True, False, False], 64, False, [False, False, False, False], 3432, 'East', (16, 4))
Element 19: (1, (16, 4), ['', '', '', 'G'], [(15, 5), (13, 3), (17, 4)], [False, False, False, False], 62, False, [False, False, False, False], 3431, 'North', (16, 5))
Element 20: (1, (16, 5), ['', '', '', ''], [(15, 4), (13, 4), (18, 4)], [False, False, False, False], 60, False, [False, False, False, False], 3430, 'East', (17, 5))
Element 21: (1, (17, 5), ['', '', '', ''], [(16, 4), (12, 4), (18, 3)], [False, False, False, False], 58, False, [False, False, False, False], 3429, 'East', (18, 5))
Element 22: (1, (18, 5), ['', '', '%', '%'], [(16, 5), (11, 4), (17, 3)], [False, False, True, True], 56, False, [False, False, False, False], 3428, 'South', (18, 4))
Element 23: (1, (18, 4), ['G', '', '', '%'], [(16, 4), (10, 4), (17, 4)], [False, False, False, True], 54, False, [False, False, False, False], 3437, 'South', (18, 3))
Element 24: (1, (18, 3), ['G', '%', '', '%'], [(16, 3), (10, 5), (17, 3)], [False, True, False, True], 52, False, [False, False, False, False], 4436, 'North', (18, 4))
Element 25: (1, (18, 4), ['G', '', '', '%'], [(17, 3), (9, 5), (17, 4)], [False, False, False, True], 50, False, [False, False, False, False], 4445, 'North', (18, 5))
Element 26: (1, (18, 5), ['', '', '%', '%'], [(18, 3), (9, 6), (16, 4)], [False, False, True, True], 48, False, [False, False, False, False], 4454, 'West', (17, 5))
Element 27: (1, (17, 5), ['', 'G', '', ''], [(17, 3), (9, 7), (17, 4)], [False, False, False, False], 46, False, [False, False, False, False], 4463, 'North', (17, 6))
Element 28: (1, (17, 6), ['', '', '', '%'], [(16, 3), (10, 7), (16, 4)], [False, False, False, True], 44, False, [False, False, False, False], 4472, 'North', (17, 7))
Element 29: (1, (17, 7), ['%', '', '%', ''], [(16, 4), (10, 8), (15, 4)], [True, False, True, False], 42, False, [False, False, False, False], 4481, 'East', (18, 7))
Element 30: (1, (18, 7), ['', '%', '%', '%'], [(15, 4), (9, 8), (14, 4)], [False, True, True, True], 40, False, [False, False, False, False], 4490, 'West', (17, 7))
Element 31: (1, (17, 7), ['%', '', '%', ''], [(14, 4), (8, 8), (14, 5)], [True, False, True, False], 38, False, [False, False, False, False], 4499, 'South', (17, 6))
Element 32: (1, (17, 6), ['', '', '', '%'], [(14, 5), (8, 9), (13, 5)], [False, False, False, True], 36, False, [False, False, False, False], 4508, 'West', (16, 6))
Element 33: (1, (16, 6), ['', '', '%', ''], [(13, 5), (7, 9), (13, 6)], [False, False, True, False], 34, False, [False, False, False, False], 4517, 'West', (15, 6))
Element 34: (1, (15, 6), ['%', '', '', ''], [(13, 6), (7, 8), (12, 6)], [True, False, False, False], 32, False, [False, False, False, False], 4526, 'North', (15, 7))
Element 35: (1, (15, 7), ['', '', '', '%'], [(12, 6), (6, 8), (11, 6)], [False, False, False, True], 30, False, [False, False, False, False], 4545, 'North', (15, 8))
Element 36: (1, (15, 8), ['', '', '%', '%'], [(12, 5), (6, 9), (11, 6)], [False, False, True, True], 28, False, [False, False, False, False], 4554, 'West', (14, 8))
Element 37: (1, (14, 8), ['', '', '%', ''], [(12, 4), (6, 8), (12, 6)], [False, False, True, False], 26, False, [False, False, False, False], 4553, 'South', (14, 7))
Element 38: (1, (14, 7), ['%', '%', '', ''], [(13, 4), (5, 8), (12, 6)], [True, True, False, False], 24, False, [False, False, False, False], 4562, 'North', (14, 8))
Element 39: (1, (14, 8), ['', '', '%', ''], [(13, 3), (4, 8), (13, 6)], [False, False, True, False], 22, False, [False, False, False, False], 4571, 'West', (13, 8))
Element 40: (1, (13, 8), ['%', '%', '%', ''], [(14, 3), (5, 8), (13, 5)], [True, True, True, False], 20, False, [False, False, False, False], 4570, 'East', (14, 8))
Element 41: (1, (14, 8), ['', '', '%', ''], [(14, 2), (6, 8), (13, 4)], [False, False, True, False], 18, False, [False, False, False, False], 4569, 'East', (15, 8))
Element 42: (1, (15, 8), ['', '', '%', '%'], [(14, 1), (7, 8), (13, 3)], [False, False, True, True], 16, False, [False, False, False, False], 4578, 'South', (15, 7))
Element 43: (1, (15, 7), ['', '', '', '%'], [(15, 1), (7, 9), (14, 3)], [False, False, False, True], 14, False, [False, False, False, False], 4587, 'West', (14, 7))
Element 44: (1, (14, 7), ['%', '%', '', ''], [(14, 1), (6, 9), (14, 2)], [True, True, False, False], 12, False, [False, False, False, False], 4586, 'East', (15, 7))
Element 45: (1, (15, 7), ['', '', '', '%'], [(13, 1), (7, 9), (13, 2)], [False, False, False, True], 10, False, [False, False, False, False], 4595, 'South', (15, 6))
Element 46: (1, (15, 6), ['%', '', '', ''], [(12, 1), (8, 9), (12, 2)], [True, False, False, False], 8, False, [False, False, False, False], 4604, 'South', (15, 5))
Element 47: (1, (15, 5), ['', '', '', ''], [(11, 1), (8, 8), (11, 2)], [False, False, False, False], 6, False, [False, False, False, False], 4613, 'West', (14, 5))
Element 48: (1, (14, 5), ['', '', '%', ''], [(11, 2), (7, 8), (11, 3)], [False, False, True, False], 4, False, [False, False, False, False], 4612, 'West', (13, 5))
