Element 1: (0, (2, 12), ['.', 'F', '%', '.'], [(6, 3), (8, 9), (14, 2)], [False, False, True, False], 98, False, [True, False, False, True], 0, 'South', (2, 11))
Element 2: (0, (2, 11), ['F', '.', '', '%'], [(7, 3), (8, 8), (14, 3)], [False, False, False, True], 96, False, [False, True, False, False], 1029, 'West', (1, 11))
Element 3: (0, (1, 11), ['%', '.', '.', ''], [(8, 3), (9, 8), (14, 4)], [True, False, False, False], 94, False, [False, True, True, False], 3048, 'North', (1, 12))
Element 4: (0, (1, 12), ['%', '', '.', ''], [(9, 3), (10, 8), (15, 4)], [True, False, False, False], 92, False, [False, False, True, False], 3087, 'North', (1, 13))
Element 5: (0, (1, 13), ['%', '', '%', '%'], [(9, 2), (10, 7), (16, 4)], [True, False, True, True], 90, False, [False, False, False, False], 4116, 'South', (1, 12))
Element 6: (0, (1, 12), ['%', '', '', ''], [(10, 2), (9, 7), (17, 4)], [True, False, False, False], 88, False, [False, False, False, False], 4145, 'South', (1, 11))
Element 7: (0, (1, 11), ['%', '.', '', ''], [(11, 2), (9, 6), (18, 4)], [True, False, False, False], 86, False, [False, True, False, False], 4174, 'South', (1, 10))
Element 8: (0, (1, 10), ['%', '%', '', '.'], [(12, 2), (9, 5), (18, 5)], [True, True, False, False], 84, False, [False, False, False, True], 4213, 'East', (2, 10))
Element 9: (0, (2, 10), ['', '%', '', '.'], [(13, 2), (10, 5), (17, 5)], [False, True, False, False], 82, False, [False, False, False, True], 5242, 'East', (3, 10))
Element 10: (0, (3, 10), ['', '%', '%', '.'], [(13, 3), (10, 4), (17, 6)], [False, True, True, False], 80, False, [False, False, False, True], 5281, 'East', (4, 10))
Element 11: (0, (4, 10), ['', '%', '.', '%'], [(13, 4), (11, 4), (17, 7)], [False, True, False, True], 78, False, [False, False, True, False], 5320, 'North', (4, 11))
Element 12: (0, (4, 11), ['%', '', '.', '.'], [(13, 5), (12, 4), (18, 7)], [True, False, False, False], 76, False, [False, False, True, True], 5359, 'East', (5, 11))
Element 13: (0, (5, 11), ['', '%', '.', '.'], [(14, 5), (12, 5), (17, 7)], [False, True, False, False], 74, False, [False, False, True, True], 5388, 'East', (6, 11))
Element 14: (0, (6, 11), ['', '%', '.', '%'], [(15, 5), (12, 6), (17, 6)], [False, True, False, True], 72, False, [False, False, True, False], 5417, 'North', (6, 12))
Element 15: (0, (6, 12), ['.', '', '.', '.'], [(16, 5), (13, 6), (16, 6)], [False, False, False, False], 70, False, [True, False, True, True], 5456, 'East', (7, 12))
Element 16: (0, (7, 12), ['', '%', '.', 'F'], [(17, 5), (13, 5), (15, 6)], [False, True, False, False], 68, False, [False, False, True, False], 5475, 'East', (8, 12))
Element 17: (0, (8, 12), ['', '%', '%', '.'], [(18, 5), (14, 5), (15, 7)], [False, True, True, False], 66, False, [False, False, False, True], 6484, 'East', (9, 12))
Element 18: (0, (9, 12), ['', '%', '.', '.'], [(18, 4), (15, 5), (15, 8)], [False, True, False, False], 64, False, [False, False, True, True], 6503, 'East', (10, 12))
Element 19: (0, (10, 12), ['', '%', '.', '.'], [(18, 3), (16, 5), (14, 8)], [False, True, False, False], 62, False, [False, False, True, True], 6532, 'East', (11, 12))
Element 20: (0, (11, 12), ['', '%', '%', '.'], [(17, 3), (17, 5), (14, 7)], [False, True, True, False], 60, False, [False, False, False, True], 6561, 'East', (12, 12))
Element 21: (0, (12, 12), ['', '.', '.', '.'], [(16, 3), (18, 5), (14, 8)], [False, False, False, False], 58, False, [False, True, True, True], 6580, 'East', (13, 12))
Element 22: (0, (13, 12), ['', '.', '.', '%'], [(16, 4), (18, 4), (13, 8)], [False, False, False, True], 56, False, [False, True, True, False], 6599, 'North', (13, 13))
Element 23: (0, (13, 13), ['.', '', '%', '.'], [(17, 4), (18, 3), (14, 8)], [False, False, True, False], 54, False, [True, False, False, True], 6608, 'East', (14, 13))
Element 24: (0, (14, 13), ['', '%', '%', '.'], [(16, 4), (17, 3), (15, 8)], [False, True, True, False], 52, False, [False, False, False, True], 6617, 'East', (15, 13))
Element 25: (0, (15, 13), ['', '.', '%', '.'], [(15, 4), (17, 4), (15, 7)], [False, False, True, False], 50, False, [False, True, False, True], 6626, 'East', (16, 13))
Element 26: (0, (16, 13), ['', '.', '%', '.'], [(14, 4), (16, 4), (14, 7)], [False, False, True, False], 48, False, [False, True, False, True], 6635, 'East', (17, 13))
Element 27: (0, (17, 13), ['', '.', '%', '.'], [(14, 3), (16, 3), (15, 7)], [False, False, True, False], 46, False, [False, True, False, True], 6644, 'East', (18, 13))
Element 28: (0, (18, 13), ['', '.', '%', '%'], [(14, 2), (16, 4), (15, 6)], [False, False, True, True], 44, False, [False, True, False, False], 6653, 'South', (18, 12))
Element 29: (0, (18, 12), ['.', '.', '', '%'], [(14, 1), (15, 4), (15, 5)], [False, False, False, True], 42, False, [True, True, False, False], 6672, 'South', (18, 11))
Element 30: (0, (18, 11), ['.', '.', '', '%'], [(15, 1), (14, 4), (16, 5)], [False, False, False, True], 40, False, [True, True, False, False], 6691, 'South', (18, 10))
Element 31: (0, (18, 10), ['.', '%', '', '%'], [(14, 1), (14, 3), (15, 5)], [False, True, False, True], 38, False, [True, False, False, False], 6700, 'West', (17, 10))
Element 32: (0, (17, 10), ['.', '.', '.', ''], [(13, 1), (14, 2), (14, 5)], [False, False, False, False], 36, False, [True, True, True, False], 6719, 'North', (17, 11))
Element 33: (0, (17, 11), ['.', '', '.', ''], [(12, 1), (14, 1), (13, 5)], [False, False, False, False], 34, False, [True, False, True, False], 6738, 'North', (17, 12))
Element 34: (0, (17, 12), ['.', '', '', ''], [(11, 1), (15, 1), (13, 6)], [False, False, False, False], 32, False, [True, False, False, False], 6757, 'West', (16, 12))
Element 35: (0, (16, 12), ['.', '.', '', ''], [(12, 1), (14, 1), (12, 6)], [False, False, False, False], 30, False, [True, True, False, False], 6766, 'South', (16, 11))
Element 36: (0, (16, 11), ['%', '.', '', ''], [(13, 1), (14, 2), (11, 6)], [True, False, False, False], 28, False, [False, True, False, False], 6785, 'South', (16, 10))
Element 37: (0, (16, 10), ['%', '.', '', ''], [(14, 1), (13, 2), (12, 6)], [True, False, False, False], 26, False, [False, True, False, False], 6794, 'South', (16, 9))
Element 38: (0, (16, 9), ['%', '%', '', '.'], [(14, 2), (13, 3), (12, 5)], [True, True, False, False], 24, False, [False, False, False, True], 6803, 'East', (17, 9))
Element 39: (0, (17, 9), ['', '%', '', '%'], [(14, 3), (13, 4), (12, 4)], [False, True, False, True], 22, False, [False, False, False, False], 6812, 'West', (16, 9))
Element 40: (0, (16, 9), ['%', '%', '', ''], [(14, 4), (13, 3), (13, 4)], [True, True, False, False], 20, False, [False, False, False, False], 6811, 'North', (16, 10))
Element 41: (0, (16, 10), ['%', '', '', ''], [(15, 4), (13, 2), (13, 3)], [True, False, False, False], 18, False, [False, False, False, False], 6810, 'North', (16, 11))
Element 42: (0, (16, 11), ['%', '', '', ''], [(16, 4), (13, 1), (13, 2)], [True, False, False, False], 16, False, [False, False, False, False], 6809, 'North', (16, 12))
Element 43: (0, (16, 12), ['.', '', '', ''], [(16, 3), (12, 1), (13, 1)], [False, False, False, False], 14, False, [True, False, False, False], 6808, 'West', (15, 12))
Element 44: (0, (15, 12), ['%', '%', '', ''], [(17, 3), (12, 2), (14, 1)], [True, True, False, False], 12, False, [False, False, False, False], 6817, 'East', (16, 12))
Element 45: (0, (16, 12), ['', '', '', ''], [(17, 4), (11, 2), (15, 1)], [False, False, False, False], 10, False, [False, False, False, False], 6816, 'East', (17, 12))
Element 46: (0, (17, 12), ['', '', '', ''], [(17, 3), (11, 3), (14, 1)], [False, False, False, False], 8, False, [False, False, False, False], 6825, 'South', (17, 11))
Element 47: (0, (17, 11), ['', '', '', ''], [(18, 3), (10, 3), (13, 1)], [False, False, False, False], 6, False, [False, False, False, False], 6834, 'West', (16, 11))
Element 48: (0, (16, 11), ['%', '', '', ''], [(18, 4), (10, 2), (12, 1)], [True, False, False, False], 4, False, [False, False, False, False], 6833, 'East', (17, 11))
Element 49: (0, (17, 11), ['', '', '', ''], [(17, 4), (9, 2), (12, 2)], [False, False, False, False], 2, False, [False, False, False, False], 6832, 'South', (17, 10))
Element 50: (0, (17, 10), ['', '', '', ''], [(18, 4), (9, 1), (11, 2)], [False, False, False, False], 0, False, [False, False, False, False], 6841, 'Stop', (17, 10))
Element 51: #0#
