Element 1: (3, (17, 1), ['%', '%', '%', '.'], [(13, 2), (9, 10), (11, 4)], [True, True, True, False], 98, False, [False, False, False, True], 29, 'East', (18, 1))
Element 2: (3, (18, 1), ['', '%', '%', '%'], [(14, 2), (10, 10), (12, 4)], [False, True, True, True], 96, False, [False, False, False, False], 58, 'West', (17, 1))
Element 3: (3, (17, 1), ['%', '%', '%', ''], [(14, 3), (10, 10), (13, 4)], [True, True, True, False], 94, False, [False, False, False, False], 77, 'Stop', (17, 1))
Element 4: (3, (17, 1), ['%', '%', '%', ''], [(14, 4), (9, 10), (13, 5)], [True, True, True, False], 92, False, [False, False, False, False], 96, 'East', (18, 1))
Element 5: (3, (18, 1), ['', '%', '%', '%'], [(15, 4), (10, 10), (14, 5)], [False, True, True, True], 90, False, [False, False, False, False], 115, 'West', (17, 1))
Element 6: (3, (17, 1), ['%', '%', '%', ''], [(16, 4), (10, 10), (15, 5)], [True, True, True, False], 88, False, [False, False, False, False], 134, 'Stop', (17, 1))
Element 7: (3, (17, 1), ['%', '%', '%', ''], [(17, 4), (9, 10), (16, 5)], [True, True, True, False], 86, False, [False, False, False, False], 153, 'East', (18, 1))
Element 8: (3, (18, 1), ['', '%', '%', '%'], [(18, 4), (10, 10), (17, 5)], [False, True, True, True], 84, False, [False, False, False, False], 172, 'West', (17, 1))
Element 9: (3, (17, 1), ['%', '%', '%', ''], [(18, 5), (10, 10), (17, 6)], [True, True, True, False], 82, False, [False, False, False, False], 191, 'Stop', (17, 1))
Element 10: (3, (17, 1), ['%', '%', '%', ''], [(17, 5), (9, 10), (17, 7)], [True, True, True, False], 80, False, [False, False, False, False], 200, 'East', (18, 1))
Element 11: (3, (18, 1), ['', '%', '%', '%'], [(17, 6), (10, 10), (18, 7)], [False, True, True, True], 78, False, [False, False, False, False], 209, 'West', (17, 1))
Element 12: (3, (17, 1), ['%', '%', '%', ''], [(16, 6), (10, 10), (17, 7)], [True, True, True, False], 76, False, [False, False, False, False], 218, 'Stop', (17, 1))
Element 13: (3, (17, 1), ['%', '%', '%', ''], [(15, 6), (9, 10), (17, 6)], [True, True, True, False], 74, False, [False, False, False, False], 227, 'East', (18, 1))
Element 14: (3, (18, 1), ['', '%', '%', '%'], [(15, 7), (10, 10), (16, 6)], [False, True, True, True], 72, False, [False, False, False, False], 236, 'West', (17, 1))
Element 15: (3, (17, 1), ['%', '%', '%', ''], [(15, 8), (10, 10), (15, 6)], [True, True, True, False], 70, False, [False, False, False, False], 245, 'Stop', (17, 1))
Element 16: (3, (17, 1), ['%', '%', '%', ''], [(14, 8), (9, 10), (15, 7)], [True, True, True, False], 68, False, [False, False, False, False], 254, 'East', (18, 1))
Element 17: (3, (18, 1), ['', '%', '%', '%'], [(14, 7), (10, 10), (15, 8)], [False, True, True, True], 66, False, [False, False, False, False], 263, 'West', (17, 1))
Element 18: (3, (17, 1), ['%', '%', '%', ''], [(14, 8), (10, 10), (15, 7)], [True, True, True, False], 64, False, [False, False, False, False], 262, 'Stop', (17, 1))
Element 19: (3, (17, 1), ['%', '%', '%', ''], [(13, 8), (9, 10), (15, 6)], [True, True, True, False], 62, False, [False, False, False, False], 271, 'East', (18, 1))
Element 20: (3, (18, 1), ['', '%', '%', '%'], [(14, 8), (10, 10), (16, 6)], [False, True, True, True], 60, False, [False, False, False, False], 270, 'West', (17, 1))
Element 21: (3, (17, 1), ['%', '%', '%', ''], [(15, 8), (10, 10), (17, 6)], [True, True, True, False], 58, False, [False, False, False, False], 269, 'Stop', (17, 1))
Element 22: (3, (17, 1), ['%', '%', '%', ''], [(15, 7), (9, 10), (17, 5)], [True, True, True, False], 56, False, [False, False, False, False], 268, 'East', (18, 1))
Element 23: (3, (18, 1), ['', '%', '%', '%'], [(14, 7), (10, 10), (17, 4)], [False, True, True, True], 54, False, [False, False, False, False], 267, 'West', (17, 1))
Element 24: (3, (17, 1), ['%', '%', '%', ''], [(15, 7), (10, 10), (17, 3)], [True, True, True, False], 52, False, [False, False, False, False], 276, 'Stop', (17, 1))
Element 25: (3, (17, 1), ['%', '%', '%', ''], [(15, 6), (9, 10), (18, 3)], [True, True, True, False], 50, False, [False, False, False, False], 285, 'East', (18, 1))
Element 26: (3, (18, 1), ['', '%', '%', '%'], [(15, 5), (10, 10), (18, 4)], [False, True, True, True], 48, False, [False, False, False, False], 284, 'West', (17, 1))
Element 27: (3, (17, 1), ['%', '%', '%', ''], [(16, 5), (10, 10), (18, 5)], [True, True, True, False], 46, False, [False, False, False, False], 283, 'Stop', (17, 1))
Element 28: (3, (17, 1), ['%', '%', '%', ''], [(15, 5), (9, 10), (18, 4)], [True, True, True, False], 44, False, [False, False, False, False], 282, 'East', (18, 1))
Element 29: (3, (18, 1), ['', '%', '%', '%'], [(14, 5), (10, 10), (18, 3)], [False, True, True, True], 42, False, [False, False, False, False], 281, 'West', (17, 1))
Element 30: (3, (17, 1), ['%', '%', '%', ''], [(13, 5), (10, 10), (17, 3)], [True, True, True, False], 40, False, [False, False, False, False], 280, 'Stop', (17, 1))
Element 31: (3, (17, 1), ['%', '%', '%', ''], [(13, 6), (9, 10), (16, 3)], [True, True, True, False], 38, False, [False, False, False, False], 299, 'East', (18, 1))
Element 32: (3, (18, 1), ['', '%', '%', '%'], [(12, 6), (10, 10), (16, 4)], [False, True, True, True], 36, False, [False, False, False, False], 308, 'West', (17, 1))
Element 33: (3, (17, 1), ['%', '%', '%', ''], [(12, 5), (10, 10), (15, 4)], [True, True, True, False], 34, False, [False, False, False, False], 317, 'Stop', (17, 1))
Element 34: (3, (17, 1), ['%', '%', '%', ''], [(12, 4), (9, 10), (14, 4)], [True, True, True, False], 32, False, [False, False, False, False], 316, 'East', (18, 1))
