Element 1: (3, (5, 1), ['.', '%', '.', 'F'], [(9, 2), (2, 3), (4, 3)], [False, True, False, False], 98, False, [True, False, True, False], 1019, 'East', (6, 1))
Element 2: (3, (6, 1), ['', '%', '.', '.'], [(10, 2), (2, 4), (5, 3)], [False, True, False, False], 96, False, [False, False, True, True], 2048, 'East', (7, 1))
Element 3: (3, (7, 1), ['', '%', '.', '.'], [(11, 2), (3, 4), (6, 3)], [False, True, False, False], 94, False, [False, False, True, True], 2087, 'East', (8, 1))
Element 4: (3, (8, 1), ['', '%', '', '.'], [(12, 2), (4, 4), (7, 3)], [False, True, False, False], 92, False, [False, False, False, True], 2126, 'East', (9, 1))
Element 5: (3, (9, 1), ['', '%', '', '%'], [(13, 2), (4, 5), (8, 3)], [False, True, False, True], 90, False, [False, False, False, False], 3155, 'North', (9, 2))
Element 6: (3, (9, 2), ['', '', 'G', ''], [(14, 2), (5, 5), (9, 3)], [False, False, False, False], 88, False, [False, False, False, False], 3184, 'East', (10, 2))
Element 7: (3, (10, 2), ['', '%', 'G', ''], [(14, 3), (6, 5), (10, 3)], [False, True, False, False], 86, False, [False, False, False, False], 3213, 'East', (11, 2))
Element 8: (3, (11, 2), ['', '.', 'G', ''], [(14, 4), (6, 6), (11, 3)], [False, False, False, False], 84, False, [False, True, False, False], 3242, 'South', (11, 1))
Element 9: (3, (11, 1), ['%', '%', '', '.'], [(15, 4), (5, 6), (11, 4)], [True, True, False, False], 82, False, [False, False, False, True], 3281, 'East', (12, 1))
Element 10: (3, (12, 1), ['', '%', '', '.'], [(16, 4), (4, 6), (12, 4)], [False, True, False, False], 80, False, [False, False, False, True], 3320, 'East', (13, 1))
Element 11: (3, (13, 1), ['', '%', '', '.'], [(17, 4), (3, 6), (13, 4)], [False, True, False, False], 78, False, [False, False, False, True], 3359, 'East', (14, 1))
Element 12: (3, (14, 1), ['', '%', '', '.'], [(18, 4), (3, 7), (13, 5)], [False, True, False, False], 76, False, [False, False, False, True], 3398, 'East', (15, 1))
Element 13: (3, (15, 1), ['', '%', '%', '%'], [(18, 5), (2, 7), (14, 5)], [False, True, True, True], 74, False, [False, False, False, False], 3437, 'West', (14, 1))
Element 14: (3, (14, 1), ['', '%', '', ''], [(17, 5), (2, 8), (15, 5)], [False, True, False, False], 72, False, [False, False, False, False], 4456, 'North', (14, 2))
Element 15: (3, (14, 2), ['', '', '', '%'], [(17, 6), (1, 8), (16, 5)], [False, False, False, True], 70, False, [False, False, False, False], 5475, 'North', (14, 3))
Element 16: (3, (14, 3), ['.', '', '', '%'], [(17, 7), (1, 7), (16, 6)], [False, False, False, True], 68, False, [True, False, False, False], 5504, 'West', (13, 3))
Element 17: (3, (13, 3), ['%', '', '', ''], [(18, 7), (1, 6), (15, 6)], [True, False, False, False], 66, False, [False, False, False, False], 5543, 'North', (13, 4))
Element 18: (3, (13, 4), ['', '', '', ''], [(17, 7), (2, 6), (15, 7)], [False, False, False, False], 64, False, [False, False, False, False], 5562, 'East', (14, 4))
Element 19: (3, (14, 4), ['', '', '', ''], [(17, 6), (2, 5), (15, 8)], [False, False, False, False], 62, False, [False, False, False, False], 5581, 'East', (15, 4))
Element 20: (3, (15, 4), ['', '%', '', ''], [(16, 6), (3, 5), (14, 8)], [False, True, False, False], 60, False, [False, False, False, False], 5600, 'East', (16, 4))
Element 21: (3, (16, 4), ['', '.', 'G', ''], [(16, 5), (2, 5), (14, 7)], [False, False, False, False], 58, False, [False, True, False, False], 5609, 'South', (16, 3))
Element 22: (3, (16, 3), ['%', '%', '', '.'], [(15, 5), (1, 5), (14, 8)], [True, True, False, False], 56, False, [False, False, False, True], 5628, 'East', (17, 3))
