Element 1: (2, (7, 1), ['F', '%', '.', '.'], [(5, 5), (5, 8), (14, 7)], [False, True, False, False], 98, False, [False, False, True, True], 19, 'West', (6, 1))
Element 2: (2, (6, 1), ['.', '%', '.', ''], [(6, 5), (6, 8), (15, 7)], [False, True, False, False], 96, False, [True, False, True, False], 1048, 'North', (6, 2))
Element 3: (2, (6, 2), ['.', '', '.', '.'], [(6, 6), (7, 8), (15, 8)], [False, False, False, False], 94, False, [True, False, True, True], 1087, 'East', (7, 2))
Element 4: (2, (7, 2), ['', '', '.', '.'], [(5, 6), (8, 8), (14, 8)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'East', (8, 2))
Element 5: (2, (8, 2), ['', '.', 'F', 'F'], [(4, 6), (9, 8), (13, 8)], [False, False, False, False], 90, False, [False, True, False, False], 1165, 'East', (9, 2))
Element 6: (2, (9, 2), ['', '.', '.', '.'], [(3, 6), (10, 8), (14, 8)], [False, False, False, False], 88, False, [False, True, True, True], 2184, 'East', (10, 2))
Element 7: (2, (10, 2), ['', '%', '.', '.'], [(3, 7), (10, 7), (15, 8)], [False, True, False, False], 86, False, [False, False, True, True], 2213, 'East', (11, 2))
Element 8: (2, (11, 2), ['', '.', '.', '.'], [(2, 7), (9, 7), (15, 7)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (12, 2))
Element 9: (2, (12, 2), ['', '.', '%', '.'], [(2, 8), (9, 6), (15, 6)], [False, False, True, False], 82, False, [False, True, False, True], 3271, 'East', (13, 2))
Element 10: (2, (13, 2), ['', '.', '.', '.'], [(1, 8), (9, 5), (16, 6)], [False, False, False, False], 80, False, [False, True, True, True], 4300, 'East', (14, 2))
Element 11: (2, (14, 2), ['', '.', '.', '%'], [(1, 7), (10, 5), (17, 6)], [False, False, False, True], 78, False, [False, True, True, False], 5329, 'North', (14, 3))
Element 12: (2, (14, 3), ['.', '', '.', '%'], [(1, 6), (10, 4), (17, 7)], [False, False, False, True], 76, False, [True, False, True, False], 5368, 'North', (14, 4))
Element 13: (2, (14, 4), ['.', '', '.', '.'], [(2, 6), (11, 4), (18, 7)], [False, False, False, False], 74, False, [True, False, True, True], 5407, 'East', (15, 4))
Element 14: (2, (15, 4), ['', '%', '.', '.'], [(2, 5), (12, 4), (17, 7)], [False, True, False, False], 72, False, [False, False, True, True], 5436, 'East', (16, 4))
Element 15: (2, (16, 4), ['', '.', '.', '.'], [(3, 5), (13, 4), (17, 6)], [False, False, False, False], 70, False, [False, True, True, True], 5465, 'East', (17, 4))
Element 16: (2, (17, 4), ['', '.', 'G', '.'], [(3, 4), (13, 5), (17, 5)], [False, False, False, False], 68, False, [False, True, False, True], 5504, 'East', (18, 4))
Element 17: (2, (18, 4), ['', '.', 'G', '%'], [(4, 4), (14, 5), (18, 5)], [False, False, False, True], 66, False, [False, True, False, False], 5543, 'South', (18, 3))
Element 18: (2, (18, 3), ['.', '%', 'G', '%'], [(4, 3), (15, 5), (18, 4)], [False, True, False, True], 64, False, [True, False, False, False], 5572, 'West', (17, 3))
Element 19: (2, (17, 3), ['.', '%', '', 'G'], [(5, 3), (16, 5), (18, 3)], [False, True, False, False], 62, False, [True, False, False, False], 5601, 'West', (16, 3))
Element 20: (2, (16, 3), ['%', '%', '', 'G'], [(6, 3), (17, 5), (17, 3)], [True, True, False, False], 60, False, [False, False, False, False], 5620, 'North', (16, 4))
Element 21: (2, (16, 4), ['', '', '', 'G'], [(7, 3), (18, 5), (17, 4)], [False, False, False, False], 58, False, [False, False, False, False], 5629, 'South', (16, 3))
Element 22: (2, (16, 3), ['%', '%', 'G', ''], [(8, 3), (18, 4), (16, 4)], [True, True, False, False], 56, False, [False, False, False, False], 6628, 'East', (17, 3))
