Element 1: (2, (6, 4), ['%', '.', '.', '%'], [(2, 5), (1, 11), (10, 2)], [True, False, False, True], 98, False, [False, True, True, False], 1009, 'North', (6, 5))
Element 2: (2, (6, 5), ['.', '', '.', '%'], [(3, 5), (2, 11), (9, 2)], [False, False, False, True], 96, False, [True, False, True, False], 3028, 'North', (6, 6))
Element 3: (2, (6, 6), ['.', '', '%', '%'], [(4, 5), (2, 12), (9, 3)], [False, False, True, True], 94, False, [True, False, False, False], 3067, 'West', (5, 6))
Element 4: (2, (5, 6), ['.', 'G', '%', ''], [(5, 5), (3, 12), (8, 3)], [False, False, True, False], 92, False, [True, False, False, False], 4096, 'West', (4, 6))
Element 5: (2, (4, 6), ['.', '', '%', ''], [(6, 5), (4, 12), (8, 4)], [False, False, True, False], 90, False, [True, False, False, False], 4125, 'West', (3, 6))
Element 6: (2, (3, 6), ['.', '', '.', ''], [(6, 6), (5, 12), (9, 4)], [False, False, False, False], 88, False, [True, False, True, False], 4154, 'North', (3, 7))
Element 7: (2, (3, 7), ['.', '', '%', '%'], [(5, 6), (6, 12), (10, 4)], [False, False, True, True], 86, False, [True, False, False, False], 4183, 'West', (2, 7))
Element 8: (2, (2, 7), ['.', '.', 'F', ''], [(4, 6), (7, 12), (10, 5)], [False, False, False, False], 84, False, [True, True, False, False], 5202, 'North', (2, 8))
Element 9: (2, (2, 8), ['F', '', '%', '%'], [(3, 6), (8, 12), (9, 5)], [False, False, True, True], 82, False, [False, False, False, False], 7211, 'West', (1, 8))
Element 10: (2, (1, 8), ['%', '.', '%', ''], [(2, 6), (9, 12), (9, 6)], [True, False, True, False], 80, False, [False, True, False, False], 8240, 'South', (1, 7))
Element 11: (2, (1, 7), ['%', 'G', '', ''], [(1, 6), (10, 12), (9, 7)], [True, False, False, False], 78, False, [False, False, False, False], 8279, 'North', (1, 8))
Element 12: (2, (1, 8), ['%', 'G', '%', ''], [(1, 7), (11, 12), (10, 7)], [True, False, True, False], 76, False, [False, False, False, False], 8298, 'East', (2, 8))
Element 13: (2, (2, 8), ['', 'G', '%', '%'], [(2, 7), (12, 12), (10, 8)], [False, False, True, True], 74, False, [False, False, False, False], 8317, 'West', (1, 8))
Element 14: (2, (1, 8), ['%', '', '%', ''], [(3, 7), (13, 12), (9, 8)], [True, False, True, False], 72, False, [False, False, False, False], 8336, 'South', (1, 7))
Element 15: (2, (1, 7), ['%', '', '', 'G'], [(2, 7), (13, 13), (8, 8)], [True, False, False, False], 70, False, [False, False, False, False], 8355, 'South', (1, 6))
Element 16: (2, (1, 6), ['%', '', '', ''], [(2, 8), (14, 13), (8, 9)], [True, False, False, False], 68, False, [False, False, False, False], 8374, 'East', (2, 6))
Element 17: (2, (2, 6), ['', '', '', ''], [(1, 8), (15, 13), (7, 9)], [False, False, False, False], 66, False, [False, False, False, False], 8393, 'South', (2, 5))
Element 18: (2, (2, 5), ['', '.', '', ''], [(2, 8), (16, 13), (7, 8)], [False, False, False, False], 64, False, [False, True, False, False], 8412, 'South', (2, 4))
Element 19: (2, (2, 4), ['.', '.', '', '.'], [(2, 7), (17, 13), (6, 8)], [False, False, False, False], 62, False, [True, True, False, True], 8441, 'East', (3, 4))
Element 20: (2, (3, 4), ['', '.', '', '.'], [(1, 7), (18, 13), (6, 9)], [False, False, False, False], 60, False, [False, True, False, True], 8470, 'East', (4, 4))
Element 21: (2, (4, 4), ['', '.', '', '%'], [(1, 8), (18, 12), (6, 8)], [False, False, False, True], 58, False, [False, True, False, False], 8489, 'South', (4, 3))
Element 22: (2, (4, 3), ['.', '.', '', '.'], [(1, 7), (18, 11), (5, 8)], [False, False, False, False], 56, False, [True, True, False, True], 8518, 'East', (5, 3))
Element 23: (2, (5, 3), ['', '.', '%', '.'], [(1, 6), (18, 10), (4, 8)], [False, False, True, False], 54, False, [False, True, False, True], 8547, 'East', (6, 3))
Element 24: (2, (6, 3), ['', '.', '', '.'], [(2, 6), (17, 10), (5, 8)], [False, False, False, False], 52, False, [False, True, False, True], 8566, 'East', (7, 3))
Element 25: (2, (7, 3), ['', '.', '%', ''], [(2, 7), (17, 11), (6, 8)], [False, False, True, False], 50, False, [False, True, False, False], 8585, 'South', (7, 2))
Element 26: (2, (7, 2), ['.', '.', '', '.'], [(2, 6), (17, 12), (7, 8)], [False, False, False, False], 48, False, [True, True, False, True], 8604, 'East', (8, 2))
Element 27: (2, (8, 2), ['', '.', '', ''], [(3, 6), (16, 12), (7, 9)], [False, False, False, False], 46, False, [False, True, False, False], 8623, 'South', (8, 1))
Element 28: (2, (8, 1), ['.', '%', '', '.'], [(3, 7), (16, 11), (6, 9)], [False, True, False, False], 44, False, [True, False, False, True], 8642, 'East', (9, 1))
Element 29: (2, (9, 1), ['', '%', '', '%'], [(3, 6), (16, 10), (7, 9)], [False, True, False, True], 42, False, [False, False, False, False], 8661, 'North', (9, 2))
Element 30: (2, (9, 2), ['', '', '', ''], [(4, 6), (16, 9), (8, 9)], [False, False, False, False], 40, False, [False, False, False, False], 8670, 'East', (10, 2))
