Element 20: (2, (4, 6), ['', '', '%', ''], [(15, 8), (13, 4), (14, 5)], [False, False, True, False], 60, False, [False, False, False, False], 5540, 'East', (5, 6))
Element 21: (2, (5, 6), ['', '', '%', ''], [(14, 8), (14, 4), (13, 5)], [False, False, True, False], 58, False, [False, False, False, False], 5559, 'East', (6, 6))
Element 22: (2, (6, 6), ['', '', '%', '%'], [(14, 7), (15, 4), (13, 6)], [False, False, True, True], 56, False, [False, False, False, False], 5578, 'South', (6, 5))
Element 23: (2, (6, 5), ['', '', '', '%'], [(14, 8), (16, 4), (12, 6)], [False, False, False, True], 54, False, [False, False, False, False], 5587, 'South', (6, 4))
Element 24: (2, (6, 4), ['%', '', '', '%'], [(13, 8), (17, 4), (12, 5)], [True, False, False, True], 52, False, [False, False, False, False], 5606, 'South', (6, 3))
Element 25: (2, (6, 3), ['.', '.', '', ''], [(14, 8), (18, 4), (12, 4)], [False, False, False, False], 50, False, [True, True, False, False], 5605, 'South', (6, 2))
Element 26: (2, (6, 2), ['.', 'F', '', '.'], [(15, 8), (18, 5), (13, 4)], [False, False, False, False], 48, False, [True, False, False, True], 5614, 'South', (6, 1))
Element 27: (2, (6, 1), ['.', '%', '', '.'], [(15, 7), (17, 5), (14, 4)], [False, True, False, False], 46, False, [True, False, False, True], 6613, 'East', (7, 1))
Element 28: (2, (7, 1), ['', '%', '.', '.'], [(14, 7), (17, 6), (14, 3)], [False, True, False, False], 44, False, [False, False, True, True], 6622, 'East', (8, 1))
Element 29: (2, (8, 1), ['', '%', '.', '.'], [(15, 7), (17, 7), (14, 2)], [False, True, False, False], 42, False, [False, False, True, True], 6631, 'East', (9, 1))
Element 30: (2, (9, 1), ['', '%', '', '%'], [(15, 6), (18, 7), (14, 1)], [False, True, False, True], 40, False, [False, False, False, False], 6650, 'North', (9, 2))
Element 31: (2, (9, 2), ['.', '', '', ''], [(16, 6), (17, 7), (15, 1)], [False, False, False, False], 38, False, [True, False, False, False], 6659, 'West', (8, 2))
Element 32: (2, (8, 2), ['.', '', '', ''], [(17, 6), (18, 7), (14, 1)], [False, False, False, False], 36, False, [True, False, False, False], 6668, 'West', (7, 2))
Element 33: (2, (7, 2), ['', '', '', ''], [(17, 7), (18, 7), (13, 1)], [False, False, False, False], 34, False, [False, False, False, False], 6687, 'North', (7, 3))
Element 34: (2, (7, 3), ['', '', '%', ''], [(17, 6), (17, 7), (12, 1)], [False, False, True, False], 32, False, [False, False, False, False], 6696, 'East', (8, 3))
Element 35: (2, (8, 3), ['', '', '.', ''], [(17, 5), (17, 6), (11, 1)], [False, False, False, False], 30, False, [False, False, True, False], 6705, 'North', (8, 4))
Element 36: (2, (8, 4), ['%', '', '.', '.'], [(18, 5), (17, 5), (11, 2)], [True, False, False, False], 28, False, [False, False, True, True], 6714, 'East', (9, 4))
Element 37: (2, (9, 4), ['', '', '', ''], [(18, 4), (17, 5), (11, 3)], [False, False, False, False], 26, False, [False, False, False, False], 6733, 'East', (10, 4))
Element 38: (2, (10, 4), ['', 'G', '', ''], [(18, 3), (18, 5), (10, 3)], [False, False, False, False], 24, False, [False, False, False, False], 6742, 'East', (11, 4))
Element 39: (2, (11, 4), ['G', '', '%', ''], [(17, 3), (18, 4), (10, 4)], [False, False, True, False], 22, False, [False, False, False, False], 6741, 'East', (12, 4))
Element 40: (2, (12, 4), ['G', '%', '', ''], [(17, 4), (18, 3), (11, 4)], [False, True, False, False], 20, False, [False, False, False, False], 6740, 'East', (13, 4))
Element 41: (2, (13, 4), ['', '', '', ''], [(16, 4), (17, 3), (10, 4)], [False, False, False, False], 18, False, [False, False, False, False], 6739, 'East', (14, 4))
Element 42: (2, (14, 4), ['', '', '', ''], [(16, 5), (16, 3), (10, 5)], [False, False, False, False], 16, False, [False, False, False, False], 6738, 'East', (15, 4))
Element 43: (2, (15, 4), ['', '%', '', 'G'], [(16, 4), (17, 3), (9, 5)], [False, True, False, False], 14, False, [False, False, False, False], 6737, 'North', (15, 5))
Element 44: (2, (15, 5), ['', '', '', ''], [(16, 3), (18, 3), (8, 5)], [False, False, False, False], 12, False, [False, False, False, False], 6746, 'East', (16, 5))
Element 45: (2, (16, 5), ['', 'G', '', ''], [(16, 4), (18, 4), (8, 6)], [False, False, False, False], 10, False, [False, False, False, False], 6755, 'East', (17, 5))
Element 46: (2, (17, 5), ['', 'G', '', ''], [(17, 4), (18, 3), (9, 6)], [False, False, False, False], 8, False, [False, False, False, False], 6754, 'East', (18, 5))
Element 47: (2, (18, 5), ['', 'G', '%', '%'], [(17, 3), (18, 4), (9, 7)], [False, False, True, True], 6, False, [False, False, False, False], 6753, 'West', (17, 5))
Element 48: (2, (17, 5), ['', 'G', '', ''], [(16, 3), (17, 4), (10, 7)], [False, False, False, False], 4, False, [False, False, False, False], 6752, 'North', (17, 6))
Element 49: (2, (17, 6), ['', '', '', '%'], [(17, 3), (16, 4), (10, 8)], [False, False, False, True], 2, False, [False, False, False, False], 6751, 'North', (17, 7))
Element 50: (2, (17, 7), ['%', '', '%', ''], [(17, 3), (16, 4), (9, 8)], [True, False, True, False], 0, False, [False, False, False, False], 6750, 'Stop', (17, 7))
Element 51: #0#
