Element 1: (0, (7, 3), ['.', '.', '%', 'F'], [(8, 5), (11, 1), (14, 13)], [False, False, True, False], 98, False, [True, True, False, False], 0, 'East', (8, 3))
Element 2: (0, (8, 3), ['', '.', '.', '.'], [(9, 5), (12, 1), (15, 13)], [False, False, False, False], 96, False, [False, True, True, True], 1029, 'East', (9, 3))
Element 3: (0, (9, 3), ['', 'F', '.', '.'], [(10, 5), (13, 1), (16, 13)], [False, False, False, False], 94, False, [False, False, True, True], 2058, 'South', (9, 2))
Element 4: (0, (9, 2), ['.', '.', '', '.'], [(10, 4), (14, 1), (17, 13)], [False, False, False, False], 92, False, [True, True, False, True], 3087, 'East', (10, 2))
Element 5: (0, (10, 2), ['', '%', '.', '.'], [(11, 4), (15, 1), (18, 13)], [False, True, False, False], 90, False, [False, False, True, True], 3126, 'East', (11, 2))
Element 6: (0, (11, 2), ['', '', '.', '.'], [(12, 4), (14, 1), (18, 12)], [False, False, False, False], 88, False, [False, False, True, True], 3155, 'East', (12, 2))
Element 7: (0, (12, 2), ['', '', '%', '.'], [(13, 4), (14, 2), (18, 11)], [False, False, True, False], 86, False, [False, False, False, True], 3194, 'East', (13, 2))
Element 8: (0, (13, 2), ['', '', '.', ''], [(14, 4), (14, 3), (18, 10)], [False, False, False, False], 84, False, [False, False, True, False], 3233, 'North', (13, 3))
Element 9: (0, (13, 3), ['%', '', '', ''], [(15, 4), (14, 4), (17, 10)], [True, False, False, False], 82, False, [False, False, False, False], 3262, 'East', (14, 3))
Element 10: (0, (14, 3), ['', '', '', '%'], [(16, 4), (14, 5), (17, 11)], [False, False, False, True], 80, False, [False, False, False, False], 3291, 'North', (14, 4))
Element 11: (0, (14, 4), ['', '', '', ''], [(17, 4), (15, 5), (17, 12)], [False, False, False, False], 78, False, [False, False, False, False], 3320, 'East', (15, 4))
Element 12: (0, (15, 4), ['', '%', '', ''], [(18, 4), (16, 5), (16, 12)], [False, True, False, False], 76, False, [False, False, False, False], 3349, 'East', (16, 4))
Element 13: (0, (16, 4), ['', '.', '', ''], [(18, 5), (17, 5), (16, 11)], [False, False, False, False], 74, False, [False, True, False, False], 3378, 'South', (16, 3))
Element 14: (0, (16, 3), ['%', '%', '', '.'], [(18, 4), (17, 6), (16, 10)], [True, True, False, False], 72, False, [False, False, False, True], 3407, 'East', (17, 3))
Element 15: (0, (17, 3), ['', '%', '', 'G'], [(18, 3), (17, 7), (16, 9)], [False, True, False, False], 70, False, [False, False, False, False], 3446, 'North', (17, 4))
Element 16: (0, (17, 4), ['', 'G', '', ''], [(17, 3), (18, 7), (17, 9)], [False, False, False, False], 68, False, [False, False, False, False], 3465, 'East', (18, 4))
Element 17: (0, (18, 4), ['', '', '', '%'], [(16, 3), (17, 7), (16, 9)], [False, False, False, True], 66, False, [False, False, False, False], 3464, 'North', (18, 5))
Element 18: (0, (18, 5), ['', '', '%', '%'], [(17, 3), (17, 6), (16, 10)], [False, False, True, True], 64, False, [False, False, False, False], 3463, 'West', (17, 5))
Element 19: (0, (17, 5), ['', '', '', ''], [(18, 3), (16, 6), (16, 11)], [False, False, False, False], 62, False, [False, False, False, False], 3472, 'North', (17, 6))
