Element 1: (2, (5, 1), ['.', '%', '.', 'F'], [(9, 2), (3, 5), (18, 13)], [False, True, False, False], 98, False, [True, False, True, False], 1009, 'East', (6, 1))
Element 2: (2, (6, 1), ['', '%', '.', '.'], [(10, 2), (4, 5), (18, 12)], [False, True, False, False], 96, False, [False, False, True, True], 2038, 'East', (7, 1))
Element 3: (2, (7, 1), ['', '%', '.', '.'], [(11, 2), (5, 5), (18, 11)], [False, True, False, False], 94, False, [False, False, True, True], 2077, 'East', (8, 1))
Element 4: (2, (8, 1), ['', '%', '.', '.'], [(12, 2), (6, 5), (18, 10)], [False, True, False, False], 92, False, [False, False, True, True], 2116, 'East', (9, 1))
Element 5: (2, (9, 1), ['', '%', '', '%'], [(13, 2), (6, 6), (17, 10)], [False, True, False, True], 90, False, [False, False, False, False], 2155, 'North', (9, 2))
Element 6: (2, (9, 2), ['.', '', '', ''], [(14, 2), (5, 6), (17, 11)], [False, False, False, False], 88, False, [True, False, False, False], 2184, 'West', (8, 2))
Element 7: (2, (8, 2), ['.', '', 'F', ''], [(14, 3), (4, 6), (17, 12)], [False, False, False, False], 86, False, [True, False, False, False], 2223, 'North', (8, 3))
Element 8: (2, (8, 3), ['.', '', '.', ''], [(14, 4), (3, 6), (17, 13)], [False, False, False, False], 84, False, [True, False, True, False], 3252, 'North', (8, 4))
Element 9: (2, (8, 4), ['%', '', '.', '.'], [(15, 4), (3, 7), (16, 13)], [True, False, False, False], 82, False, [False, False, True, True], 3291, 'East', (9, 4))
Element 10: (2, (9, 4), ['', '', '.', '.'], [(16, 4), (2, 7), (16, 12)], [False, False, False, False], 80, False, [False, False, True, True], 3330, 'East', (10, 4))
Element 11: (2, (10, 4), ['', '.', 'F', '.'], [(17, 4), (2, 8), (16, 11)], [False, False, False, False], 78, False, [False, True, False, True], 4359, 'North', (10, 5))
Element 12: (2, (10, 5), ['.', '', '%', '%'], [(18, 4), (1, 8), (16, 10)], [False, False, True, True], 76, False, [True, False, False, False], 6378, 'West', (9, 5))
