Element 38: (2, (15, 7), ['', '', '', '%'], [(13, 8), (17, 9), (17, 1)], [False, False, False, True], 24, False, [False, False, False, False], 4692, 'South', (15, 6))
Element 39: (2, (15, 6), ['%', '', '', ''], [(14, 8), (17, 10), (18, 1)], [True, False, False, False], 22, False, [False, False, False, False], 4691, 'South', (15, 5))
Element 40: (2, (15, 5), ['', '', '', ''], [(13, 8), (16, 10), (18, 1)], [False, False, False, False], 20, False, [False, False, False, False], 4690, 'West', (14, 5))
Element 41: (2, (14, 5), ['', '', '%', ''], [(13, 8), (17, 10), (17, 1)], [False, False, True, False], 18, False, [False, False, False, False], 4689, 'West', (13, 5))
Element 42: (2, (13, 5), ['.', '', '.', ''], [(13, 8), (18, 10), (18, 1)], [False, False, False, False], 16, False, [True, False, True, False], 4688, 'North', (13, 6))
Element 43: (2, (13, 6), ['.', '', '%', '%'], [(13, 8), (18, 11), (18, 1)], [False, False, True, True], 14, False, [True, False, False, False], 4697, 'West', (12, 6))
Element 44: (2, (12, 6), ['.', '.', '%', ''], [(13, 8), (17, 11), (17, 1)], [False, False, True, False], 12, False, [True, True, False, False], 4706, 'South', (12, 5))
Element 45: (2, (12, 5), ['%', '', '', ''], [(13, 8), (18, 11), (18, 1)], [True, False, False, False], 10, False, [False, False, False, False], 4715, 'North', (12, 6))
Element 46: (2, (12, 6), ['.', '', '%', ''], [(13, 8), (18, 12), (18, 1)], [False, False, True, False], 8, False, [True, False, False, False], 4714, 'West', (11, 6))
Element 47: (2, (11, 6), ['%', '%', '%', ''], [(13, 8), (17, 12), (17, 1)], [True, True, True, False], 6, False, [False, False, False, False], 4723, 'East', (12, 6))
Element 48: (2, (12, 6), ['', '', '%', ''], [(13, 8), (18, 12), (18, 1)], [False, False, True, False], 4, False, [False, False, False, False], 4722, 'East', (13, 6))
Element 49: (2, (13, 6), ['', '', '%', '%'], [(13, 8), (18, 13), (18, 1)], [False, False, True, True], 2, False, [False, False, False, False], 4721, 'South', (13, 5))
Element 50: (2, (13, 5), ['', '', '', ''], [(13, 8), (18, 13), (17, 1)], [False, False, False, False], 0, False, [False, False, False, False], 4720, 'Stop', (13, 5))
Element 51: #0#
