Element 39: (2, (4, 11), ['%', '', '', ''], [(17, 11), (9, 2), (12, 5)], [True, False, False, False], 22, False, [False, False, False, False], 5891, 'North', (4, 12))
Element 40: (2, (4, 12), ['', '', '', ''], [(18, 11), (9, 3), (12, 4)], [False, False, False, False], 20, False, [False, False, False, False], 5900, 'West', (3, 12))
Element 41: (2, (3, 12), ['', '%', '', ''], [(18, 12), (8, 3), (13, 4)], [False, True, False, False], 18, False, [False, False, False, False], 6899, 'East', (4, 12))
Element 42: (2, (4, 12), ['', '', '', ''], [(17, 12), (8, 4), (13, 3)], [False, False, False, False], 16, False, [False, False, False, False], 6908, 'North', (4, 13))
Element 43: (2, (4, 13), ['', '', '%', ''], [(18, 12), (9, 4), (13, 2)], [False, False, True, False], 14, False, [False, False, False, False], 6917, 'West', (3, 13))
Element 44: (2, (3, 13), ['%', '', '%', ''], [(18, 13), (8, 4), (13, 1)], [True, False, True, False], 12, False, [False, False, False, False], 6916, 'East', (4, 13))
Element 45: (2, (4, 13), ['', '', '%', ''], [(17, 13), (8, 5), (12, 1)], [False, False, True, False], 10, False, [False, False, False, False], 6925, 'East', (5, 13))
Element 46: (2, (5, 13), ['', '', '%', ''], [(17, 12), (8, 6), (11, 1)], [False, False, True, False], 8, False, [False, False, False, False], 6944, 'South', (5, 12))
Element 47: (2, (5, 12), ['', '', '', ''], [(17, 13), (8, 5), (11, 2)], [False, False, False, False], 6, False, [False, False, False, False], 6943, 'West', (4, 12))
Element 48: (2, (4, 12), ['', '', '', ''], [(16, 13), (8, 4), (12, 2)], [False, False, False, False], 4, False, [False, False, False, False], 6942, 'East', (5, 12))
Element 49: (2, (5, 12), ['', '', '', ''], [(16, 12), (8, 3), (11, 2)], [False, False, False, False], 2, False, [False, False, False, False], 6941, 'South', (5, 11))
Element 50: (2, (5, 11), ['', '%', '', ''], [(16, 12), (8, 3), (11, 3)], [False, True, False, False], 0, False, [False, False, False, False], 6940, 'Stop', (5, 11))
Element 51: #0#
