Element 1: (1, (15, 6), ['%', '.', 'G', '.'], [(7, 3), (15, 7), (18, 11)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'East', (16, 6))
Element 2: (1, (16, 6), ['', '.', '%', '.'], [(8, 3), (15, 8), (18, 12)], [False, False, True, False], 96, False, [False, True, False, True], 1038, 'East', (17, 6))
Element 3: (1, (17, 6), ['', '.', '.', '%'], [(9, 3), (14, 8), (18, 13)], [False, False, False, True], 94, False, [False, True, True, False], 1077, 'North', (17, 7))
Element 4: (1, (17, 7), ['%', '', '%', '.'], [(9, 2), (14, 7), (17, 13)], [True, False, True, False], 92, False, [False, False, False, True], 2106, 'East', (18, 7))
Element 5: (1, (18, 7), ['', '%', '%', '%'], [(10, 2), (14, 8), (17, 12)], [False, True, True, True], 90, False, [False, False, False, False], 2135, 'West', (17, 7))
Element 6: (1, (17, 7), ['%', '', '%', ''], [(11, 2), (13, 8), (17, 11)], [True, False, True, False], 88, False, [False, False, False, False], 2164, 'South', (17, 6))
Element 7: (1, (17, 6), ['', '.', '', '%'], [(12, 2), (14, 8), (17, 10)], [False, False, False, True], 86, False, [False, True, False, False], 2183, 'South', (17, 5))
Element 8: (1, (17, 5), ['.', '.', '', '.'], [(13, 2), (15, 8), (18, 10)], [False, False, False, False], 84, False, [True, True, False, True], 2212, 'East', (18, 5))
Element 9: (1, (18, 5), ['', '.', '%', '%'], [(14, 2), (15, 7), (17, 10)], [False, False, True, True], 82, False, [False, True, False, False], 2231, 'South', (18, 4))
Element 10: (1, (18, 4), ['.', '.', '', '%'], [(14, 3), (14, 7), (17, 9)], [False, False, False, True], 80, False, [True, True, False, False], 2260, 'South', (18, 3))
Element 11: (1, (18, 3), ['.', '%', '', '%'], [(14, 4), (15, 7), (16, 9)], [False, True, False, True], 78, False, [True, False, False, False], 2289, 'West', (17, 3))
Element 12: (1, (17, 3), ['.', '%', '.', ''], [(15, 4), (15, 6), (16, 10)], [False, True, False, False], 76, False, [True, False, True, False], 2318, 'North', (17, 4))
Element 13: (1, (17, 4), ['G', '', '', ''], [(16, 4), (15, 5), (16, 11)], [False, False, False, False], 74, False, [False, False, False, False], 2357, 'South', (17, 3))
Element 14: (1, (17, 3), ['G', '%', '', ''], [(16, 3), (16, 5), (16, 12)], [False, True, False, False], 72, False, [False, False, False, False], 2386, 'North', (17, 4))
Element 15: (1, (17, 4), ['', 'G', 'G', ''], [(17, 3), (17, 5), (16, 13)], [False, False, False, False], 70, False, [False, False, False, False], 2395, 'West', (16, 4))
Element 16: (1, (16, 4), ['', '', '', ''], [(18, 3), (18, 5), (15, 13)], [False, False, False, False], 68, False, [False, False, False, False], 2404, 'North', (16, 5))
Element 17: (1, (16, 5), ['', '', '', ''], [(17, 3), (18, 4), (15, 12)], [False, False, False, False], 66, False, [False, False, False, False], 2413, 'West', (15, 5))
Element 18: (1, (15, 5), ['.', '', '', ''], [(17, 4), (18, 3), (15, 13)], [False, False, False, False], 64, False, [True, False, False, False], 2412, 'West', (14, 5))
