Element 39: (2, (15, 8), ['', '', '%', '%'], [(17, 1), (16, 3), (8, 3)], [False, False, True, True], 22, False, [False, False, False, False], 4641, 'South', (15, 7))
Element 40: (2, (15, 7), ['', '', '', '%'], [(18, 1), (17, 3), (8, 2)], [False, False, False, True], 20, False, [False, False, False, False], 4660, 'West', (14, 7))
Element 41: (2, (14, 7), ['%', '%', '', ''], [(17, 1), (18, 3), (7, 2)], [True, True, False, False], 18, False, [False, False, False, False], 4679, 'East', (15, 7))
Element 42: (2, (15, 7), ['', '', '', '%'], [(17, 1), (18, 4), (6, 2)], [False, False, False, True], 16, False, [False, False, False, False], 4688, 'South', (15, 6))
Element 43: (2, (15, 6), ['%', '', '', ''], [(18, 1), (18, 5), (5, 2)], [True, False, False, False], 14, False, [False, False, False, False], 4697, 'South', (15, 5))
Element 44: (2, (15, 5), ['', '', '', ''], [(17, 1), (17, 5), (4, 2)], [False, False, False, False], 12, False, [False, False, False, False], 4706, 'West', (14, 5))
Element 45: (2, (14, 5), ['', '', '%', ''], [(17, 1), (17, 6), (4, 3)], [False, False, True, False], 10, False, [False, False, False, False], 4705, 'West', (13, 5))
Element 46: (2, (13, 5), ['.', '', '.', ''], [(18, 1), (17, 7), (4, 4)], [False, False, False, False], 8, False, [True, False, True, False], 4714, 'North', (13, 6))
Element 47: (2, (13, 6), ['.', '', '%', '%'], [(17, 1), (18, 7), (4, 5)], [False, False, True, True], 6, False, [True, False, False, False], 4733, 'West', (12, 6))
Element 48: (2, (12, 6), ['.', '.', '%', ''], [(17, 1), (17, 7), (5, 5)], [False, False, True, False], 4, False, [True, True, False, False], 4752, 'South', (12, 5))
Element 49: (2, (12, 5), ['%', '', '', ''], [(18, 1), (17, 6), (6, 5)], [True, False, False, False], 2, False, [False, False, False, False], 4771, 'North', (12, 6))
Element 50: (2, (12, 6), ['.', '', '%', ''], [(18, 1), (17, 6), (6, 6)], [False, False, True, False], 0, False, [True, False, False, False], 4780, 'Stop', (12, 6))
Element 51: #0#
