Element 33: (0, (16, 5), ['', '', '', ''], [(13, 1), (14, 7), (14, 5)], [False, False, False, False], 34, False, [False, False, False, False], 5578, 'East', (17, 5))
Element 34: (0, (17, 5), ['', '', '', ''], [(14, 1), (14, 8), (13, 5)], [False, False, False, False], 32, False, [False, False, False, False], 5587, 'East', (18, 5))
Element 35: (0, (18, 5), ['', '', '%', '%'], [(15, 1), (13, 8), (13, 6)], [False, False, True, True], 30, False, [False, False, False, False], 5596, 'South', (18, 4))
Element 36: (0, (18, 4), ['', '', '', '%'], [(14, 1), (14, 8), (12, 6)], [False, False, False, True], 28, False, [False, False, False, False], 5595, 'South', (18, 3))
Element 37: (0, (18, 3), ['', '%', '', '%'], [(14, 2), (15, 8), (12, 5)], [False, True, False, True], 26, False, [False, False, False, False], 5594, 'West', (17, 3))
Element 38: (0, (17, 3), ['', '%', '', ''], [(14, 3), (15, 7), (12, 4)], [False, True, False, False], 24, False, [False, False, False, False], 5593, 'North', (17, 4))
Element 39: (0, (17, 4), ['', '', '', ''], [(13, 3), (14, 7), (13, 4)], [False, False, False, False], 22, False, [False, False, False, False], 5602, 'West', (16, 4))
Element 40: (0, (16, 4), ['', '', '', ''], [(13, 2), (15, 7), (13, 3)], [False, False, False, False], 20, False, [False, False, False, False], 5601, 'South', (16, 3))
Element 41: (0, (16, 3), ['%', '%', '', ''], [(12, 2), (15, 6), (14, 3)], [True, True, False, False], 18, False, [False, False, False, False], 5600, 'North', (16, 4))
Element 42: (0, (16, 4), ['', '', '', ''], [(13, 2), (15, 5), (14, 2)], [False, False, False, False], 16, False, [False, False, False, False], 5599, 'West', (15, 4))
Element 43: (0, (15, 4), ['', '%', '', ''], [(13, 3), (16, 5), (14, 1)], [False, True, False, False], 14, False, [False, False, False, False], 5598, 'West', (14, 4))
Element 44: (0, (14, 4), ['', 'G', '', ''], [(14, 3), (16, 6), (15, 1)], [False, False, False, False], 12, False, [False, False, False, False], 5597, 'East', (15, 4))
Element 45: (0, (15, 4), ['G', '%', '', ''], [(14, 4), (16, 5), (14, 1)], [False, True, False, False], 10, False, [False, False, False, False], 5596, 'East', (16, 4))
Element 46: (0, (16, 4), ['G', '', '', ''], [(15, 4), (17, 5), (13, 1)], [False, False, False, False], 8, False, [False, False, False, False], 5595, 'East', (17, 4))
Element 47: (0, (17, 4), ['G', '', '', ''], [(16, 4), (17, 6), (13, 2)], [False, False, False, False], 6, False, [False, False, False, False], 5594, 'South', (17, 3))
Element 48: (0, (17, 3), ['', '%', 'G', ''], [(17, 4), (17, 5), (12, 2)], [False, True, False, False], 4, False, [False, False, False, False], 5593, 'West', (16, 3))
Element 49: (0, (16, 3), ['%', '%', '', ''], [(18, 4), (18, 5), (12, 1)], [True, True, False, False], 2, False, [False, False, False, False], 5592, 'East', (17, 3))
Element 50: (0, (17, 3), ['', '%', '', 'G'], [(18, 3), (18, 4), (11, 1)], [False, True, False, False], 0, False, [False, False, False, False], 5591, 'Stop', (17, 3))
Element 51: #0#
