Element 38: (0, (9, 7), ['%', '', '.', '.'], [(17, 10), (16, 5), (18, 11)], [True, False, False, False], 24, False, [False, False, True, True], 3673, 'East', (10, 7))
Element 39: (0, (10, 7), ['', '%', '.', '%'], [(17, 9), (15, 5), (17, 11)], [False, True, False, True], 22, False, [False, False, True, False], 3682, 'North', (10, 8))
Element 40: (0, (10, 8), ['.', '', '%', '%'], [(17, 10), (14, 5), (18, 11)], [False, False, True, True], 20, False, [True, False, False, False], 3691, 'West', (9, 8))
Element 41: (0, (9, 8), ['.', '', '%', ''], [(16, 10), (13, 5), (18, 10)], [False, False, True, False], 18, False, [True, False, False, False], 3700, 'West', (8, 8))
Element 42: (0, (8, 8), ['.', '%', '.', ''], [(17, 10), (13, 6), (18, 11)], [False, True, False, False], 16, False, [True, False, True, False], 3719, 'North', (8, 9))
Element 43: (0, (8, 9), ['.', '', '%', '%'], [(18, 10), (12, 6), (17, 11)], [False, False, True, True], 14, False, [True, False, False, False], 3738, 'West', (7, 9))
Element 44: (0, (7, 9), ['.', '.', '%', ''], [(18, 11), (11, 6), (17, 11)], [False, False, True, False], 12, False, [True, True, False, False], 3757, 'South', (7, 8))
Element 45: (0, (7, 8), ['.', '%', '', ''], [(18, 10), (12, 6), (18, 11)], [False, True, False, False], 10, False, [True, False, False, False], 3766, 'West', (6, 8))
Element 46: (0, (6, 8), ['.', '%', '.', ''], [(17, 10), (12, 5), (18, 12)], [False, True, False, False], 8, False, [True, False, True, False], 3775, 'North', (6, 9))
Element 47: (0, (6, 9), ['%', '', '%', ''], [(16, 10), (12, 4), (18, 13)], [True, False, True, False], 6, False, [False, False, False, False], 3784, 'South', (6, 8))
Element 48: (0, (6, 8), ['.', '%', '', ''], [(16, 11), (13, 4), (17, 13)], [False, True, False, False], 4, False, [True, False, False, False], 3783, 'West', (5, 8))
Element 49: (0, (5, 8), ['.', '%', '%', ''], [(16, 10), (13, 3), (17, 12)], [False, True, True, False], 2, False, [True, False, False, False], 3792, 'West', (4, 8))
Element 50: (0, (4, 8), ['%', '%', '%', ''], [(16, 9), (13, 4), (16, 12)], [True, True, True, False], 0, False, [False, False, False, False], 3801, 'Stop', (4, 8))
Element 51: #0#
