Element 1: (2, (13, 12), ['.', '.', 'G', '%'], [(9, 5), (2, 8), (13, 13)], [False, False, False, True], 98, False, [True, True, False, False], 1009, 'South', (13, 11))
Element 2: (2, (13, 11), ['.', '%', '', '%'], [(10, 5), (1, 8), (14, 13)], [False, True, False, True], 96, False, [True, False, False, False], 3028, 'West', (12, 11))
Element 3: (2, (12, 11), ['%', '%', '.', ''], [(10, 4), (1, 7), (15, 13)], [True, True, False, False], 94, False, [False, False, True, False], 3067, 'North', (12, 12))
Element 4: (2, (12, 12), ['.', '', '.', ''], [(11, 4), (1, 6), (16, 13)], [False, False, False, False], 92, False, [True, False, True, False], 3106, 'North', (12, 13))
Element 5: (2, (12, 13), ['%', '', '%', ''], [(12, 4), (2, 6), (17, 13)], [True, False, True, False], 90, False, [False, False, False, False], 3145, 'East', (13, 13))
Element 6: (2, (13, 13), ['', '', '%', ''], [(13, 4), (3, 6), (18, 13)], [False, False, True, False], 88, False, [False, False, False, False], 3174, 'East', (14, 13))
Element 7: (2, (14, 13), ['', '%', '%', ''], [(14, 4), (4, 6), (18, 12)], [False, True, True, False], 86, False, [False, False, False, False], 3203, 'East', (15, 13))
Element 8: (2, (15, 13), ['', '.', '%', ''], [(15, 4), (5, 6), (18, 11)], [False, False, True, False], 84, False, [False, True, False, False], 3232, 'South', (15, 12))
Element 9: (2, (15, 12), ['%', '%', '', '.'], [(16, 4), (6, 6), (18, 10)], [True, True, False, False], 82, False, [False, False, False, True], 3271, 'East', (16, 12))
Element 10: (2, (16, 12), ['', '.', '', '.'], [(17, 4), (6, 5), (17, 10)], [False, False, False, False], 80, False, [False, True, False, True], 3310, 'East', (17, 12))
Element 11: (2, (17, 12), ['', 'G', '', ''], [(18, 4), (6, 4), (17, 11)], [False, False, False, False], 78, False, [False, False, False, False], 3349, 'East', (18, 12))
Element 12: (2, (18, 12), ['', '', '', '%'], [(18, 5), (6, 3), (16, 11)], [False, False, False, True], 76, False, [False, False, False, False], 3378, 'North', (18, 13))
Element 13: (2, (18, 13), ['', '', '%', '%'], [(17, 5), (7, 3), (16, 10)], [False, False, True, True], 74, False, [False, False, False, False], 3407, 'West', (17, 13))
Element 14: (2, (17, 13), ['', '', '%', ''], [(17, 6), (8, 3), (16, 9)], [False, False, True, False], 72, False, [False, False, False, False], 4426, 'West', (16, 13))
Element 15: (2, (16, 13), ['', '', '%', ''], [(17, 7), (9, 3), (17, 9)], [False, False, True, False], 70, False, [False, False, False, False], 4455, 'East', (17, 13))
Element 16: (2, (17, 13), ['', '', '%', ''], [(18, 7), (9, 2), (16, 9)], [False, False, True, False], 68, False, [False, False, False, False], 5464, 'East', (18, 13))
Element 17: (2, (18, 13), ['', '', '%', '%'], [(17, 7), (10, 2), (16, 10)], [False, False, True, True], 66, False, [False, False, False, False], 5473, 'South', (18, 12))
Element 18: (2, (18, 12), ['', '', '', '%'], [(17, 6), (11, 2), (16, 11)], [False, False, False, True], 64, False, [False, False, False, False], 5482, 'South', (18, 11))
Element 19: (2, (18, 11), ['', '', '', '%'], [(16, 6), (12, 2), (16, 12)], [False, False, False, True], 62, False, [False, False, False, False], 5501, 'South', (18, 10))
Element 20: (2, (18, 10), ['', '%', '', '%'], [(16, 5), (13, 2), (17, 12)], [False, True, False, True], 60, False, [False, False, False, False], 5520, 'West', (17, 10))
Element 21: (2, (17, 10), ['', '', '', ''], [(15, 5), (14, 2), (16, 12)], [False, False, False, False], 58, False, [False, False, False, False], 5539, 'North', (17, 11))
Element 22: (2, (17, 11), ['', '', '', ''], [(15, 6), (14, 3), (15, 12)], [False, False, False, False], 56, False, [False, False, False, False], 5558, 'West', (16, 11))
Element 23: (2, (16, 11), ['%', '', 'G', ''], [(15, 7), (13, 3), (16, 12)], [True, False, False, False], 54, False, [False, False, False, False], 5577, 'South', (16, 10))
Element 24: (2, (16, 10), ['%', '', 'G', ''], [(15, 8), (13, 4), (16, 11)], [True, False, False, False], 52, False, [False, False, False, False], 5586, 'South', (16, 9))
Element 25: (2, (16, 9), ['%', '%', '', ''], [(14, 8), (13, 5), (17, 11)], [True, True, False, False], 50, False, [False, False, False, False], 5605, 'East', (17, 9))
Element 26: (2, (17, 9), ['', '%', '', '%'], [(14, 7), (14, 5), (17, 12)], [False, True, False, True], 48, False, [False, False, False, False], 5624, 'West', (16, 9))
Element 27: (2, (16, 9), ['%', '%', '', ''], [(14, 8), (15, 5), (17, 11)], [True, True, False, False], 46, False, [False, False, False, False], 5623, 'North', (16, 10))
Element 28: (2, (16, 10), ['%', '', '', 'G'], [(13, 8), (16, 5), (17, 10)], [True, False, False, False], 44, False, [False, False, False, False], 5632, 'North', (16, 11))
Element 29: (2, (16, 11), ['%', '', '', ''], [(14, 8), (17, 5), (17, 9)], [True, False, False, False], 42, False, [False, False, False, False], 5631, 'East', (17, 11))
Element 30: (2, (17, 11), ['', 'G', '', ''], [(15, 8), (18, 5), (17, 10)], [False, False, False, False], 40, False, [False, False, False, False], 5630, 'West', (16, 11))
Element 31: (2, (16, 11), ['%', 'G', '', ''], [(15, 7), (18, 4), (16, 10)], [True, False, False, False], 38, False, [False, False, False, False], 5629, 'South', (16, 10))
Element 32: (2, (16, 10), ['%', '', '', 'G'], [(14, 7), (18, 3), (17, 10)], [True, False, False, False], 36, False, [False, False, False, False], 5638, 'South', (16, 9))
Element 33: (2, (16, 9), ['%', '%', '', ''], [(15, 7), (17, 3), (18, 10)], [True, True, False, False], 34, False, [False, False, False, False], 5647, 'North', (16, 10))
Element 34: (2, (16, 10), ['%', '', '', ''], [(15, 6), (16, 3), (18, 11)], [True, False, False, False], 32, False, [False, False, False, False], 5656, 'East', (17, 10))
Element 35: (2, (17, 10), ['', '', 'G', ''], [(15, 5), (16, 4), (17, 11)], [False, False, False, False], 30, False, [False, False, False, False], 5655, 'East', (18, 10))
Element 36: (2, (18, 10), ['', '%', 'G', '%'], [(14, 5), (17, 4), (18, 11)], [False, True, False, True], 28, False, [False, False, False, False], 5654, 'West', (17, 10))
Element 37: (2, (17, 10), ['', '', '', ''], [(13, 5), (16, 4), (18, 12)], [False, False, False, False], 26, False, [False, False, False, False], 5653, 'North', (17, 11))
Element 38: (2, (17, 11), ['', '', 'G', ''], [(13, 6), (15, 4), (17, 12)], [False, False, False, False], 24, False, [False, False, False, False], 5662, 'East', (18, 11))
Element 39: (2, (18, 11), ['', '', 'G', '%'], [(12, 6), (14, 4), (18, 12)], [False, False, False, True], 22, False, [False, False, False, False], 5671, 'West', (17, 11))
Element 40: (2, (17, 11), ['', '', '', ''], [(12, 5), (15, 4), (18, 13)], [False, False, False, False], 20, False, [False, False, False, False], 5680, 'North', (17, 12))
Element 41: (2, (17, 12), ['', '', 'G', ''], [(12, 6), (16, 4), (17, 13)], [False, False, False, False], 18, False, [False, False, False, False], 5679, 'West', (16, 12))
Element 42: (2, (16, 12), ['', '', '', 'G'], [(11, 6), (16, 3), (17, 12)], [False, False, False, False], 16, False, [False, False, False, False], 5688, 'West', (15, 12))
Element 43: (2, (15, 12), ['%', '%', '', ''], [(12, 6), (17, 3), (17, 13)], [True, True, False, False], 14, False, [False, False, False, False], 5687, 'East', (16, 12))
Element 44: (2, (16, 12), ['', '', 'G', ''], [(13, 6), (17, 4), (16, 13)], [False, False, False, False], 12, False, [False, False, False, False], 5686, 'South', (16, 11))
Element 45: (2, (16, 11), ['%', '', 'G', ''], [(13, 5), (17, 3), (16, 12)], [True, False, False, False], 10, False, [False, False, False, False], 5685, 'South', (16, 10))
Element 46: (2, (16, 10), ['%', '', '', ''], [(12, 5), (18, 3), (16, 13)], [True, False, False, False], 8, False, [False, False, False, False], 5684, 'South', (16, 9))
Element 47: (2, (16, 9), ['%', '%', '', ''], [(13, 5), (18, 4), (15, 13)], [True, True, False, False], 6, False, [False, False, False, False], 5683, 'North', (16, 10))
Element 48: (2, (16, 10), ['%', '', '', ''], [(14, 5), (17, 4), (15, 12)], [True, False, False, False], 4, False, [False, False, False, False], 5682, 'South', (16, 9))
Element 49: (2, (16, 9), ['%', '%', '', ''], [(15, 5), (18, 4), (15, 13)], [True, True, False, False], 2, False, [False, False, False, False], 5681, 'North', (16, 10))
Element 50: (2, (16, 10), ['%', '', '', ''], [(15, 5), (18, 4), (14, 13)], [True, False, False, False], 0, False, [False, False, False, False], 5680, 'Stop', (16, 10))
Element 51: #0#
