Element 1: (1, (1, 12), ['%', 'F', '.', '.'], [(9, 2), (6, 12), (13, 12)], [True, False, False, False], 98, False, [False, False, True, True], 999, 'South', (1, 11))
Element 2: (1, (1, 11), ['%', '.', '', 'F'], [(10, 2), (7, 12), (13, 13)], [True, False, False, False], 96, False, [False, True, False, False], 2028, 'East', (2, 11))
Element 3: (1, (2, 11), ['', '.', '.', '%'], [(11, 2), (8, 12), (14, 13)], [False, False, False, True], 94, False, [False, True, True, False], 4047, 'North', (2, 12))
Element 4: (1, (2, 12), ['', '', '%', '.'], [(12, 2), (9, 12), (15, 13)], [False, False, True, False], 92, False, [False, False, False, True], 4086, 'East', (3, 12))
Element 5: (1, (3, 12), ['', '%', '.', '.'], [(13, 2), (10, 12), (16, 13)], [False, True, False, False], 90, False, [False, False, True, True], 4125, 'East', (4, 12))
Element 6: (1, (4, 12), ['', '.', '.', '.'], [(14, 2), (11, 12), (17, 13)], [False, False, False, False], 88, False, [False, True, True, True], 4164, 'East', (5, 12))
Element 7: (1, (5, 12), ['', '.', '.', ''], [(14, 3), (12, 12), (18, 13)], [False, False, False, False], 86, False, [False, True, True, False], 4203, 'North', (5, 13))
Element 8: (1, (5, 13), ['.', '', '%', '.'], [(14, 4), (12, 13), (18, 12)], [False, False, True, False], 84, False, [True, False, False, True], 4242, 'East', (6, 13))
Element 9: (1, (6, 13), ['', '', '%', '.'], [(15, 4), (13, 13), (18, 11)], [False, False, True, False], 82, False, [False, False, False, True], 4271, 'East', (7, 13))
Element 10: (1, (7, 13), ['', '', '%', '%'], [(16, 4), (14, 13), (18, 10)], [False, False, True, True], 80, False, [False, False, False, False], 4300, 'South', (7, 12))
Element 11: (1, (7, 12), ['', '%', '', ''], [(17, 4), (15, 13), (17, 10)], [False, True, False, False], 78, False, [False, False, False, False], 4319, 'East', (8, 12))
Element 12: (1, (8, 12), ['', '%', '%', ''], [(18, 4), (15, 12), (17, 11)], [False, True, True, False], 76, False, [False, False, False, False], 4348, 'East', (9, 12))
Element 13: (1, (9, 12), ['', '%', '.', ''], [(18, 5), (16, 12), (17, 12)], [False, True, False, False], 74, False, [False, False, True, False], 4377, 'North', (9, 13))
Element 14: (1, (9, 13), ['%', '', '%', '.'], [(17, 5), (16, 11), (16, 12)], [True, False, True, False], 72, False, [False, False, False, True], 4406, 'East', (10, 13))
Element 15: (1, (10, 13), ['', '', '%', '%'], [(17, 6), (16, 10), (16, 11)], [False, False, True, True], 70, False, [False, False, False, False], 4435, 'South', (10, 12))
Element 16: (1, (10, 12), ['', '%', '', ''], [(17, 7), (16, 9), (16, 10)], [False, True, False, False], 68, False, [False, False, False, False], 4454, 'East', (11, 12))
Element 17: (1, (11, 12), ['', '%', '%', ''], [(18, 7), (17, 9), (16, 9)], [False, True, True, False], 66, False, [False, False, False, False], 4473, 'East', (12, 12))
Element 18: (1, (12, 12), ['', '.', '', ''], [(17, 7), (17, 10), (17, 9)], [False, False, False, False], 64, False, [False, True, False, False], 4472, 'South', (12, 11))
Element 19: (1, (12, 11), ['%', '%', '', '.'], [(17, 6), (18, 10), (16, 9)], [True, True, False, False], 62, False, [False, False, False, True], 4481, 'East', (13, 11))
Element 20: (1, (13, 11), ['', '%', '', '%'], [(16, 6), (18, 11), (16, 10)], [False, True, False, True], 60, False, [False, False, False, False], 4500, 'North', (13, 12))
Element 21: (1, (13, 12), ['', '', '', '%'], [(16, 5), (18, 12), (16, 11)], [False, False, False, True], 58, False, [False, False, False, False], 4509, 'North', (13, 13))
Element 22: (1, (13, 13), ['', '', '%', ''], [(15, 5), (18, 13), (16, 12)], [False, False, True, False], 56, False, [False, False, False, False], 4518, 'East', (14, 13))
Element 23: (1, (14, 13), ['', '%', '%', ''], [(15, 6), (17, 13), (15, 12)], [False, True, True, False], 54, False, [False, False, False, False], 4527, 'East', (15, 13))
Element 24: (1, (15, 13), ['', '', '%', ''], [(15, 7), (17, 12), (16, 12)], [False, False, True, False], 52, False, [False, False, False, False], 4536, 'East', (16, 13))
Element 25: (1, (16, 13), ['', '', '%', ''], [(15, 8), (17, 11), (17, 12)], [False, False, True, False], 50, False, [False, False, False, False], 4545, 'East', (17, 13))
Element 26: (1, (17, 13), ['', '', '%', ''], [(14, 8), (16, 11), (17, 11)], [False, False, True, False], 48, False, [False, False, False, False], 4554, 'East', (18, 13))
Element 27: (1, (18, 13), ['', '', '%', '%'], [(14, 7), (16, 12), (16, 11)], [False, False, True, True], 46, False, [False, False, False, False], 4563, 'South', (18, 12))
Element 28: (1, (18, 12), ['', '', '', '%'], [(14, 8), (16, 13), (17, 11)], [False, False, False, True], 44, False, [False, False, False, False], 4562, 'South', (18, 11))
Element 29: (1, (18, 11), ['', '', '', '%'], [(13, 8), (17, 13), (17, 10)], [False, False, False, True], 42, False, [False, False, False, False], 4571, 'South', (18, 10))
Element 30: (1, (18, 10), ['', '%', '', '%'], [(14, 8), (18, 13), (17, 9)], [False, True, False, True], 40, False, [False, False, False, False], 4570, 'West', (17, 10))
Element 31: (1, (17, 10), ['', '', '', ''], [(15, 8), (18, 12), (16, 9)], [False, False, False, False], 38, False, [False, False, False, False], 4569, 'North', (17, 11))
Element 32: (1, (17, 11), ['', '', 'G', ''], [(15, 7), (17, 12), (16, 10)], [False, False, False, False], 36, False, [False, False, False, False], 4568, 'West', (16, 11))
Element 33: (1, (16, 11), ['%', '', '', ''], [(14, 7), (18, 12), (17, 10)], [True, False, False, False], 34, False, [False, False, False, False], 4567, 'North', (16, 12))
Element 34: (1, (16, 12), ['', '', '', ''], [(15, 7), (18, 11), (18, 10)], [False, False, False, False], 32, False, [False, False, False, False], 4566, 'East', (17, 12))
