Element 39: (2, (15, 7), ['', 'G', '', '%'], [(11, 3), (17, 9), (15, 6)], [False, False, False, True], 22, False, [False, False, False, False], 1591, 'West', (14, 7))
Element 40: (2, (14, 7), ['%', '%', '', 'G'], [(11, 2), (17, 10), (15, 7)], [True, True, False, False], 20, False, [False, False, False, False], 1600, 'Stop', (14, 7))
Element 41: (2, (14, 7), ['%', '%', '', ''], [(12, 2), (16, 10), (15, 8)], [True, True, False, False], 18, False, [False, False, False, False], 1609, 'Stop', (14, 7))
Element 42: (2, (14, 7), ['%', '%', 'G', ''], [(12, 1), (17, 10), (14, 8)], [True, True, False, False], 16, False, [False, False, False, False], 1618, 'Stop', (14, 7))
Element 43: (2, (14, 7), ['%', '%', '', ''], [(11, 1), (18, 10), (13, 8)], [True, True, False, False], 14, False, [False, False, False, False], 1627, 'Stop', (14, 7))
Element 44: (2, (14, 7), ['%', '%', 'G', ''], [(12, 1), (18, 11), (14, 8)], [True, True, False, False], 12, False, [False, False, False, False], 1626, 'Stop', (14, 7))
Element 45: (2, (14, 7), ['%', '%', '', ''], [(12, 2), (17, 11), (15, 8)], [True, True, False, False], 10, False, [False, False, False, False], 1625, 'Stop', (14, 7))
Element 46: (2, (14, 7), ['%', '%', '', 'G'], [(11, 2), (18, 11), (15, 7)], [True, True, False, False], 8, False, [False, False, False, False], 1624, 'Stop', (14, 7))
Element 47: (2, (14, 7), ['%', '%', '', ''], [(11, 1), (18, 12), (15, 6)], [True, True, False, False], 6, False, [False, False, False, False], 1623, 'North', (14, 8))
Element 48: (2, (14, 8), ['', '', '%', ''], [(11, 2), (17, 12), (16, 6)], [False, False, True, False], 4, False, [False, False, False, False], 1622, 'South', (14, 7))
Element 49: (2, (14, 7), ['%', '%', '', ''], [(10, 2), (18, 12), (16, 5)], [True, True, False, False], 2, False, [False, False, False, False], 1631, 'Stop', (14, 7))
Element 50: (2, (14, 7), ['%', '%', '', ''], [(10, 2), (18, 12), (15, 5)], [True, True, False, False], 0, False, [False, False, False, False], 1630, 'Stop', (14, 7))
Element 51: #0#
